box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9352454;1361.0;513.0;390.0;710.0;0.70885414;0.475;0.203125;0.6574074;1408.5128;277.23724;0.9874055;0.73360044;0.25670114;1426.1442;260.55405;0.9286493;0.7427834;0.24125375;1392.1206;256.17673;0.97119284;0.7250628;0.23720068;1448.4261;247.66544;0.5022492;0.75438863;0.22931984;1356.7489;239.58646;0.8415158;0.70664006;0.22183931;1455.4094;288.59998;0.99057186;0.75802577;0.2672222;1286.6444;301.72186;0.99721104;0.6701273;0.2793721;1479.8978;355.91125;0.96617335;0.77078015;0.32954746;1202.0383;429.5691;0.9931584;0.6260616;0.39774916;1477.0535;417.13824;0.9621139;0.7692987;0.3862391;1222.8407;548.39136;0.9890063;0.6368962;0.50776976;1393.3743;456.21625;0.9953376;0.72571576;0.42242244;1278.0249;470.34778;0.99754506;0.66563797;0.4355072;1483.0294;576.156;0.981426;0.77241117;0.5334778;1262.6865;638.79816;0.989772;0.6576492;0.5914798;1473.7478;688.9061;0.93217486;0.767577;0.63787603;1209.415;789.8198;0.9461044;0.6299037;0.73131466
0.93819857;1364.5;513.0;387.0;708.0;0.7106771;0.475;0.2015625;0.65555555;1408.2988;279.52185;0.98867655;0.733489;0.25881654;1427.1624;263.01178;0.94181675;0.7433137;0.24352942;1392.8564;256.9262;0.9721276;0.72544605;0.23789464;1449.899;252.14667;0.615667;0.75515574;0.23346914;1359.0011;240.34068;0.86609447;0.7078131;0.22253767;1457.0088;296.0039;0.9945733;0.75885874;0.27407768;1292.353;311.79352;0.9969779;0.67310053;0.2886977;1479.8606;365.5341;0.9796266;0.7707607;0.3384575;1206.7954;435.57315;0.9906893;0.62853926;0.40330848;1480.5717;411.1878;0.9721911;0.7711311;0.38072944;1220.3682;551.6453;0.9850203;0.63560843;0.5107827;1405.5645;458.3401;0.99539316;0.73206484;0.42438897;1286.4373;476.58392;0.99670726;0.6700194;0.4412814;1500.7262;572.6734;0.9821983;0.78162825;0.5302532;1263.5586;634.94354;0.98648876;0.6581034;0.5879107;1481.1056;679.39325;0.9107808;0.77140915;0.62906784;1200.2651;784.97797;0.9135678;0.6251381;0.72683144
0.9365979;1365.5;514.5;385.0;707.0;0.7111979;0.4763889;0.20052083;0.65462965;1412.2078;282.00897;0.98955077;0.7355249;0.26111943;1431.1523;265.35654;0.9436373;0.74539185;0.2457005;1396.6499;259.18964;0.9745554;0.7274218;0.2399904;1453.2883;253.89587;0.61239153;0.756921;0.23508877;1361.8187;241.90819;0.8760127;0.7092806;0.22398907;1457.8793;296.903;0.9949067;0.7593121;0.2749102;1294.4735;315.05264;0.997341;0.67420495;0.2917154;1483.5676;364.3799;0.98050296;0.7726915;0.3373888;1211.1859;441.57828;0.9917848;0.630826;0.4088688;1484.5812;414.3868;0.97363925;0.77321935;0.3836915;1226.0178;558.5475;0.9865899;0.63855094;0.5171736;1403.3833;456.4075;0.9958305;0.7309288;0.42259952;1285.4752;475.63696;0.99709165;0.66951835;0.4404046;1500.7346;573.2606;0.9836374;0.7816326;0.5307969;1263.8613;636.6627;0.9879028;0.6582611;0.5895025;1482.2542;679.16644;0.91585886;0.77200735;0.6288578;1198.8657;786.02655;0.9195883;0.62440926;0.72780234
0.9309872;1367.5;514.5;383.0;703.0;0.71223956;0.4763889;0.19947916;0.65092593;1415.3434;283.72607;0.989012;0.737158;0.26270932;1434.1312;267.1832;0.9370085;0.74694335;0.24739185;1399.934;261.24527;0.9735702;0.7291323;0.24189377;1455.7173;254.64381;0.5895806;0.7581861;0.23578131;1365.3438;243.2146;0.87915933;0.71111655;0.2251987;1458.8844;295.36157;0.9950353;0.7598356;0.27348295;1299.0175;314.78876;0.99770445;0.6765716;0.29147106;1485.3602;363.79678;0.9814497;0.77362514;0.33684888;1215.6963;444.124;0.99340785;0.63317513;0.41122591;1488.6761;413.0619;0.97523165;0.7753522;0.3824647;1232.1095;565.4866;0.9888875;0.6417237;0.5235987;1403.8204;459.04132;0.9963193;0.73115647;0.42503825;1288.4055;478.89185;0.99758446;0.6710445;0.44341838;1502.643;578.4244;0.9839002;0.7826265;0.53557813;1271.281;643.4189;0.98880976;0.6621255;0.5957582;1482.973;672.6007;0.9150069;0.7723818;0.6227784;1200.6412;782.2846;0.9214496;0.62533396;0.7243376
0.9268786;1366.5;515.5;379.0;705.0;0.71171874;0.4773148;0.19739583;0.6527778;1422.5511;286.90543;0.98946404;0.7409121;0.26565316;1439.0511;270.73566;0.9260442;0.7495058;0.25068116;1404.8799;266.21576;0.9775025;0.7317083;0.24649607;1458.763;255.41597;0.502635;0.75977236;0.23649627;1368.9203;247.8357;0.89781904;0.7129793;0.2294775;1458.801;294.11905;0.99385095;0.7597922;0.27233246;1304.1456;313.4077;0.9988513;0.6792425;0.29019234;1485.753;358.10358;0.97644955;0.7738297;0.3315774;1223.6538;447.97653;0.9973814;0.6373197;0.41479307;1488.0695;413.63452;0.9731054;0.77503616;0.38299492;1246.5471;572.30365;0.9950717;0.6492433;0.5299108;1399.7891;464.2515;0.9976618;0.7290568;0.4298625;1292.7015;482.21594;0.9990074;0.673282;0.44649625;1493.621;586.78546;0.9872471;0.7779276;0.5433199;1274.5609;661.225;0.9943515;0.6638338;0.6122453;1480.8516;667.4537;0.94060946;0.77127683;0.61801267;1204.2999;785.3907;0.9580351;0.6272395;0.7272136
0.926037;1366.0;516.0;378.0;700.0;0.7114583;0.47777778;0.196875;0.6481481;1424.8362;288.11722;0.9913003;0.7421022;0.2667752;1442.3446;271.6896;0.94274276;0.7512211;0.25156444;1407.561;266.4765;0.9806209;0.7331047;0.2467375;1463.8314;257.77917;0.5830376;0.7624122;0.23868442;1372.6464;248.60583;0.9096471;0.71492;0.23019059;1458.3353;296.9114;0.99563605;0.7595497;0.27491796;1308.3219;319.68945;0.99891937;0.68141764;0.29600877;1488.2964;360.2655;0.9833906;0.77515435;0.33357918;1227.1377;450.48752;0.9971163;0.6391342;0.41711807;1493.5382;411.82126;0.97949135;0.7778845;0.38131598;1251.835;573.84534;0.994412;0.6519974;0.5313383;1398.3798;460.93378;0.9978719;0.7283228;0.42679054;1293.6064;482.30524;0.9989151;0.6737534;0.44657892;1495.2996;585.3365;0.9876895;0.77880186;0.54197824;1278.7877;663.5213;0.99350125;0.6660353;0.6143716;1479.9655;659.5391;0.93085897;0.7708153;0.6106844;1201.26;779.1838;0.9460439;0.62565625;0.7214665
0.92737657;1364.5;517.0;375.0;698.0;0.7106771;0.4787037;0.1953125;0.6462963;1427.3486;290.60333;0.99075925;0.74341077;0.26907715;1444.8636;274.1337;0.93967897;0.75253314;0.2538275;1410.0103;268.81558;0.9799485;0.73438036;0.24890332;1466.3756;260.09436;0.5704046;0.7637373;0.24082811;1375.0645;250.54643;0.90795964;0.71617943;0.23198743;1461.366;300.6101;0.9950984;0.7611281;0.2783427;1311.1;322.58038;0.99886876;0.68286455;0.29868555;1490.866;367.47723;0.9814153;0.7764927;0.3402567;1231.7362;455.49646;0.99705005;0.64152926;0.42175597;1495.1598;415.20953;0.9775448;0.7787291;0.38445327;1258.155;581.6107;0.99424213;0.65528905;0.53852844;1403.993;465.5484;0.9976277;0.73124635;0.43106332;1298.8466;486.75314;0.998838;0.67648256;0.45069736;1495.7611;586.17694;0.9865143;0.77904224;0.54275644;1275.554;666.20856;0.9931272;0.66435105;0.6168598;1481.5603;658.4611;0.9273371;0.77164596;0.6096862;1198.027;780.9677;0.9443586;0.62397236;0.72311825
0.92639726;1363.0;518.5;374.0;695.0;0.70989585;0.48009259;0.19479166;0.6435185;1432.2898;294.4726;0.99000275;0.74598426;0.2726598;1448.9692;277.2695;0.9310987;0.75467145;0.25673103;1414.7296;273.2052;0.97947276;0.73683834;0.25296777;1469.5234;260.98486;0.534272;0.7653768;0.24165265;1379.6653;253.95352;0.9123653;0.71857566;0.23514216;1464.1866;302.0837;0.9946155;0.7625972;0.27970713;1316.3562;325.2029;0.99894017;0.6856022;0.3011138;1492.2716;368.37442;0.979425;0.7772248;0.34108743;1235.9453;458.504;0.9973863;0.6437215;0.42454073;1499.4691;412.92654;0.9757381;0.7809735;0.3823394;1263.7273;585.5114;0.9947607;0.6581913;0.5421402;1404.3656;466.37897;0.9975526;0.7314404;0.43183237;1301.4534;487.7744;0.99889284;0.6778403;0.451643;1496.318;588.8716;0.9857427;0.7793323;0.5452515;1281.7346;669.12177;0.99328303;0.6675701;0.6195572;1477.2832;658.0348;0.9241477;0.76941836;0.6092915;1199.7426;777.36053;0.9444546;0.6248659;0.7197783
0.9224253;1361.5;519.5;375.0;693.0;0.7091146;0.4810185;0.1953125;0.64166665;1435.1227;297.2491;0.99023074;0.7474597;0.27523068;1451.8517;280.09216;0.9338204;0.7561728;0.2593446;1417.6228;275.83862;0.979443;0.7383452;0.25540614;1473.816;262.61224;0.55189854;0.7676125;0.24315949;1383.5876;255.56488;0.9113771;0.72061855;0.23663415;1469.6333;301.66995;0.9950818;0.765434;0.27932402;1320.9435;326.92108;0.999003;0.6879914;0.3027047;1494.4662;365.43423;0.9811441;0.7783678;0.33836502;1243.436;462.15683;0.9974848;0.64762294;0.427923;1502.3423;416.6536;0.9772488;0.7824699;0.38579038;1271.7273;585.52844;0.9948762;0.662358;0.542156;1407.7229;465.33252;0.99782926;0.733189;0.43086344;1304.333;486.83762;0.9989967;0.6793401;0.45077556;1497.592;589.74084;0.9871291;0.77999586;0.54605633;1281.4014;668.25037;0.99382126;0.66739655;0.61875033;1474.3242;658.2931;0.930132;0.7678772;0.6095306;1201.5857;776.59625;0.94853455;0.6258259;0.7190706
0.92209065;1361.5;521.5;373.0;693.0;0.7091146;0.48287037;0.19427083;0.64166665;1438.0443;298.71375;0.99062246;0.7489814;0.2765868;1455.41;282.16345;0.93752176;0.75802606;0.26126245;1421.2701;276.6789;0.97965014;0.74024487;0.25618416;1477.0778;265.78888;0.5674175;0.7693113;0.24610081;1387.091;256.02048;0.90995693;0.7224432;0.237056;1469.7766;305.45905;0.99553865;0.76550865;0.28283244;1324.1825;331.1844;0.9989806;0.6896784;0.30665222;1495.9406;366.0329;0.9830564;0.7791357;0.33891934;1250.2374;467.86087;0.99732876;0.6511653;0.4332045;1504.6199;418.10645;0.9791924;0.7836562;0.3871356;1280.7861;589.54376;0.99465334;0.6670761;0.5458739;1407.4131;466.95612;0.99789655;0.73302764;0.4323668;1306.4226;488.55307;0.9989587;0.68042845;0.45236397;1496.6798;593.0752;0.9872263;0.77952075;0.5491437;1286.6407;669.28345;0.9934703;0.67012537;0.61970687;1472.2375;655.4731;0.92935467;0.7667904;0.6069195;1204.0481;773.6338;0.9460823;0.6271084;0.7163276
