box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9371019;1306.0;247.0;474.0;494.0;0.6802083;0.22870371;0.246875;0.45740741;1301.0822;43.86849;0.97809106;0.67764693;0.04061897;1324.7893;24.47374;0.9559271;0.68999445;0.02266087;1282.326;22.689835;0.9328021;0.66787815;0.021009106;1367.565;5.5726776;0.78463095;0.7122734;0.0051598866;1249.4102;0.23312187;0.6219538;0.6507345;0.00021585358;1430.1907;35.750164;0.99146324;0.744891;0.033102002;1207.7986;27.478483;0.9848608;0.62906176;0.02544304;1510.2676;129.2815;0.9796475;0.78659767;0.11970509;1137.0974;143.19429;0.95342207;0.59223825;0.1325873;1485.7252;228.08107;0.9667427;0.7738152;0.21118617;1118.4803;248.11693;0.93432075;0.5825418;0.2297379;1396.3267;246.84697;0.9927988;0.7272535;0.22856201;1236.7115;232.64026;0.9901675;0.6441206;0.21540764;1448.7402;431.13702;0.95197636;0.7545522;0.39920095;1145.08;372.34937;0.9340544;0.5963958;0.34476793;1441.0272;568.6145;0.7107124;0.750535;0.5264949;1113.0942;497.5436;0.6849375;0.5797366;0.46068853
0.93495613;1304.5;247.0;475.0;494.0;0.6794271;0.22870371;0.24739583;0.45740741;1298.3413;45.28776;0.9783222;0.6762194;0.04193311;1322.5479;26.311398;0.95855105;0.688827;0.024362406;1279.8593;23.768188;0.9287175;0.6665934;0.022007583;1367.477;7.1542053;0.80262;0.71222764;0.006624264;1248.3124;0.58016396;0.5940901;0.6501627;0.00053718884;1430.6693;36.909954;0.99241334;0.74514025;0.034175884;1208.2386;27.35808;0.98386776;0.62929094;0.025331555;1509.6134;132.54915;0.982828;0.78625697;0.122730695;1139.1344;142.3126;0.94995594;0.59329915;0.13177094;1481.2593;230.64304;0.9714533;0.7714892;0.21355836;1120.9591;249.88376;0.93163043;0.58383286;0.23137385;1395.4446;247.12218;0.99329764;0.72679406;0.22881684;1235.7495;232.4123;0.9899861;0.64361954;0.21519656;1447.9673;430.25885;0.9539337;0.7541496;0.39838782;1146.0422;372.4467;0.93139446;0.596897;0.34485805;1440.3766;560.75995;0.71565175;0.75019616;0.5192222;1114.5466;493.27945;0.67851067;0.58049303;0.45674023
0.93463635;1303.5;247.5;471.0;495.0;0.67890626;0.22916667;0.2453125;0.45833334;1299.1245;46.28967;0.9749991;0.67662734;0.042860806;1322.777;27.102139;0.9494734;0.68894637;0.025094572;1280.4089;25.308174;0.92185605;0.66687965;0.023433495;1366.5032;7.6725197;0.7751008;0.7117204;0.007104185;1248.0565;2.469658;0.5976949;0.6500294;0.0022867203;1429.8661;39.263775;0.9916214;0.74472195;0.036355346;1208.0936;29.076279;0.98493886;0.6292154;0.026922481;1508.1907;135.98383;0.98127836;0.78551596;0.12591095;1139.8876;142.9416;0.9566651;0.59369147;0.13235334;1479.3137;230.75038;0.9697725;0.7704759;0.21365777;1124.0841;250.9233;0.93927985;0.5854605;0.23233639;1395.3193;243.09737;0.99344665;0.7267288;0.22509016;1236.3601;228.29924;0.9910288;0.6439375;0.21138819;1448.4178;427.7277;0.9540452;0.7543843;0.39604416;1147.6432;370.201;0.9367628;0.5977308;0.34277868;1440.2875;552.6826;0.71971977;0.7501497;0.5117432;1115.5774;483.85547;0.6939445;0.5810299;0.44801432
0.9337177;1301.0;247.5;474.0;495.0;0.67760414;0.22916667;0.246875;0.45833334;1297.7191;46.654964;0.9774629;0.6758954;0.04319904;1321.6188;26.680092;0.9559908;0.6883431;0.02470379;1278.258;25.560402;0.929302;0.6657594;0.02366704;1365.2007;7.157398;0.78826505;0.71104205;0.0066272207;1244.4355;3.2187881;0.6040852;0.64814353;0.0029803594;1428.5127;39.36317;0.9915877;0.744017;0.03644738;1205.4042;30.168846;0.9833378;0.62781465;0.027934117;1507.6436;137.30498;0.9806091;0.785231;0.12713423;1140.4175;144.92041;0.9492933;0.59396744;0.13418557;1476.9285;230.70845;0.96860975;0.7692336;0.21361893;1126.7036;250.1386;0.93118274;0.5868248;0.2316098;1395.6274;243.80722;0.99277276;0.7268893;0.22574742;1235.266;229.5243;0.9896247;0.6433677;0.2125225;1448.9326;430.25986;0.95245224;0.7546524;0.39838874;1144.6272;373.72485;0.9316326;0.59616;0.34604153;1443.3651;565.68567;0.71154755;0.7517527;0.523783;1114.1117;494.03204;0.6789189;0.58026654;0.45743707
0.9343403;1300.5;247.5;473.0;495.0;0.6773437;0.22916667;0.24635416;0.45833334;1297.7416;48.556927;0.9752387;0.6759071;0.04496012;1321.1012;28.474125;0.9512766;0.6880735;0.02636493;1278.4038;27.45869;0.9218698;0.6658353;0.025424713;1364.3582;7.4271812;0.7796476;0.7106032;0.0068770195;1245.0574;3.9335861;0.58897316;0.64846736;0.0036422093;1428.29;39.054394;0.9914295;0.7439011;0.036161475;1205.4989;30.791513;0.9834715;0.627864;0.02851066;1506.7811;139.79984;0.9811632;0.7847818;0.12944429;1141.9548;147.51933;0.95184475;0.59476817;0.13659197;1475.0636;231.67209;0.9696354;0.76826227;0.21451119;1128.3113;249.76631;0.93429637;0.5876621;0.2312651;1396.3273;244.32652;0.9930211;0.7272538;0.22622827;1235.7345;230.94809;0.99007833;0.6436117;0.21384083;1450.1785;428.9967;0.9513323;0.7553013;0.39721918;1142.513;376.35333;0.9305777;0.5950588;0.3484753;1447.2971;554.67065;0.705545;0.7538006;0.51358396;1115.6912;488.16476;0.6729318;0.58108914;0.4520044
0.9344448;1302.0;247.5;468.0;495.0;0.678125;0.22916667;0.24375;0.45833334;1298.2233;50.25293;0.977648;0.67615795;0.04653049;1321.556;29.521534;0.9566874;0.68831044;0.027334753;1278.5383;28.982563;0.92993563;0.66590536;0.026835706;1364.8264;6.611046;0.7881202;0.7108471;0.006121339;1244.6611;3.9031792;0.60042524;0.648261;0.0036140548;1428.8671;39.091476;0.99132454;0.7442016;0.03619581;1205.2811;29.945429;0.9824982;0.6277506;0.027727248;1507.0173;141.17583;0.98024356;0.78490484;0.13071837;1142.5597;144.73372;0.9471376;0.5950832;0.1340127;1472.2552;232.93636;0.96841186;0.7667996;0.2156818;1129.8489;248.52058;0.92951214;0.58846295;0.23011166;1395.866;247.9699;0.9923246;0.7270135;0.22960176;1234.6271;234.27864;0.9889116;0.64303493;0.21692467;1450.2781;430.75928;0.9492076;0.75535315;0.3988512;1140.0597;379.73346;0.9265391;0.5937811;0.35160506;1446.312;564.50024;0.6977917;0.7532875;0.5226854;1113.6888;497.67245;0.6617522;0.5800463;0.46080783
0.93446225;1300.0;247.0;472.0;494.0;0.6770833;0.22870371;0.24583334;0.45740741;1297.7223;50.58901;0.9761895;0.675897;0.046841674;1320.945;29.64766;0.9548435;0.68799216;0.027451536;1278.0264;29.38131;0.9240281;0.66563874;0.027204916;1364.3699;6.8962326;0.78910625;0.7106093;0.0063854004;1244.2909;4.8455315;0.5833949;0.6480682;0.004486603;1429.9589;40.57835;0.99139285;0.7447702;0.037572548;1204.7599;31.388077;0.9815214;0.62747914;0.029063035;1506.6504;142.9871;0.98105973;0.78471375;0.13239548;1143.111;144.59811;0.94501585;0.5953703;0.13388714;1469.9882;233.42061;0.9696386;0.76561886;0.2161302;1130.7766;246.58406;0.9278495;0.58894616;0.22831857;1396.9783;247.67775;0.9925768;0.7275928;0.22933125;1234.4366;233.8246;0.98893297;0.64293575;0.21650426;1450.8392;431.4895;0.9504951;0.75564545;0.3995273;1137.088;380.8053;0.92616755;0.59223336;0.3525975;1445.3954;565.1662;0.70159805;0.7528101;0.523302;1112.4569;497.31357;0.661483;0.57940465;0.46047553
0.93393916;1301.0;247.0;466.0;494.0;0.67760414;0.22870371;0.24270834;0.45740741;1299.059;51.998234;0.97377783;0.6765932;0.048146512;1321.811;30.898968;0.94975096;0.68844324;0.028610155;1279.4377;31.157513;0.9191326;0.66637385;0.02884955;1363.8458;6.656662;0.7717887;0.7103364;0.0061635757;1245.0514;5.3637085;0.5780449;0.64846426;0.004966397;1429.6146;39.78534;0.9904128;0.74459094;0.03683828;1204.1914;30.145168;0.9801814;0.627183;0.027912192;1506.7732;144.62607;0.97929764;0.7847777;0.13391303;1145.2366;143.50969;0.94333476;0.5964774;0.13287935;1469.9203;233.5312;0.9672071;0.76558346;0.2162326;1132.2592;244.64099;0.9258478;0.5897183;0.22651944;1396.7242;251.10403;0.99209505;0.72746056;0.23250374;1233.6628;237.35426;0.9884587;0.6425327;0.21977247;1452.7845;433.68768;0.94801056;0.7566586;0.40156266;1136.0107;384.92792;0.9240666;0.59167224;0.35641474;1446.4695;569.26685;0.6943259;0.7533695;0.52709895;1114.0508;502.1715;0.65596783;0.58023477;0.46497363
0.9331326;1301.0;247.0;466.0;494.0;0.67760414;0.22870371;0.24270834;0.45740741;1299.0381;53.2828;0.9719471;0.67658234;0.049335923;1321.7292;32.626854;0.9450749;0.6884006;0.03021005;1279.8987;32.357414;0.91338664;0.6666139;0.029960569;1363.0582;7.6829453;0.7617715;0.7099262;0.007113838;1245.4431;5.222328;0.57127243;0.6486683;0.004835489;1428.9539;39.52399;0.99052787;0.7442468;0.036596287;1203.6554;29.45462;0.9809372;0.62690383;0.027272796;1507.1836;145.89421;0.98025036;0.78499144;0.13508724;1146.2748;142.61584;0.947966;0.5970181;0.1320517;1467.8613;235.93951;0.96892065;0.7645111;0.21846251;1132.4595;240.04225;0.93195635;0.58982265;0.22226134;1397.0582;252.19235;0.9925021;0.7276345;0.23351143;1234.2012;238.49684;0.989224;0.6428131;0.22083041;1452.9934;432.22397;0.94816715;0.7567674;0.40020737;1137.242;385.03412;0.925405;0.5923135;0.35651308;1443.244;558.8808;0.6947151;0.7516896;0.5174822;1114.1467;496.2899;0.65786535;0.5802848;0.45952767
0.9314264;1300.5;247.5;469.0;493.0;0.6773437;0.22916667;0.24427083;0.4564815;1298.4032;54.549007;0.9726121;0.67625165;0.05050834;1321.5554;33.953407;0.9487271;0.6883101;0.03143834;1279.5612;33.2574;0.91439086;0.6664381;0.030793888;1364.0999;9.238907;0.7710387;0.71046865;0.008554543;1246.0433;5.822857;0.5589493;0.6489809;0.005391534;1430.4048;41.679096;0.9900961;0.7450025;0.038591757;1205.3251;29.598993;0.97845733;0.62777346;0.027406475;1507.4186;148.03308;0.97927845;0.7851139;0.13706766;1147.1017;141.1227;0.9400751;0.59744877;0.13066916;1467.0419;237.56837;0.9675705;0.7640843;0.21997072;1133.012;237.50363;0.92410976;0.5901104;0.21991077;1397.7059;253.09671;0.99200696;0.72797185;0.2343488;1234.8414;238.10286;0.98809695;0.6431466;0.22046562;1453.491;438.3673;0.94842374;0.75702655;0.40589565;1137.5277;387.82556;0.92349243;0.59246236;0.35909775;1446.1339;573.3693;0.6952163;0.75319475;0.5308975;1112.5945;508.44464;0.6546419;0.5794763;0.47078207
