box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9415105;1077.5;325.5;429.0;577.0;0.56119794;0.3013889;0.2234375;0.53425926;1089.6758;198.52429;0.99502385;0.56753945;0.18381879;1118.0028;175.71922;0.9900064;0.58229315;0.16270298;1070.9762;171.93608;0.98278266;0.5578001;0.15920007;1156.4515;160.39215;0.8723498;0.6023185;0.14851125;1038.16;151.0362;0.6843986;0.54070836;0.13984832;1182.8951;223.25848;0.9979621;0.6160912;0.20672081;979.9376;245.12036;0.99706465;0.5103842;0.2269633;1224.7548;329.32074;0.99234915;0.6378931;0.3049266;903.47046;419.56406;0.98398846;0.47055754;0.38848522;1240.8153;422.54718;0.9902012;0.646258;0.3912474;1029.455;447.63312;0.98171586;0.5361745;0.4144751;1129.5773;437.56607;0.9945537;0.5883215;0.40515378;997.12616;450.9228;0.9936028;0.5193365;0.4175211;1160.4464;561.6327;0.90961623;0.60439914;0.52003026;975.26776;574.40686;0.8954872;0.507952;0.5318582;0.0;0.0;0.33523044;0.0;0.0;0.0;0.0;0.30316767;0.0;0.0
0.94497335;1073.0;327.5;428.0;575.0;0.55885416;0.30324075;0.22291666;0.5324074;1087.8737;205.01175;0.9961843;0.56660086;0.1898257;1115.7279;182.00706;0.99040514;0.5811083;0.16852506;1068.7393;177.69054;0.9873453;0.556635;0.16452828;1153.6813;165.45576;0.839177;0.6008757;0.15319978;1034.6299;154.8215;0.73280996;0.53886974;0.14335324;1179.6176;229.86644;0.9978192;0.6143841;0.21283929;975.93695;250.4946;0.99753916;0.5083005;0.23193945;1219.789;343.8153;0.9906371;0.6353067;0.3183475;890.4437;431.56686;0.98761344;0.46377277;0.39959896;1234.8911;425.1635;0.987768;0.64317244;0.39366993;1018.8911;456.82993;0.98438174;0.53067243;0.42299068;1126.2444;457.91464;0.99263304;0.58658564;0.42399505;992.61346;472.32312;0.9921819;0.5169862;0.43733624;1167.888;564.232;0.85342926;0.608275;0.52243704;982.37585;582.00085;0.85589236;0.5116541;0.5388897;0.0;0.0;0.2307534;0.0;0.0;0.0;0.0;0.2321152;0.0;0.0
0.93913823;1071.0;330.0;432.0;570.0;0.5578125;0.30555555;0.225;0.5277778;1085.8136;207.8443;0.99456894;0.5655279;0.19244842;1113.6815;185.71426;0.9901815;0.5800425;0.17195766;1066.9802;181.50583;0.9821644;0.55571884;0.16806096;1153.1295;170.87805;0.87301636;0.60058826;0.15822043;1033.392;159.79346;0.66683745;0.538225;0.14795691;1174.1648;233.80055;0.99699557;0.6115442;0.216482;974.5924;255.26839;0.9957047;0.5076002;0.23635961;1217.1725;341.5071;0.9903234;0.633944;0.3162103;894.3054;425.87836;0.97801584;0.46578407;0.3943318;1235.8436;426.30515;0.9866735;0.64366853;0.394727;1017.10736;461.70898;0.97330564;0.52974343;0.42750832;1127.695;448.31598;0.9898358;0.5873411;0.4151074;996.0766;465.62415;0.9879097;0.5187899;0.43113348;1164.7804;567.42444;0.8380133;0.60665643;0.525393;986.3167;601.8897;0.8166831;0.5137066;0.5573053;0.0;0.0;0.22124821;0.0;0.0;0.0;0.0;0.19603595;0.0;0.0
0.93822503;1069.0;333.0;434.0;568.0;0.55677086;0.30833334;0.22604166;0.52592593;1086.0264;212.6867;0.9947673;0.5656387;0.19693214;1113.5721;189.77661;0.98962677;0.5799855;0.17571908;1065.998;185.92499;0.98459214;0.5552073;0.17215277;1152.5396;172.71487;0.8476118;0.600281;0.15992118;1031.0374;162.32571;0.7172958;0.5369986;0.15030159;1173.6112;236.74127;0.99707866;0.6112558;0.21920489;976.51526;253.18474;0.99561864;0.5086017;0.23443031;1212.0433;345.22192;0.99087477;0.63127255;0.31964993;890.8085;423.61105;0.97981334;0.46396273;0.39223245;1233.9578;432.90637;0.9874889;0.6426863;0.40083924;1013.04785;472.34482;0.97571915;0.5276291;0.43735632;1124.5623;450.89127;0.99090916;0.5857095;0.4174919;994.3109;463.04196;0.98894566;0.51787025;0.42874256;1170.713;569.07684;0.872889;0.60974634;0.526923;981.47723;585.7153;0.8525873;0.51118606;0.54232895;0.0;0.0;0.2886768;0.0;0.0;0.0;0.0;0.257553;0.0;0.0
0.9409925;1066.5;334.5;437.0;565.0;0.55546874;0.30972221;0.22760417;0.5231481;1081.0917;217.87619;0.9940077;0.56306857;0.20173721;1106.409;196.30188;0.98778045;0.5762547;0.181761;1062.577;193.58066;0.98238623;0.55342555;0.17924134;1145.3143;180.72058;0.857481;0.59651786;0.16733387;1031.0249;172.87459;0.72359824;0.53699213;0.16006906;1176.2037;241.7222;0.9980844;0.6126061;0.22381686;971.2879;257.30035;0.996855;0.5058791;0.23824106;1212.5684;348.38773;0.9919482;0.631546;0.32258123;893.1969;419.35422;0.9808334;0.4652067;0.38829094;1231.9677;427.26535;0.98566043;0.64164984;0.39561605;1000.1628;473.20435;0.9699966;0.52091813;0.43815216;1131.9525;444.1453;0.99470526;0.5895586;0.41124564;994.6703;454.1509;0.9934987;0.51805747;0.4205101;1185.1772;544.1512;0.931603;0.6172798;0.50384367;992.5857;551.0281;0.917853;0.5169717;0.51021117;1134.3491;679.4037;0.5063005;0.59080684;0.6290775;0.0;0.0;0.46143165;0.0;0.0
0.9434395;1063.0;337.0;438.0;558.0;0.55364585;0.31203705;0.228125;0.51666665;1078.8586;224.86752;0.9959966;0.56190556;0.20821068;1106.4016;202.84914;0.98891836;0.57625085;0.18782328;1058.6605;199.34946;0.98680484;0.5513857;0.18458283;1146.382;187.42493;0.83648884;0.5970739;0.1735416;1025.6682;177.15099;0.77075624;0.5342022;0.16402869;1172.4342;243.07274;0.99858993;0.6106428;0.22506735;966.7987;265.6809;0.9980792;0.503541;0.24600084;1203.3737;351.82867;0.9927776;0.6267571;0.32576728;885.0594;435.24225;0.9876386;0.46096843;0.40300208;1231.8204;440.07718;0.98977214;0.64157313;0.40747887;1006.23724;481.19064;0.98445255;0.5240819;0.4455469;1125.3562;444.9104;0.9956601;0.58612305;0.41195408;992.5106;462.87262;0.9952441;0.5169326;0.42858577;1170.3215;550.31506;0.92238444;0.6095425;0.509551;987.7595;591.10785;0.9256015;0.51445806;0.5473221;0.0;0.0;0.42588252;0.0;0.0;0.0;0.0;0.4227847;0.0;0.0
0.9431014;1060.5;341.0;441.0;552.0;0.5523437;0.31574073;0.2296875;0.51111114;1074.9888;230.01486;0.99595994;0.55989;0.21297672;1102.6295;207.73898;0.99028254;0.5742862;0.19235091;1054.3291;203.70325;0.9862511;0.5491297;0.18861412;1141.9044;193.18057;0.83072615;0.5947419;0.1788709;1020.19855;181.9059;0.724542;0.5313534;0.16843139;1162.9408;249.57555;0.99753004;0.60569835;0.23108847;964.42035;271.94852;0.99637055;0.5023023;0.25180417;1202.3328;362.81427;0.9916099;0.626215;0.33593914;870.8863;450.3284;0.98226523;0.4535866;0.41697073;1227.83;445.5952;0.9890577;0.6394948;0.41258815;1011.2295;494.12662;0.9798354;0.526682;0.45752466;1118.1511;471.13843;0.98750675;0.5823704;0.43623927;990.51086;489.6289;0.9846319;0.5158911;0.4533601;1150.7871;592.2226;0.7397718;0.5993683;0.54835427;989.001;633.29114;0.7143556;0.51510465;0.58638066;0.0;0.0;0.118553266;0.0;0.0;0.0;0.0;0.105906114;0.0;0.0
0.9405286;1059.0;349.5;444.0;559.0;0.5515625;0.3236111;0.23125;0.5175926;1072.0718;236.48543;0.99437124;0.5583707;0.21896799;1099.8035;213.48213;0.988032;0.5728143;0.19766864;1052.0132;210.43228;0.9830277;0.5479235;0.19484471;1139.801;195.62875;0.8339647;0.59364635;0.18113774;1019.1697;186.83812;0.6981266;0.53081757;0.17299826;1165.1162;255.62663;0.99571264;0.6068314;0.23669133;962.6312;274.13425;0.9950943;0.50137043;0.25382802;1200.3812;361.10898;0.9844753;0.62519854;0.33436015;881.0092;440.1535;0.9766675;0.45885897;0.40754953;1224.5935;448.15952;0.9828084;0.6378091;0.4149625;1015.09625;500.6558;0.97539526;0.52869594;0.46357018;1119.8508;457.8719;0.98543257;0.58325565;0.42395544;990.3078;471.98364;0.9851001;0.51578534;0.43702188;1126.2495;606.85297;0.77692926;0.58658826;0.5619009;981.0394;634.86475;0.7792985;0.510958;0.58783776;0.0;0.0;0.15052696;0.0;0.0;0.0;0.0;0.14669968;0.0;0.0
0.9414882;1057.0;357.0;446.0;568.0;0.55052084;0.33055556;0.23229167;0.52592593;1069.7705;242.09138;0.9945458;0.5571721;0.22415869;1097.9287;218.4987;0.98803574;0.57183784;0.20231362;1049.258;215.31328;0.9847195;0.5464886;0.19936414;1138.2257;198.99156;0.82077366;0.5928259;0.18425144;1015.6833;189.9835;0.72411066;0.5290017;0.17591065;1166.8993;259.42166;0.9954608;0.6077601;0.24020524;956.98865;276.7903;0.994747;0.4984316;0.25628734;1199.4047;362.07324;0.98284656;0.62468994;0.335253;878.6527;442.8451;0.97490054;0.45763162;0.41004175;1223.8525;449.48422;0.98101807;0.6374232;0.4161891;1012.479;512.0264;0.97317636;0.52733284;0.47409853;1117.9478;471.4317;0.98238707;0.5822645;0.43651083;982.4369;483.72272;0.981937;0.5116859;0.4478914;1126.2664;631.87946;0.6730801;0.5865971;0.5850736;970.9195;652.75665;0.6739258;0.50568724;0.60440433;0.0;0.0;0.085042894;0.0;0.0;0.0;0.0;0.08182429;0.0;0.0
0.9322601;1055.5;366.5;447.0;579.0;0.5497396;0.33935186;0.2328125;0.5361111;1066.5623;249.60202;0.99481237;0.55550116;0.23111299;1094.8585;226.35924;0.9885889;0.5702388;0.20959188;1045.9849;222.77444;0.985302;0.5447838;0.20627263;1135.278;205.28615;0.8224562;0.5912906;0.19007976;1011.9328;195.25055;0.7354524;0.52704835;0.18078755;1163.0764;258.88074;0.9967547;0.605769;0.23970439;953.85406;278.50983;0.9952625;0.496799;0.25787947;1198.6829;363.19797;0.98734236;0.624314;0.3362944;872.30365;452.32553;0.9754455;0.4543248;0.41881993;1222.2842;453.21973;0.9833851;0.63660634;0.4196479;1007.747;522.3286;0.9703388;0.52486825;0.4836376;1115.3882;477.12408;0.98626745;0.58093137;0.44178155;979.71173;490.2812;0.9838774;0.51026654;0.45396405;1140.3823;639.0588;0.66333455;0.59394914;0.5917211;978.56;655.69794;0.63280135;0.5096667;0.6071277;0.0;0.0;0.07853177;0.0;0.0;0.0;0.0;0.0691625;0.0;0.0
