box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.94495493;797.0;546.0;452.0;726.0;0.41510418;0.50555557;0.23541667;0.6722222;642.4713;311.78534;0.98398614;0.33462048;0.28869012;656.3297;287.1266;0.9715147;0.3418384;0.26585796;622.95776;295.33942;0.85467947;0.32445717;0.2734624;699.86475;259.01825;0.92079186;0.3645129;0.23983172;0.0;0.0;0.32891825;0.0;0.0;795.33215;336.9923;0.9989629;0.4142355;0.31202993;628.2433;345.75516;0.99423754;0.32721004;0.32014367;855.4691;474.3798;0.99825364;0.44555682;0.43924055;636.8262;462.116;0.9770722;0.3316803;0.42788517;743.30365;507.6454;0.99607676;0.38713732;0.47004202;589.6372;543.5392;0.9682701;0.3071027;0.503277;854.3738;553.9969;0.9992828;0.44498634;0.5129601;731.0202;548.6487;0.99835736;0.3807397;0.50800806;898.7864;717.6196;0.9922214;0.4681179;0.6644626;640.7245;685.36786;0.9814455;0.33371067;0.63459986;989.5662;820.00275;0.9281802;0.5153991;0.7592618;706.4399;760.4636;0.8943241;0.36793745;0.704133
0.94657636;794.5;545.5;455.0;727.0;0.4138021;0.5050926;0.23697917;0.67314816;642.12103;311.22256;0.98303694;0.33443803;0.28816906;655.36395;286.6659;0.96940213;0.3413354;0.26543137;622.90375;295.40662;0.84854436;0.32442904;0.27352464;697.98;258.97495;0.9161111;0.36353123;0.23979162;0.0;0.0;0.32477626;0.0;0.0;793.61743;336.2594;0.9989029;0.41334242;0.3113513;629.52045;342.64816;0.9941719;0.32787523;0.31726682;853.44543;475.42172;0.9981901;0.44450283;0.4402053;635.0047;453.00085;0.9778024;0.3307316;0.41944525;737.7473;508.10242;0.9959908;0.3842434;0.4704652;586.07837;536.12524;0.9691892;0.30524915;0.49641228;852.8015;551.7878;0.9992712;0.44416746;0.5109146;731.16925;545.61847;0.99837875;0.38081732;0.5052023;896.31793;714.6456;0.99210316;0.46683225;0.6617089;641.8124;683.2842;0.9816644;0.33427727;0.6326705;989.52704;818.07385;0.92794514;0.51537865;0.7574758;703.5522;758.192;0.8954965;0.36643344;0.70202965
0.9472307;792.5;544.5;461.0;727.0;0.4127604;0.50416666;0.24010417;0.67314816;639.8473;310.0762;0.9835159;0.3332538;0.2871076;652.666;285.16644;0.9699836;0.3399302;0.264043;620.5365;294.34518;0.84838176;0.32319608;0.27254185;695.5682;256.7797;0.91836315;0.3622751;0.23775898;0.0;0.0;0.32419857;0.0;0.0;792.60156;335.24515;0.9989987;0.4128133;0.31041217;630.1314;339.61945;0.99465644;0.32819346;0.31446245;848.3907;476.54865;0.99836737;0.44187015;0.44124874;634.6615;445.39948;0.9798346;0.33055288;0.41240692;733.0805;506.03302;0.99631655;0.38181275;0.4685491;581.3499;528.15234;0.9715016;0.3027864;0.48902994;853.6584;549.4754;0.9993649;0.44461375;0.5087735;732.4532;542.31024;0.9985921;0.38148603;0.5021391;896.5822;714.8224;0.99295616;0.4669699;0.66187257;639.6927;682.7392;0.98363066;0.33317327;0.6321659;989.7279;818.51263;0.93345964;0.51548326;0.75788206;700.355;756.50287;0.90344745;0.3647682;0.7004656
0.9467914;791.5;544.0;467.0;728.0;0.41223958;0.5037037;0.24322917;0.67407405;638.0037;308.30725;0.9836078;0.3322936;0.28546968;650.79755;283.3559;0.97123486;0.33895704;0.26236656;618.6286;292.64374;0.8472427;0.32220238;0.2709664;693.36;254.94362;0.9208144;0.361125;0.2360589;0.0;0.0;0.31824154;0.0;0.0;788.8979;333.12872;0.9989864;0.41088432;0.30845252;629.6893;336.97028;0.9941116;0.32796317;0.3120095;837.3206;474.61572;0.99835724;0.43610448;0.439459;635.08966;439.52856;0.9771046;0.33077586;0.4069709;724.9728;506.2989;0.99618196;0.37759;0.46879527;576.9466;518.5169;0.967971;0.30049303;0.48010826;854.6443;547.1834;0.9993211;0.44512722;0.5066513;734.49664;540.10095;0.9984282;0.38255033;0.50009346;897.352;712.75037;0.99280167;0.46737084;0.6599541;640.2987;679.8608;0.9825163;0.3334889;0.62950075;990.17523;819.84705;0.93302214;0.51571625;0.75911766;701.01324;755.33813;0.9005233;0.36511105;0.69938713
0.9463507;788.0;543.5;472.0;729.0;0.41041666;0.50324076;0.24583334;0.675;636.2181;306.63327;0.9847297;0.3313636;0.2839197;648.5702;281.78607;0.9715713;0.337797;0.26091304;617.0162;291.26505;0.85693675;0.32136258;0.26968986;690.1397;254.03313;0.9203354;0.35944778;0.23521586;0.0;0.0;0.33976513;0.0;0.0;786.2485;332.00006;0.9990823;0.4095044;0.30740747;628.94684;333.10745;0.9953478;0.3275765;0.30843282;834.0504;477.16418;0.9984713;0.43440124;0.44181868;631.5736;431.9132;0.982232;0.3289446;0.39991963;721.0408;505.8565;0.9964108;0.37554207;0.46838567;570.70764;511.4111;0.97367233;0.29724357;0.4735288;854.61755;545.57635;0.99943596;0.4451133;0.5051633;735.3062;537.5065;0.9987895;0.38297197;0.49769118;895.04333;712.2087;0.99372166;0.4661684;0.6594525;638.096;679.23334;0.98573595;0.33234167;0.6289198;991.42426;818.9193;0.93927795;0.5163668;0.75825864;698.8393;754.7556;0.9130394;0.3639788;0.6988478
0.9456057;785.5;543.0;477.0;732.0;0.40911457;0.50277776;0.2484375;0.67777777;633.72235;307.07675;0.98390627;0.33006373;0.28433034;646.25653;282.0706;0.9711339;0.33659193;0.26117647;614.6665;291.4217;0.84730476;0.3201388;0.2698349;688.39325;252.90038;0.9198701;0.35853815;0.23416701;0.0;0.0;0.3183264;0.0;0.0;784.84357;331.88168;0.99903333;0.40877268;0.30729786;627.6574;328.62686;0.9945755;0.3269049;0.30428413;827.39813;482.79987;0.9984511;0.43093652;0.44703692;630.1952;424.71014;0.9794446;0.32822666;0.39325014;709.06165;506.5264;0.99634546;0.36930293;0.4690059;565.79297;505.83014;0.9704212;0.29468384;0.46836123;853.05743;545.95056;0.99938166;0.44430074;0.5055098;733.12775;535.867;0.99861217;0.38183737;0.49617314;893.9487;708.233;0.9934784;0.4655983;0.65577126;634.47986;673.24445;0.9845173;0.33045825;0.62337446;990.05005;817.348;0.9388811;0.51565105;0.75680375;695.4397;750.8914;0.91023743;0.3622082;0.6952698
0.9451801;783.0;541.5;482.0;731.0;0.4078125;0.5013889;0.25104168;0.67685187;629.3767;305.3044;0.98282063;0.32780036;0.28268927;642.161;280.75906;0.96951115;0.33445886;0.25996208;610.88855;289.4112;0.8341505;0.3181711;0.26797333;684.67725;252.57066;0.9194893;0.35660273;0.23386173;0.0;0.0;0.30058965;0.0;0.0;781.6152;330.9619;0.999064;0.40709123;0.30644622;625.8309;327.18887;0.994477;0.32595357;0.30295265;828.31903;479.55377;0.99855787;0.43141615;0.44403127;629.566;419.98022;0.9796683;0.32789895;0.38887057;712.84314;503.3409;0.9965654;0.37127247;0.4660564;562.4982;498.47803;0.97072405;0.29296783;0.46155372;851.5785;545.8852;0.9994398;0.44353047;0.50544924;732.3733;535.60144;0.99871314;0.38144442;0.49592727;893.9407;710.2385;0.9940143;0.4655941;0.65762824;634.2915;674.1494;0.9854849;0.33036014;0.62421244;991.23035;816.6825;0.94287795;0.5162658;0.7561875;693.7943;751.91077;0.91506684;0.3613512;0.69621366
0.94535667;781.0;540.5;486.0;731.0;0.40677083;0.50046295;0.253125;0.67685187;625.12646;306.32584;0.9792382;0.3255867;0.28363502;637.6419;281.93265;0.96481544;0.33210516;0.26104873;607.783;289.86072;0.79446775;0.31655365;0.26838955;681.2156;251.71957;0.91648114;0.35479978;0.23307368;0.0;0.0;0.25439698;0.0;0.0;778.89954;328.12582;0.9990483;0.40567684;0.3038202;624.16345;323.19965;0.993543;0.32508513;0.29925892;819.5221;478.82272;0.99870193;0.42683443;0.44335437;622.2466;417.85046;0.9774524;0.32408676;0.38689858;702.6844;500.9957;0.99684525;0.36598146;0.4638849;555.39606;496.96637;0.96857464;0.2892688;0.46015406;849.432;545.0922;0.9994741;0.4424125;0.504715;730.8759;534.7052;0.9986985;0.38066453;0.4950974;890.6318;708.92896;0.9943614;0.4638707;0.6564157;634.57697;673.5334;0.9852911;0.33050883;0.623642;991.3458;812.35364;0.9458441;0.51632595;0.75217927;694.9313;751.6815;0.91586536;0.36194336;0.6960014
0.9455278;777.0;540.0;496.0;734.0;0.4046875;0.5;0.25833333;0.6796296;620.70575;303.68408;0.9808874;0.32328424;0.28118896;633.43616;279.42722;0.9698552;0.32991466;0.2587289;603.69055;287.13327;0.7965729;0.31442216;0.26586413;678.48486;250.474;0.9279743;0.35337752;0.23192038;0.0;0.0;0.23980595;0.0;0.0;775.4687;326.36768;0.9991665;0.40388995;0.3021923;620.98376;323.6163;0.9929913;0.32342905;0.29964474;813.30524;476.936;0.9988808;0.42359647;0.44160742;614.5489;419.43283;0.97350985;0.32007754;0.38836372;699.08417;499.01633;0.9971411;0.36410633;0.46205217;547.7363;488.12338;0.96398723;0.28527933;0.4519661;848.2799;539.98865;0.99949837;0.44181246;0.49998948;729.617;531.084;0.9986051;0.38000885;0.49174443;887.8847;704.0717;0.9948849;0.46243995;0.65191823;633.5722;670.98724;0.98501956;0.32998553;0.6212845;992.68854;813.27234;0.94968796;0.5170253;0.75302994;693.5526;754.0053;0.91637015;0.3612253;0.6981531
0.9473888;773.0;540.5;504.0;735.0;0.40260416;0.50046295;0.2625;0.6805556;618.2318;302.0345;0.9819796;0.32199574;0.27966157;630.82983;277.7765;0.9697766;0.3285572;0.25720045;600.8115;285.8921;0.8156528;0.31292266;0.2647149;676.2941;249.70761;0.92235273;0.35223654;0.23121075;0.0;0.0;0.26533288;0.0;0.0;771.6795;326.91617;0.99908566;0.4019164;0.30270016;621.47003;320.0754;0.99383646;0.3236823;0.29636613;805.1486;478.0763;0.9986904;0.41934824;0.44266322;612.5386;407.87204;0.97751004;0.3190305;0.3776593;691.1107;495.398;0.99675;0.3599535;0.45870185;544.52295;481.07895;0.968176;0.2836057;0.44544348;845.79236;537.2538;0.99947304;0.44051686;0.4974572;729.2312;527.0406;0.9987123;0.37980792;0.48800054;885.28015;703.04987;0.99478406;0.4610834;0.65097207;634.9572;670.37036;0.9865291;0.3307069;0.6207133;992.8803;813.7004;0.949837;0.5171252;0.75342625;688.8274;755.52594;0.92225134;0.35876426;0.69956106
