box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9430751;758.0;410.5;402.0;819.0;0.39479166;0.3800926;0.209375;0.7583333;701.1901;128.41617;0.9907101;0.3652032;0.11890386;725.6277;103.75868;0.97253877;0.3779311;0.09607285;677.16064;106.00873;0.9545274;0.35268784;0.09815623;771.99817;90.34245;0.84871763;0.40208238;0.08365042;647.4346;94.575485;0.66917014;0.3372055;0.08756989;840.7597;206.50069;0.9970084;0.4378957;0.19120434;631.9552;200.89975;0.99646735;0.32914335;0.18601829;924.1191;348.69452;0.98932236;0.481312;0.3228653;610.04736;358.04672;0.9853418;0.317733;0.33152473;848.179;489.62247;0.9848236;0.4417599;0.45335415;675.10706;494.08255;0.9789205;0.35161826;0.45748383;841.035;496.9096;0.99692696;0.43803903;0.4601015;703.85675;482.4428;0.9966903;0.36659205;0.4467063;866.60803;734.4927;0.96577746;0.45135835;0.68008584;689.03046;649.3582;0.9623232;0.35887003;0.6012576;923.91876;871.1302;0.716128;0.4812077;0.806602;714.3585;760.72504;0.7325153;0.37206173;0.704375
0.9431078;761.5;410.0;405.0;820.0;0.39661458;0.37962964;0.2109375;0.7592593;703.85376;128.1643;0.9903357;0.3665905;0.11867066;728.60815;103.095474;0.97171694;0.3794834;0.095458776;679.6996;105.414;0.952067;0.3540102;0.097605556;774.90106;87.602646;0.84446806;0.40359432;0.08111356;649.41266;91.612335;0.6509747;0.33823577;0.08482624;842.2123;204.71718;0.99684083;0.43865222;0.18955295;634.82355;198.36058;0.9961753;0.33063728;0.1836672;927.93365;345.75766;0.9890639;0.48329878;0.320146;612.3886;355.27798;0.98423576;0.3189524;0.3289611;849.20715;486.65985;0.98460996;0.4422954;0.45061097;676.9228;491.79614;0.977728;0.35256395;0.4553668;842.1535;500.28223;0.99688464;0.4386216;0.4632243;706.4055;484.86044;0.9965837;0.36791953;0.44894487;867.351;733.5907;0.96723604;0.45174533;0.67925066;691.3238;644.3972;0.9632315;0.36006448;0.5966641;933.2719;878.25366;0.7277202;0.48607913;0.81319785;718.37146;762.29065;0.74212444;0.3741518;0.7058247
0.94396096;763.5;410.5;407.0;819.0;0.39765626;0.3800926;0.21197917;0.7583333;706.40936;128.10104;0.9904655;0.36792153;0.11861208;731.18787;102.75348;0.97153676;0.380827;0.09514211;681.919;105.525055;0.9534178;0.35516614;0.09770838;776.94214;87.17523;0.842438;0.40465736;0.08071781;650.8495;91.878845;0.6592121;0.3389841;0.085073;843.3089;205.7353;0.9968053;0.43922338;0.19049565;636.3098;199.01624;0.9963897;0.33141136;0.18427429;932.19525;345.34863;0.9887108;0.48551837;0.31976727;613.75775;352.3613;0.98499805;0.3196655;0.32626045;850.2625;485.45352;0.9840996;0.44284505;0.449494;675.40375;479.76144;0.9782713;0.3517728;0.44422355;840.9941;503.12952;0.99685526;0.43801776;0.46586066;705.6174;487.13205;0.9966409;0.36750904;0.4510482;869.5932;733.9552;0.9657187;0.45291314;0.67958814;691.7701;642.4394;0.96248907;0.3602969;0.5948513;940.0767;875.6769;0.7183741;0.48962328;0.81081194;722.0279;754.81244;0.7369823;0.3760562;0.6989004
0.9438086;766.0;410.0;408.0;818.0;0.39895833;0.37962964;0.2125;0.7574074;710.3685;128.76544;0.99003476;0.3699836;0.11922726;734.9804;103.10779;0.96959186;0.3828023;0.095470175;685.5955;106.15837;0.9527912;0.357081;0.09829479;780.0491;85.98038;0.83328265;0.40627557;0.07961146;653.7695;91.19064;0.6642993;0.34050494;0.08443578;846.5114;204.38388;0.9965855;0.44089136;0.18924433;637.12573;197.4505;0.9963821;0.3318363;0.18282454;934.22687;346.23132;0.98793054;0.4865765;0.32058457;616.7579;350.81195;0.9852867;0.32122806;0.32482588;850.1426;486.334;0.9832033;0.44278258;0.45030928;678.5471;477.83792;0.97843903;0.35340995;0.4424425;841.8873;504.62735;0.99661726;0.43848297;0.46724755;704.84827;488.88528;0.99649185;0.36710846;0.45267156;874.1051;734.21484;0.961504;0.45526308;0.6798286;692.60986;645.6275;0.9591125;0.3607343;0.59780324;940.77966;869.1931;0.69575864;0.4899894;0.80480844;726.9889;750.92523;0.71827996;0.37864006;0.6953011
0.94333845;769.5;410.0;409.0;818.0;0.40078124;0.37962964;0.21302083;0.7574074;713.58563;130.7514;0.9898544;0.3716592;0.121066116;738.1124;104.48584;0.96893007;0.38443357;0.09674615;688.44995;108.12268;0.9506478;0.35856768;0.10011359;783.56476;85.82025;0.8362277;0.40810665;0.0794632;656.261;92.20697;0.65777284;0.3418026;0.08537682;850.3611;206.891;0.9968875;0.4428964;0.19156575;639.12476;199.25409;0.9966832;0.3328775;0.18449453;935.78674;349.9607;0.98920596;0.48738894;0.32403767;618.7054;348.54587;0.9864383;0.32224238;0.32272765;850.3208;485.57074;0.9845984;0.44287542;0.44960254;677.8692;466.77255;0.97957957;0.35305688;0.4321968;843.9765;502.6919;0.9971167;0.43957108;0.46545547;706.0152;486.60773;0.9969728;0.36771625;0.45056272;877.9462;730.5916;0.9657019;0.45726365;0.67647374;691.0197;642.49835;0.9630536;0.3599061;0.59490585;945.9234;862.0388;0.7169635;0.49266845;0.7981841;732.60474;741.10095;0.73740053;0.38156497;0.6862046
0.9429701;773.0;409.5;410.0;817.0;0.40260416;0.37916666;0.21354167;0.75648147;716.9799;131.83493;0.98999256;0.37342703;0.12206938;741.2294;105.77966;0.9691843;0.38605696;0.09794413;692.41046;109.15448;0.9506734;0.36063045;0.101068966;785.4935;87.476715;0.8416549;0.4091112;0.08099696;660.5649;93.13344;0.6621388;0.3440442;0.08623467;852.5233;208.70915;0.99711466;0.44402257;0.19324921;640.1919;200.59691;0.99694026;0.33343327;0.18573788;938.35016;352.33505;0.99003905;0.48872405;0.32623616;620.86554;350.8321;0.98727334;0.32336748;0.32484454;852.2961;485.77994;0.9854575;0.44390422;0.44979623;683.9174;467.23224;0.9803547;0.35620698;0.43262243;847.31165;505.16806;0.99731004;0.44130814;0.4677482;708.21405;489.254;0.99715424;0.3688615;0.45301297;882.01874;734.2458;0.96468526;0.45938477;0.6798572;690.6598;646.5155;0.9616109;0.35971865;0.5986255;953.59937;858.4184;0.70243925;0.49666634;0.7948319;740.203;737.8321;0.7227552;0.3855224;0.6831779
0.9410769;776.5;410.0;411.0;818.0;0.40442708;0.37962964;0.2140625;0.7574074;719.0518;134.47348;0.990853;0.37450615;0.12451248;743.2082;108.34071;0.97248805;0.3870876;0.100315474;694.1244;112.185196;0.95293105;0.36152312;0.10387518;787.3579;90.22916;0.8567919;0.41008225;0.08354551;661.80963;96.94794;0.66329175;0.34469253;0.08976661;854.52814;209.84012;0.99750155;0.44506675;0.1942964;642.14594;201.84769;0.9970392;0.33445102;0.18689601;940.6341;354.7218;0.991418;0.48991358;0.32844612;624.995;351.61517;0.98704183;0.32551822;0.3255696;853.82886;487.81763;0.98692644;0.44470254;0.45168298;684.3118;464.73038;0.97986937;0.3564124;0.4303059;849.61194;504.86755;0.99752766;0.44250622;0.46746996;709.62177;488.59076;0.99720854;0.36959466;0.45239884;888.4382;737.3097;0.96525115;0.4627282;0.68269414;692.7219;646.98914;0.9598547;0.36079267;0.599064;962.26447;859.30316;0.6953885;0.5011794;0.7956511;745.8547;731.9223;0.7095137;0.38846597;0.6777058
0.93720156;780.0;409.5;412.0;819.0;0.40625;0.37916666;0.21458334;0.7583333;720.8606;137.62596;0.9915822;0.37544823;0.12743145;746.1099;109.53461;0.9783919;0.38859892;0.10142093;697.0049;113.101456;0.95164824;0.36302337;0.10472357;792.59656;91.19568;0.89339375;0.4128107;0.08444044;664.6989;96.60594;0.64977795;0.34619734;0.08944995;861.06885;213.39337;0.99856853;0.44847336;0.19758646;645.733;205.86993;0.99615014;0.33631927;0.1906203;948.5882;357.48303;0.99543923;0.49405634;0.3310028;623.3456;353.34488;0.98131174;0.32465917;0.32717118;858.503;487.49518;0.9916528;0.44713697;0.45138443;688.42267;465.9775;0.9740616;0.35855347;0.43146065;854.0455;505.54984;0.99821305;0.44481534;0.4681017;708.9318;491.1288;0.99705696;0.36923534;0.4547489;890.9991;737.8563;0.9748054;0.46406204;0.6832003;694.7034;651.1174;0.95758826;0.3618247;0.60288644;963.676;857.5825;0.7307355;0.5019146;0.7940579;755.55273;730.79626;0.68973553;0.39351705;0.6766632
0.93777084;782.0;410.5;412.0;819.0;0.40729168;0.3800926;0.21458334;0.7583333;725.0281;139.50093;0.99140584;0.3776188;0.12916753;748.8465;113.172775;0.9767163;0.39002421;0.10478961;701.00543;115.74481;0.9490699;0.365107;0.107171126;793.88654;94.55521;0.9016299;0.41348258;0.08755112;671.56775;99.35765;0.6536761;0.34977487;0.091997825;864.1846;215.92068;0.99864584;0.45009613;0.19992656;647.9269;205.62479;0.99752504;0.33746192;0.19039331;949.03424;364.0224;0.99571747;0.49428865;0.33705777;631.1135;355.83966;0.98771787;0.32870495;0.32948115;853.68475;494.85437;0.99216133;0.44462746;0.4581985;689.59314;469.2598;0.9800813;0.3591631;0.4344998;854.0026;503.80435;0.99862516;0.44479305;0.4664855;711.1473;486.4663;0.99800104;0.3703892;0.45043176;899.0488;742.00543;0.9733234;0.4682546;0.68704206;694.0846;649.96765;0.96116424;0.36150238;0.6018219;970.1411;848.5188;0.6951291;0.5052818;0.7856656;764.2399;718.9687;0.6809571;0.39804164;0.66571176
0.9402125;786.5;410.0;417.0;820.0;0.40963542;0.37962964;0.2171875;0.7592593;727.47534;145.29515;0.99112976;0.3788934;0.13453254;751.4268;118.33923;0.97607315;0.39136812;0.109573364;703.4174;120.54561;0.9462716;0.36636323;0.111616306;796.8964;95.29635;0.8992247;0.4150502;0.08823736;674.07446;99.10716;0.63624513;0.35108045;0.09176589;868.1325;218.44612;0.99862015;0.45215234;0.20226492;649.7268;205.81761;0.99735105;0.33839938;0.19057186;951.7927;368.06635;0.99583024;0.49572536;0.34080216;634.4134;356.3708;0.98713255;0.33042365;0.32997295;853.8016;497.74292;0.99248964;0.44468832;0.46087307;692.7444;473.18237;0.97973025;0.36080438;0.43813184;856.90796;508.53354;0.99856985;0.44630623;0.4708644;712.9221;489.88605;0.9978638;0.3713136;0.4535982;905.7592;743.7552;0.9714408;0.4717496;0.68866223;694.54205;649.02325;0.9574152;0.36174065;0.60094744;975.6348;844.18066;0.6804266;0.5081431;0.78164876;766.6247;712.23016;0.6626485;0.3992837;0.65947235
