box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.94473666;951.5;344.5;421.0;689.0;0.49557292;0.31898147;0.21927084;0.63796294;917.18414;88.54502;0.98830485;0.47770008;0.08198613;936.9545;64.74202;0.9786289;0.48799714;0.059946314;895.7069;66.61755;0.94057435;0.46651402;0.06168292;986.80334;35.339493;0.88538533;0.51396006;0.032721754;876.1328;43.16945;0.53548867;0.45631918;0.039971713;1063.8234;126.15512;0.99608815;0.55407465;0.1168103;866.36993;130.05215;0.9851184;0.45123434;0.12041866;1134.1359;289.7451;0.98872656;0.59069574;0.26828247;829.2303;251.04391;0.93377167;0.4318908;0.23244807;1045.91;414.76926;0.98093545;0.5447448;0.3840456;788.12134;342.44778;0.92414427;0.41047987;0.31708127;1047.3563;401.40143;0.9935348;0.5454981;0.37166798;918.26184;401.1979;0.98813206;0.47826138;0.37147954;1080.3246;565.4248;0.96321756;0.56266904;0.5235415;884.4864;590.44745;0.93660456;0.46067;0.5467106;1057.9065;706.387;0.76034254;0.55099297;0.65406203;867.9331;740.01984;0.6914309;0.45204848;0.68520355
0.94199437;947.0;344.0;430.0;688.0;0.49322918;0.31851852;0.22395833;0.63703704;915.52814;87.81159;0.9884819;0.47683758;0.08130703;935.2409;65.515274;0.97800964;0.48710462;0.060662292;894.347;65.70021;0.93694454;0.4658057;0.06083353;986.19855;37.742294;0.8844824;0.51364505;0.03494657;875.8016;43.028824;0.5123705;0.45614666;0.039841503;1064.4636;125.21452;0.9958032;0.55440813;0.11593937;865.27026;128.73862;0.9862089;0.4506616;0.11920242;1134.0375;291.30856;0.98855877;0.59064454;0.26973015;832.16895;249.03017;0.9423403;0.4334213;0.23058349;1042.4037;418.2609;0.9837601;0.54291856;0.38727862;784.6116;340.98434;0.9382667;0.40865186;0.31572625;1051.914;399.9341;0.9926057;0.5478718;0.37030935;921.1687;400.48758;0.98747224;0.47977537;0.37082183;1081.3367;562.1043;0.95937884;0.5631962;0.5204669;884.36774;592.0049;0.93391985;0.46060818;0.5481527;1062.6045;688.6952;0.75378937;0.55343986;0.6376807;870.62665;735.24335;0.6899735;0.45345137;0.6807809
0.94389814;941.0;344.0;442.0;688.0;0.49010417;0.31851852;0.23020834;0.63703704;913.93365;88.74669;0.9888548;0.4760071;0.08217286;933.9573;66.00801;0.9789104;0.48643607;0.06111853;892.332;66.41769;0.93706596;0.46475622;0.06149786;985.7159;37.362717;0.88927346;0.5133937;0.03459511;873.23224;43.278442;0.5059353;0.45480844;0.04007263;1064.79;125.10718;0.99611866;0.5545781;0.11583998;864.8676;129.85489;0.9865708;0.45045188;0.12023601;1135.0895;291.5326;0.98949033;0.5911924;0.26993757;832.13165;250.00302;0.94303995;0.4334019;0.23148428;1041.438;419.29376;0.9848654;0.5424156;0.38823497;777.13605;341.09256;0.9389242;0.40475836;0.31582645;1053.3593;400.89395;0.9933263;0.54862463;0.37119812;922.3592;401.54297;0.98840684;0.4803954;0.37179905;1081.8165;562.7663;0.96398497;0.5634461;0.5210799;883.96515;592.53925;0.9397417;0.46039852;0.54864746;1062.4113;693.1093;0.7735718;0.5533392;0.64176786;870.08203;738.9077;0.70984143;0.45316774;0.6841738
0.94089556;936.0;344.5;452.0;689.0;0.4875;0.31898147;0.23541667;0.63796294;913.12976;90.36827;0.9891016;0.4755884;0.08367433;932.71844;67.837326;0.9790196;0.48579085;0.062812336;891.7399;68.38623;0.9393126;0.4644479;0.063320585;984.2441;39.13307;0.8875738;0.5126271;0.036234327;873.45856;45.422173;0.51454306;0.45492634;0.042057566;1064.4463;124.93609;0.996007;0.55439913;0.11568157;865.2583;129.34676;0.9870111;0.45065537;0.11976551;1134.9747;294.0086;0.98904103;0.5911327;0.27223018;831.5741;248.23082;0.9457317;0.43311152;0.22984335;1040.1975;421.19568;0.98437667;0.54176956;0.389996;773.55524;339.02914;0.941145;0.40289336;0.31391588;1053.743;403.0862;0.9931538;0.5488245;0.37322798;922.8254;404.04807;0.9885501;0.4806382;0.37411857;1082.509;564.9767;0.9627439;0.5638068;0.52312654;883.9083;598.69147;0.93990016;0.46036893;0.55434394;1062.3671;694.2552;0.7673769;0.5533162;0.6428289;868.2433;745.9032;0.7064613;0.45221004;0.6906511
0.94328237;929.5;345.0;465.0;688.0;0.4841146;0.31944445;0.2421875;0.63703704;911.1431;93.96131;0.98872536;0.4745537;0.08700121;931.07965;69.598114;0.9791342;0.4849373;0.0644427;889.3644;71.470436;0.93886596;0.4632106;0.06617633;981.6114;36.61814;0.88957274;0.5112559;0.033905685;869.63214;44.58909;0.51912147;0.4529334;0.041286193;1061.6841;127.14235;0.9966037;0.55296046;0.1177244;864.34424;131.5017;0.9863729;0.45017928;0.12176083;1136.8539;295.9938;0.99061185;0.5921114;0.27406833;828.7086;250.80272;0.9407068;0.43161908;0.23222473;1039.3542;420.90283;0.98403186;0.54133034;0.38972485;768.9189;337.86533;0.93255645;0.40047857;0.31283826;1050.9207;403.71643;0.9944754;0.5473545;0.3738115;922.6383;403.6435;0.9897077;0.48054078;0.37374398;1080.8395;567.79694;0.9664745;0.5629372;0.5257379;886.5874;596.5943;0.9410238;0.46176428;0.55240214;1056.9453;697.7976;0.76946235;0.55049235;0.6461089;868.1021;737.8265;0.699046;0.45213652;0.68317264
0.9406144;925.0;345.5;476.0;687.0;0.48177084;0.3199074;0.24791667;0.63611114;909.6894;95.17154;0.9896221;0.47379655;0.088121794;928.7134;72.21474;0.97963834;0.4837049;0.0668655;887.2943;73.07604;0.9398138;0.46213245;0.067663;982.349;39.885315;0.87703454;0.51164013;0.036930848;0.0;0.0;0.48476845;0.0;0.0;1065.6411;126.11302;0.99525213;0.5550214;0.11677132;865.92206;130.33649;0.98600996;0.45100108;0.120681934;1132.8406;297.5824;0.98716694;0.59002113;0.27553925;829.2898;245.11638;0.9443328;0.43192178;0.22695962;1038.0312;423.3287;0.98373634;0.54064125;0.39197102;764.5087;337.1826;0.94203776;0.39818162;0.3122061;1058.0903;405.33023;0.9914392;0.5510887;0.37530577;927.49365;406.6907;0.9866197;0.4830696;0.37656546;1084.5552;565.77905;0.957395;0.5648725;0.5238695;885.3878;604.3411;0.9348795;0.4611395;0.55957514;1065.6154;688.2466;0.7678804;0.555008;0.6372653;862.0434;746.2141;0.71279365;0.44898093;0.690939
0.9387539;919.5;345.5;489.0;687.0;0.47890624;0.3199074;0.2546875;0.63611114;906.8722;96.44682;0.9897455;0.47232926;0.089302614;926.3625;73.760605;0.98013717;0.48248047;0.06829686;885.0766;73.7845;0.93794376;0.4609774;0.06831898;981.21185;41.367325;0.88309115;0.51104784;0.038303077;0.0;0.0;0.47267443;0.0;0.0;1065.4281;127.17538;0.99569833;0.5549105;0.11775498;864.93365;130.55113;0.9865485;0.45048627;0.12088068;1134.3992;298.88553;0.9886008;0.5908329;0.27674586;828.44476;246.57167;0.9459883;0.43148166;0.2283071;1038.6481;424.0677;0.9853249;0.5409625;0.39265525;761.7235;334.21317;0.94378453;0.396731;0.30945665;1059.0109;404.2119;0.9923608;0.55156815;0.3742703;928.2624;404.64963;0.98766553;0.48347;0.37467557;1083.8547;569.2491;0.9606239;0.56450766;0.5270825;885.8657;602.7938;0.93786526;0.4613884;0.5581424;1065.6624;688.89166;0.7756496;0.5550325;0.6378626;863.2541;743.6549;0.71924835;0.4496115;0.68856937
0.9440494;916.5;344.5;499.0;687.0;0.47734374;0.31898147;0.25989583;0.63611114;904.24884;98.77849;0.9861602;0.47096294;0.09146156;923.3811;74.99081;0.9750302;0.48092765;0.06943593;883.5839;76.56222;0.9185924;0.46019995;0.07089094;975.4856;40.242462;0.888616;0.5080654;0.03726154;0.0;0.0;0.4580733;0.0;0.0;1061.3309;126.13703;0.9969121;0.5527765;0.11679355;864.25055;130.79471;0.98619056;0.4501305;0.121106215;1139.0696;298.2736;0.99253935;0.5932654;0.27617925;827.68195;249.91466;0.94492304;0.43108433;0.23140246;1039.7839;419.81598;0.9870761;0.54155415;0.3887185;757.14355;332.45462;0.9376959;0.3943456;0.30782837;1054.1185;402.957;0.99559987;0.54902005;0.37310833;925.90173;402.5225;0.99135476;0.4822405;0.372706;1082.7332;565.67926;0.9708986;0.56392354;0.52377707;887.2795;594.3952;0.945951;0.46212474;0.5503659;1056.9866;683.9352;0.788841;0.55051386;0.6332733;869.6025;727.37866;0.7163114;0.45291796;0.67349875
0.9427372;913.5;346.0;509.0;688.0;0.47578126;0.32037038;0.26510417;0.63703704;902.1517;98.83202;0.9877108;0.46987066;0.09151113;921.1818;76.74184;0.97765255;0.4797822;0.07105725;881.7377;76.42236;0.91918284;0.45923838;0.07076145;976.90106;44.280396;0.8878622;0.50880265;0.041000366;0.0;0.0;0.41120037;0.0;0.0;1065.8009;126.74059;0.99611664;0.5551046;0.1173524;864.4171;129.94171;0.98500144;0.45021725;0.1203164;1137.1681;301.2453;0.9908923;0.592275;0.27893084;827.7799;246.50777;0.9419647;0.43113536;0.22824793;1037.8403;423.30478;0.98778754;0.5405418;0.39194888;751.6275;333.01605;0.94045895;0.39147267;0.3083482;1061.219;403.73264;0.99365014;0.5527182;0.3738265;929.842;403.4916;0.9885544;0.4842927;0.37360334;1085.4333;570.14703;0.9657607;0.56532985;0.5279139;885.6863;601.6562;0.9398735;0.46129495;0.5570891;1066.2958;687.36676;0.7939137;0.5553624;0.6364507;867.5612;741.32556;0.7286497;0.4518548;0.6864126
0.93551224;910.5;346.5;517.0;687.0;0.47421876;0.32083333;0.26927084;0.63611114;899.8616;100.13452;0.9875651;0.4686779;0.09271715;918.96063;78.3791;0.9775984;0.47862533;0.07257324;879.86945;77.73628;0.9168989;0.45826533;0.07197804;975.5581;46.72101;0.889998;0.5081032;0.043260194;0.0;0.0;0.4032839;0.0;0.0;1065.3071;127.68423;0.9961976;0.5548475;0.11822613;864.58856;131.27527;0.98507893;0.45030653;0.12155117;1138.0844;300.27612;0.9911862;0.5927523;0.27803344;828.2214;245.25253;0.94290507;0.4313653;0.22708568;1038.0093;424.9898;0.9881797;0.5406298;0.3935091;752.4274;328.62445;0.941446;0.39188927;0.3042819;1061.1813;406.31323;0.9938498;0.55269855;0.37621596;929.8746;406.09195;0.9888383;0.48430967;0.37601107;1085.7839;571.2029;0.96617013;0.5655125;0.52889156;885.07715;602.47784;0.94031316;0.46097767;0.5578499;1066.4503;685.6745;0.79572403;0.55544287;0.6348838;865.12537;741.36804;0.7304212;0.45058614;0.6864519
