box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9229258;1462.0;416.5;476.0;645.0;0.76145834;0.38564816;0.24791667;0.5972222;1495.9642;270.64526;0.9884173;0.77914804;0.25059748;1521.4634;245.38889;0.9681303;0.79242885;0.22721194;1476.2979;245.27692;0.96063757;0.7689051;0.22710826;1563.1284;202.99323;0.7418035;0.8141294;0.18795669;1435.0902;197.95197;0.6844391;0.74744284;0.18328886;1613.989;237.07632;0.9937391;0.84061927;0.21951512;1383.5623;231.67914;0.9869409;0.7206053;0.21451773;1674.1267;365.82266;0.98258466;0.871941;0.33872467;1299.2266;386.93774;0.9550471;0.6766805;0.35827568;1611.0376;496.57227;0.97448075;0.83908206;0.45978913;1305.6941;522.82715;0.9472938;0.680049;0.4840992;1560.0015;451.21408;0.99075425;0.8125008;0.41779083;1398.5059;440.37903;0.9873864;0.7283885;0.40775836;1587.9342;615.29266;0.9630321;0.8270491;0.56971544;1309.6257;571.96045;0.94524884;0.6820967;0.529593;1569.0151;799.9457;0.7831139;0.81719536;0.74069047;1250.8108;739.23157;0.7385202;0.6514639;0.6844737
0.9225063;1463.0;419.5;478.0;637.0;0.76197916;0.38842592;0.24895833;0.58981484;1499.254;277.52203;0.9883875;0.7808615;0.25696483;1524.972;252.6549;0.9673752;0.79425627;0.23393972;1479.3518;252.10837;0.96217686;0.7704957;0.23343368;1566.6855;210.98094;0.7308576;0.81598204;0.19535272;1437.2603;205.19499;0.69772536;0.74857306;0.18999536;1615.2124;239.38052;0.9934116;0.84125644;0.22164863;1385.0935;234.35748;0.9873186;0.7214029;0.21699767;1674.8939;365.2481;0.9814633;0.87234056;0.3381927;1298.8708;389.3687;0.95719707;0.67649525;0.3605266;1614.6973;496.57166;0.9732661;0.84098816;0.45978856;1307.1646;524.2809;0.9494423;0.68081486;0.48544526;1558.8333;445.13123;0.990986;0.81189233;0.41215855;1397.4011;434.72467;0.98817843;0.72781307;0.40252283;1589.3677;609.05725;0.9669986;0.8277957;0.5639419;1311.0054;566.19763;0.9529276;0.6828153;0.52425706;1568.2489;801.3346;0.8065789;0.8167963;0.7419765;1246.0248;743.2822;0.76952857;0.64897126;0.68822426
0.9252921;1462.5;423.0;479.0;636.0;0.76171875;0.39166668;0.24947916;0.5888889;1501.7397;279.12256;0.988755;0.7821561;0.2584468;1525.8741;256.34686;0.9671077;0.79472613;0.23735821;1481.6271;255.98138;0.9662764;0.7716808;0.2370198;1565.8927;216.7479;0.7435361;0.8155691;0.20069249;1441.9124;212.49133;0.73563755;0.750996;0.19675124;1611.5486;245.69609;0.9930948;0.8393482;0.22749639;1389.757;241.57457;0.99200433;0.7238318;0.22368015;1676.8635;369.54565;0.9812103;0.8733664;0.3421719;1302.2074;394.13168;0.97474074;0.678233;0.36493674;1613.8845;498.18878;0.97554815;0.84056485;0.46128592;1311.1288;529.4853;0.96720594;0.68287957;0.49026415;1554.2795;449.95523;0.9936479;0.8095206;0.4166252;1401.5919;438.48096;0.9930988;0.7299958;0.40600088;1593.1447;612.05145;0.9731504;0.8297628;0.5667143;1306.5038;570.8341;0.9687958;0.6804707;0.5285501;1577.4475;795.7511;0.8396088;0.82158726;0.7368066;1238.2692;738.2876;0.8302784;0.64493185;0.68359965
0.9232646;1463.5;424.5;479.0;631.0;0.7622396;0.39305556;0.24947916;0.5842593;1505.4891;284.39743;0.98846966;0.78410894;0.26333097;1529.4567;261.7772;0.96512115;0.796592;0.24238628;1485.5579;261.3957;0.96801096;0.7737281;0.24203305;1568.062;223.4111;0.72671485;0.81669897;0.20686214;1445.0078;218.83109;0.7568587;0.75260824;0.20262137;1612.5862;247.57425;0.9922808;0.83988863;0.22923541;1390.7316;243.23325;0.99238914;0.72433937;0.22521597;1678.0103;367.9223;0.97813725;0.87396365;0.3406688;1303.4021;394.64813;0.97636855;0.67885524;0.36541495;1615.2021;498.53046;0.971894;0.84125113;0.46160227;1313.1667;532.9614;0.9681277;0.683941;0.4934828;1554.0984;447.74548;0.993306;0.80942625;0.41457915;1400.9856;435.99994;0.9932852;0.72968;0.40370366;1592.5559;617.1166;0.9719092;0.8294562;0.5714042;1306.8522;573.6499;0.9697543;0.6806522;0.5311573;1575.1204;804.53735;0.8336096;0.8203752;0.744942;1239.9114;744.84796;0.8312503;0.6457872;0.689674
0.924423;1463.5;426.0;479.0;626.0;0.7622396;0.39444444;0.24947916;0.5796296;1509.992;289.7035;0.9895873;0.78645414;0.26824397;1534.7493;266.49945;0.9692407;0.7993486;0.24675874;1489.322;265.59366;0.9711057;0.7756885;0.24592005;1573.4382;226.15013;0.733465;0.8194991;0.20939827;1446.5293;220.39293;0.7590248;0.7534007;0.20406753;1613.154;249.6528;0.9921572;0.8401844;0.23116;1390.153;247.11072;0.9915244;0.724038;0.22880623;1677.4045;369.74884;0.9777919;0.8736482;0.34236005;1304.3269;399.4663;0.9724492;0.6793369;0.3698762;1617.7524;497.26968;0.9717468;0.8425794;0.46043488;1316.6891;538.65204;0.96424174;0.6857756;0.49875188;1554.5151;449.05768;0.99247724;0.8096433;0.41579413;1400.7266;440.4764;0.99207425;0.72954506;0.40784854;1591.8154;603.67065;0.9717668;0.8290705;0.5589543;1301.9996;575.2;0.96809363;0.6781248;0.5325926;1577.2595;792.4512;0.84100366;0.82148933;0.73375106;1237.9836;750.5909;0.83159876;0.64478314;0.6949915
0.9238016;1464.0;428.5;478.0;623.0;0.7625;0.39675927;0.24895833;0.57685184;1512.495;294.23615;0.9898489;0.7877578;0.27244088;1537.3079;271.74725;0.9708111;0.8006812;0.25161782;1492.6135;269.71188;0.97107464;0.7774029;0.24973322;1576.3279;231.745;0.74666923;0.8210041;0.2145787;1451.081;223.67015;0.7540571;0.7557714;0.20710199;1615.4194;253.05107;0.9926111;0.84136426;0.23430654;1392.5569;248.50584;0.99136883;0.72529006;0.23009801;1678.1404;373.05194;0.9795802;0.8740314;0.34541845;1305.5452;402.22858;0.97140855;0.67997146;0.37243387;1615.1631;502.41333;0.9736831;0.84123075;0.46519753;1321.8108;542.4389;0.96337324;0.6884431;0.50225824;1554.4597;445.91272;0.99265033;0.8096144;0.41288215;1400.3591;436.3424;0.9918738;0.7293537;0.40402076;1593.5863;605.99805;0.97131604;0.8299929;0.5611093;1303.213;573.72644;0.96612275;0.6787568;0.5312282;1581.5078;789.5482;0.8344192;0.823702;0.7310632;1240.176;746.0779;0.82128733;0.645925;0.6908128
0.92748517;1465.5;430.5;479.0;623.0;0.7632812;0.3986111;0.24947916;0.57685184;1517.0485;301.1728;0.99045044;0.7901294;0.2788637;1542.0583;277.62296;0.97189796;0.80315536;0.2570583;1496.5946;276.31525;0.9742658;0.77947634;0.25584745;1580.5697;235.64343;0.7375412;0.8232134;0.21818836;1453.075;228.68866;0.77445376;0.7568099;0.21174876;1618.2261;255.01657;0.9921705;0.84282607;0.23612645;1393.5042;252.6346;0.99138266;0.7257834;0.23392092;1680.6052;372.82883;0.97747713;0.87531525;0.34521186;1305.7102;410.71042;0.9709175;0.6800574;0.38028744;1618.1279;502.65503;0.9714698;0.842775;0.46542132;1329.5734;548.77783;0.96295696;0.6924861;0.5081276;1555.3774;445.83435;0.9918344;0.8100924;0.41280958;1400.3625;436.87494;0.9911884;0.7293555;0.40451384;1594.4308;612.9385;0.9684529;0.8304327;0.56753564;1305.8264;578.1605;0.96364003;0.6801179;0.5353338;1577.667;799.9913;0.8186966;0.8217016;0.74073267;1236.7487;749.6444;0.80736643;0.64413995;0.6941152
0.92854714;1466.5;432.0;479.0;620.0;0.7638021;0.4;0.24947916;0.5740741;1518.0098;302.6861;0.99086577;0.7906301;0.2802649;1543.4128;279.61902;0.97331536;0.80386084;0.2589065;1497.715;277.14404;0.9754347;0.7800599;0.25661486;1582.7288;237.30054;0.7448424;0.8243379;0.21972272;1455.0977;228.0514;0.7798455;0.75786334;0.21115871;1619.4595;255.55417;0.9923394;0.8434685;0.23662423;1394.0504;253.3136;0.9916801;0.7260679;0.23454963;1679.6956;372.50034;0.9773555;0.87484145;0.34490773;1307.1841;416.09464;0.9708574;0.68082505;0.3852728;1624.2396;499.0857;0.9708938;0.8459581;0.4621164;1332.5256;548.7062;0.9622264;0.6940238;0.5080613;1555.6287;448.37616;0.9917938;0.8102233;0.4151631;1400.063;439.71667;0.9911349;0.72919947;0.40714508;1596.5461;609.8131;0.9690402;0.83153445;0.5646418;1303.6799;574.51465;0.96437;0.67899996;0.531958;1578.9023;794.9592;0.82471704;0.82234496;0.7360734;1238.978;748.79126;0.81368077;0.64530104;0.6933252
0.92843467;1466.0;433.5;480.0;615.0;0.76354164;0.40138888;0.25;0.5694444;1520.7959;305.22174;0.9908727;0.7920812;0.2826127;1545.6987;282.71744;0.97341037;0.80505145;0.2617754;1500.6313;279.92477;0.9765412;0.78157884;0.2591896;1584.2809;242.7004;0.7455907;0.8251463;0.2247226;1458.3474;233.06914;0.79303813;0.75955594;0.21580476;1619.9204;259.93484;0.9919207;0.8437086;0.24068041;1395.1077;257.40735;0.99180615;0.7266186;0.23834014;1679.0295;374.28473;0.97505176;0.87449455;0.34655994;1308.1786;417.2541;0.9705784;0.681343;0.38634637;1627.3796;497.724;0.96775067;0.84759355;0.46085554;1335.8645;549.4635;0.96077794;0.69576275;0.5087625;1554.4398;446.73148;0.9909733;0.80960405;0.41364026;1399.0155;438.87836;0.9905501;0.7286539;0.40636885;1595.395;606.04395;0.96604496;0.8309349;0.5611518;1303.3625;575.1837;0.9621624;0.6788347;0.5325775;1577.3507;786.9729;0.8146697;0.82153684;0.7286786;1244.9019;747.202;0.8055527;0.64838636;0.6918537
0.9290794;1468.0;435.5;480.0;615.0;0.76458335;0.40324074;0.25;0.5694444;1523.4102;307.22433;0.9904357;0.7934428;0.28446698;1548.1189;284.74484;0.9711972;0.8063119;0.26365262;1503.66;282.0497;0.97496355;0.7831563;0.26115716;1586.529;244.43735;0.7392041;0.8263172;0.22633088;1461.5924;234.9979;0.79185075;0.761246;0.21759064;1622.1698;262.09323;0.9927221;0.8448801;0.24267891;1398.8164;260.48227;0.99272436;0.7285502;0.24118729;1681.3883;375.08356;0.9782119;0.87572306;0.34729958;1310.618;424.12958;0.97464925;0.68261355;0.39271256;1627.4602;500.57895;0.9714721;0.8476355;0.46349904;1342.644;556.2488;0.9655894;0.6992938;0.51504517;1554.5498;444.22913;0.99259174;0.8096613;0.41132328;1400.4165;435.48297;0.9922283;0.7293836;0.40322497;1596.4702;614.8258;0.9695369;0.8314949;0.5692831;1309.064;575.7435;0.9660362;0.6818041;0.53309584;1575.8435;791.1532;0.82176757;0.82075185;0.73254925;1242.3499;740.66583;0.81465924;0.64705724;0.6858017
