box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9326664;858.0;322.0;454.0;642.0;0.446875;0.29814816;0.23645833;0.59444445;825.13165;10.082016;0.89090234;0.42975608;0.0093352;847.07544;0.0;0.74447525;0.44118512;0.0;802.9558;0.0;0.63708985;0.41820616;0.0;893.0814;0.0;0.5834108;0.46514657;0.0;0.0;0.0;0.3310558;0.0;0.0;968.77496;35.35048;0.98877245;0.5045703;0.032731924;728.60144;33.979202;0.98754066;0.37947991;0.031462226;1020.9545;190.81013;0.9857859;0.53174716;0.17667605;698.16254;183.50266;0.98195225;0.36362633;0.16990986;915.45654;318.34918;0.98229986;0.4768003;0.29476777;754.828;315.20148;0.9764698;0.39313957;0.29185322;947.133;256.16174;0.9980597;0.49329844;0.2371868;774.5597;250.59665;0.99796814;0.4034165;0.23203394;1010.3203;450.70587;0.986552;0.5262085;0.41732025;712.1377;434.60248;0.9857655;0.37090504;0.4024097;1019.2472;601.5886;0.9046692;0.5308579;0.5570265;708.3596;586.26245;0.90705925;0.3689373;0.5428356
0.9338915;856.5;322.0;455.0;642.0;0.44609374;0.29814816;0.23697917;0.59444445;822.72205;9.511848;0.8511926;0.42850107;0.008807267;844.459;0.0;0.67257017;0.43982238;0.0;801.2119;0.0;0.54593235;0.41729787;0.0;890.61;0.0;0.53793347;0.46385938;0.0;0.0;0.0;0.27833402;0.0;0.0;967.94257;33.80374;0.98731625;0.50413674;0.031299762;726.7944;33.943954;0.98534214;0.37853873;0.03142959;1021.3733;192.02861;0.9858482;0.53196526;0.17780426;696.93787;185.64868;0.9810839;0.36298847;0.17189693;910.50494;320.92523;0.98256266;0.47422132;0.297153;752.30035;323.59164;0.9756679;0.3918231;0.29962188;944.298;254.16986;0.9982482;0.49182186;0.23534246;771.71875;249.62407;0.9981279;0.40193686;0.2311334;1008.8392;438.8865;0.98887247;0.52543706;0.4063764;710.75226;428.1764;0.9880056;0.37018347;0.3964596;1016.11975;593.64197;0.9246913;0.52922904;0.5496685;707.5758;586.84753;0.9253487;0.36852905;0.54337734
0.93336225;856.5;322.0;455.0;642.0;0.44609374;0.29814816;0.23697917;0.59444445;823.8307;10.376106;0.8926657;0.4290785;0.009607506;845.6074;0.0;0.7440551;0.44042054;0.0;801.05774;0.0;0.6446417;0.41721758;0.0;891.2069;0.0;0.57930624;0.46417028;0.0;0.0;0.0;0.33911765;0.0;0.0;967.4185;34.776947;0.9887582;0.5038638;0.032200877;726.3551;34.28453;0.98805004;0.37830994;0.031744935;1020.75696;191.59177;0.98561364;0.5316442;0.17739978;697.755;181.85712;0.9829048;0.36341408;0.16838622;910.3156;320.13678;0.9822466;0.4741227;0.29642296;748.0824;322.34537;0.9773842;0.38962623;0.29846793;945.56946;257.29913;0.99805814;0.4924841;0.23823994;772.317;252.67017;0.99802643;0.40224844;0.23395386;1010.1376;445.0138;0.986405;0.52611333;0.4120498;707.3219;436.47748;0.9859904;0.36839682;0.4041458;1017.5116;591.55176;0.9059292;0.52995396;0.5477331;706.22253;584.3838;0.90884;0.36782423;0.5410961
0.93125033;856.5;322.0;453.0;642.0;0.44609374;0.29814816;0.2359375;0.59444445;822.49475;11.950447;0.8482038;0.4283827;0.011065229;843.69965;0.0;0.6599597;0.4394269;0.0;800.5493;0.0;0.5466463;0.41695276;0.0;886.89465;0.0;0.5170343;0.46192428;0.0;0.0;0.0;0.28337127;0.0;0.0;963.95013;31.977036;0.98617077;0.5020574;0.029608367;722.90466;31.413116;0.9848455;0.37651286;0.02908622;1019.94446;192.91965;0.985005;0.5312211;0.17862931;696.0891;181.78973;0.98131406;0.3625464;0.16832383;906.48047;320.74893;0.9819338;0.47212523;0.29698974;743.68384;319.9691;0.976234;0.38733533;0.29626766;943.6503;255.30743;0.99801755;0.49148455;0.23639578;769.9664;250.61526;0.9979407;0.40102416;0.23205116;1009.3098;452.54633;0.98546416;0.5256822;0.41902438;707.4893;441.97247;0.98468506;0.36848402;0.40923378;1020.4678;594.4579;0.89810437;0.5314936;0.550424;707.3237;584.18787;0.9003032;0.36839777;0.5409147
0.9336217;856.5;322.0;455.0;642.0;0.44609374;0.29814816;0.23697917;0.59444445;820.6262;11.208847;0.80162805;0.4274095;0.010378562;841.874;0.0;0.5793934;0.43847606;0.0;0.0;0.0;0.46397352;0.0;0.0;0.0;0.0;0.46753827;0.0;0.0;0.0;0.0;0.245615;0.0;0.0;965.0191;32.771484;0.9847949;0.50261414;0.030343967;722.9424;30.14708;0.98409456;0.3765325;0.027913962;1020.9668;196.60158;0.9849163;0.53175354;0.1820385;693.5979;176.2941;0.9827062;0.3612489;0.16323528;901.2184;322.30646;0.98219;0.46938458;0.2984319;742.0922;317.5196;0.97793967;0.38650638;0.2939996;942.43634;254.85669;0.99838364;0.49085227;0.23597841;769.5582;248.97656;0.99837816;0.40081158;0.23053385;1007.3062;436.2542;0.98989725;0.52463865;0.4039391;708.5394;426.29242;0.9897155;0.36903095;0.3947152;1014.5396;591.5103;0.93329346;0.528406;0.54769474;705.4237;584.3673;0.93589056;0.3674082;0.54108083
0.9314752;854.5;322.5;457.0;643.0;0.4450521;0.2986111;0.23802084;0.59537035;820.1046;11.776085;0.86770606;0.42713782;0.010903782;841.6657;0.0;0.6933347;0.43836755;0.0;797.59607;0.0;0.5862042;0.41541463;0.0;885.6918;0.0;0.53852975;0.4612978;0.0;0.0;0.0;0.30342075;0.0;0.0;962.55835;35.395386;0.9877885;0.50133246;0.032773506;723.1552;31.46759;0.98677063;0.37664333;0.029136658;1020.64453;197.28082;0.98564965;0.5315857;0.18266743;692.7782;174.61688;0.9827572;0.360822;0.1616823;900.91754;322.84515;0.98263687;0.46922788;0.2989307;738.05426;314.78366;0.9777615;0.38440326;0.29146636;940.9287;255.4287;0.9982541;0.49006703;0.23650806;770.1809;248.75171;0.9982243;0.4011359;0.23032565;1004.5501;436.13904;0.98922557;0.5232032;0.40383244;709.0038;423.64557;0.9888602;0.3692728;0.39226443;1014.32245;595.75574;0.9272305;0.52829295;0.55162567;705.7225;584.2202;0.929511;0.36756378;0.54094464
0.93086517;855.0;322.5;458.0;641.0;0.4453125;0.2986111;0.23854166;0.5935185;817.5299;12.602577;0.8997738;0.42579684;0.011669053;839.419;0.0;0.75992274;0.4371974;0.0;794.79834;0.0;0.65726775;0.41395748;0.0;884.6735;0.0;0.590821;0.46076745;0.0;0.0;0.0;0.33790147;0.0;0.0;963.0771;37.62172;0.98942345;0.50160265;0.034834925;722.1465;30.890419;0.98787284;0.37611797;0.02860224;1020.73773;200.83388;0.98624957;0.5316342;0.1859573;690.7855;170.44748;0.98235625;0.35978413;0.15782174;895.46936;325.735;0.98320365;0.46639028;0.30160648;733.7606;311.1839;0.9774251;0.38216698;0.28813323;940.86566;257.69855;0.99812454;0.4900342;0.23860976;768.8677;249.37212;0.9980544;0.40045193;0.23090011;1006.59174;440.48663;0.98828375;0.52426654;0.40785798;707.8463;424.90347;0.9876665;0.36866996;0.39342913;1013.8876;602.0322;0.91871667;0.52806646;0.55743724;704.0951;587.14075;0.9206337;0.3667162;0.54364884
0.93160456;854.0;322.0;454.0;642.0;0.44479167;0.29814816;0.23645833;0.59444445;817.10156;12.411987;0.8694878;0.42557374;0.011492581;838.8587;0.0;0.70165557;0.43690556;0.0;794.3362;0.0;0.59647036;0.41371676;0.0;883.11536;0.0;0.5401384;0.4599559;0.0;0.0;0.0;0.30596232;0.0;0.0;961.8834;37.004242;0.9862866;0.500981;0.034263186;720.2639;29.63665;0.98532945;0.37513745;0.027441343;1020.10925;201.7142;0.9832986;0.5313069;0.1867724;690.91437;170.12883;0.9805182;0.35985124;0.1575267;899.7411;324.8263;0.9800218;0.46861514;0.3007651;729.22925;310.74332;0.975071;0.3798069;0.2877253;941.12384;259.70572;0.9978538;0.49016866;0.24046826;768.40906;251.03755;0.9978491;0.40021306;0.23244217;1007.5104;439.70316;0.9872285;0.524745;0.40713257;704.46045;422.87708;0.986985;0.3669065;0.39155284;1015.00354;600.66895;0.9169904;0.52864766;0.55617493;704.8427;585.6968;0.9204475;0.36710557;0.54231185
0.93313247;853.0;322.0;456.0;642.0;0.44427082;0.29814816;0.2375;0.59444445;818.47217;12.232544;0.8663998;0.4262876;0.011326429;840.65845;0.0;0.68197143;0.43784294;0.0;795.66003;0.0;0.6080459;0.41440627;0.0;883.8999;0.0;0.50584364;0.46036452;0.0;0.0;0.0;0.32739577;0.0;0.0;961.6401;37.413574;0.9840471;0.5008542;0.034642197;719.1267;26.528091;0.9864807;0.37454516;0.024563048;1021.4846;202.40799;0.9797158;0.53202325;0.18741481;688.5849;165.71918;0.982853;0.35863796;0.15344368;899.65594;325.67487;0.9767363;0.4685708;0.3015508;724.78;306.2436;0.9774489;0.3774896;0.28355888;942.3367;257.16626;0.9976382;0.49080035;0.2381169;769.2618;246.44086;0.99790907;0.40065718;0.22818598;1007.21716;443.72415;0.98585576;0.5245923;0.4108557;706.3552;419.31784;0.987189;0.36789334;0.38825727;1015.62524;603.37305;0.90954065;0.5289715;0.55867875;705.9689;582.318;0.9194468;0.3676921;0.5391833
0.9338592;853.5;322.0;457.0;642.0;0.44453126;0.29814816;0.23802084;0.59444445;815.75415;11.135559;0.8307255;0.42487195;0.010310703;837.75183;0.0;0.6069086;0.43632907;0.0;793.18994;0.0;0.5477291;0.41311976;0.0;0.0;0.0;0.45001397;0.0;0.0;0.0;0.0;0.3057488;0.0;0.0;959.6725;37.588943;0.981448;0.4998294;0.03480458;716.861;25.665894;0.9864559;0.3733651;0.023764716;1023.5323;202.68498;0.97762567;0.53308976;0.18767127;685.654;161.4798;0.98481965;0.35711145;0.14951833;900.65;324.50607;0.9750665;0.46908855;0.3004686;717.859;298.95618;0.9796031;0.3738849;0.27681127;941.0708;257.59488;0.9978148;0.49014103;0.23851378;768.5224;246.15543;0.99821943;0.40027207;0.2279217;1007.3804;438.76318;0.9873925;0.5246773;0.40626222;706.43176;412.86108;0.98947513;0.3679332;0.38227877;1013.6391;599.4541;0.9224487;0.52793705;0.5550501;704.4596;579.5049;0.93426347;0.36690605;0.5365786
