box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9369182;1027.5;312.0;553.0;606.0;0.53515625;0.2888889;0.28802082;0.5611111;1049.6538;152.14497;0.9925931;0.5466947;0.14087498;1076.8856;129.48831;0.9895197;0.5608779;0.11989658;1033.3048;125.27641;0.9663965;0.5381796;0.11599668;1133.3655;120.39574;0.9257141;0.59029454;0.11147753;1013.7563;113.875015;0.5859144;0.5279981;0.10543983;1202.1495;199.98285;0.9946242;0.62611955;0.18516931;989.64166;206.20566;0.98062116;0.5154384;0.19093117;1279.8586;326.78842;0.97930944;0.666593;0.30258188;904.8583;339.40442;0.8716951;0.47128037;0.31426334;1201.3987;384.08597;0.9642896;0.6257285;0.35563517;812.557;425.78992;0.83319306;0.42320678;0.39424992;1173.0447;455.09473;0.9892291;0.6109608;0.421384;1031.7584;448.68503;0.97928256;0.5373742;0.4154491;1175.9817;664.09265;0.95147187;0.6124905;0.6149006;957.9315;647.5933;0.9105831;0.49892268;0.59962344;1178.2883;848.6116;0.6726764;0.61369187;0.78575146;946.28345;848.15533;0.59462994;0.49285597;0.785329
0.9378753;1029.0;313.5;550.0;603.0;0.5359375;0.29027778;0.28645834;0.55833334;1049.2717;155.98738;0.99217117;0.5464957;0.14443275;1076.34;133.35522;0.98890954;0.5605937;0.12347706;1032.7347;129.36188;0.96473056;0.5378827;0.11977952;1132.5774;124.02812;0.9226242;0.58988404;0.11484085;1012.9459;118.108505;0.57924485;0.527576;0.10935973;1201.7068;201.93896;0.9944577;0.62588894;0.18698052;988.2508;209.00436;0.9798565;0.51471394;0.19352256;1280.8533;328.40732;0.97925067;0.6671111;0.30408084;902.59955;341.63745;0.87067014;0.47010392;0.31633097;1203.7437;386.00015;0.96419066;0.62694985;0.35740754;811.00323;426.96487;0.8328111;0.42239752;0.39533785;1172.8304;458.87814;0.98910195;0.6108492;0.42488718;1030.5299;453.24142;0.97894645;0.53673434;0.419668;1180.1409;665.7893;0.94981676;0.6146567;0.6164716;959.1162;651.52203;0.90758;0.4995397;0.6032611;1181.1785;847.35004;0.66583663;0.6151971;0.7845834;944.87384;849.028;0.5865971;0.4921218;0.78613704
0.93969506;1025.0;314.0;554.0;600.0;0.5338542;0.29074073;0.28854167;0.5555556;1049.191;154.64891;0.9911327;0.54645365;0.14319344;1073.6022;134.22972;0.9857637;0.5591678;0.12428678;1033.5626;130.39133;0.9569089;0.53831387;0.12073271;1130.0042;127.255005;0.9083566;0.58854383;0.11782871;1016.661;122.502045;0.5395656;0.5295109;0.11342782;1202.378;210.05054;0.9917568;0.6262386;0.19449124;985.01135;212.57684;0.9792517;0.5130268;0.1968304;1278.135;332.85538;0.972441;0.6656953;0.30819944;902.5449;343.21002;0.88704497;0.4700755;0.31778705;1199.1692;392.84265;0.9635712;0.6245673;0.3637432;807.8202;431.9383;0.8752096;0.42073968;0.39994287;1174.2871;447.76804;0.97857124;0.61160785;0.41460004;1029.4751;440.78082;0.9665886;0.53618497;0.40813038;1175.5066;662.98376;0.9084059;0.612243;0.61387384;957.58923;650.97473;0.8598542;0.4987444;0.60275435;1183.4758;823.5361;0.55048;0.6163937;0.7625334;0.0;0.0;0.48921752;0.0;0.0
0.93918514;1022.0;316.0;560.0;598.0;0.53229165;0.29259259;0.29166666;0.5537037;1044.9263;160.0546;0.99107134;0.5442324;0.1481987;1071.9386;138.0691;0.9876659;0.5583013;0.12784177;1029.4747;134.04059;0.9587639;0.5361847;0.12411165;1129.3002;130.8711;0.92215043;0.58817714;0.121176936;1011.2186;124.89366;0.5511167;0.52667636;0.11564228;1198.8413;209.193;0.99452555;0.6243965;0.19369721;985.61316;217.05542;0.97878563;0.5133402;0.20097724;1278.7747;331.65118;0.980529;0.66602844;0.30708444;896.82764;344.7613;0.86731696;0.46709773;0.3192234;1203.8792;395.29346;0.96539015;0.6270204;0.36601245;799.3939;434.00433;0.82695985;0.416351;0.40185586;1169.5554;460.35248;0.9897954;0.60914344;0.4262523;1027.7145;455.5943;0.9795349;0.53526795;0.42184657;1182.469;661.3659;0.95293015;0.6158693;0.61237586;960.1705;649.4564;0.9102534;0.5000888;0.6013485;1183.4817;839.5142;0.68520445;0.6163967;0.77732795;947.2489;844.3905;0.6027713;0.4933588;0.78184307
0.9387418;1017.5;316.5;567.0;595.0;0.52994794;0.29305556;0.2953125;0.5509259;1045.2793;161.80293;0.9903493;0.5444163;0.14981753;1069.352;141.6345;0.9846577;0.5569542;0.13114306;1030.1018;137.6745;0.95209163;0.53651136;0.1274764;1125.354;133.43253;0.9054157;0.58612186;0.123548634;1013.7442;128.5998;0.51547736;0.5279918;0.11907388;1198.0728;213.45544;0.99170375;0.6239962;0.19764394;981.8518;217.72417;0.97795755;0.51138115;0.20159645;1276.2362;334.84277;0.9737325;0.66470635;0.3100396;894.81055;347.95706;0.88404787;0.46604717;0.32218248;1200.4192;401.34933;0.96512836;0.62521833;0.37161976;794.1099;437.48303;0.8732988;0.41359892;0.4050769;1171.7874;449.46396;0.9795899;0.6103059;0.41617033;1028.1917;443.54736;0.96721834;0.5355165;0.410692;1174.2001;660.3258;0.91485435;0.61156255;0.61141276;956.6193;650.1616;0.86552054;0.49823922;0.6020015;1184.2434;822.48145;0.57392067;0.61679345;0.7615569;947.1165;828.56335;0.5076019;0.49328986;0.7671883
0.9383263;1011.0;317.5;578.0;593.0;0.5265625;0.2939815;0.30104166;0.54907405;1041.2385;164.96278;0.9900282;0.5423117;0.15274332;1066.1055;145.08353;0.9844428;0.5552633;0.1343366;1026.719;140.30136;0.9499422;0.53474945;0.12990867;1123.801;137.9192;0.9061284;0.585313;0.12770297;1010.86316;131.24057;0.5012711;0.5264912;0.121519044;1197.0673;216.3204;0.9914486;0.6234725;0.20029667;979.3643;220.2745;0.97685426;0.5100856;0.20395787;1276.282;337.45526;0.9733646;0.6647302;0.31245857;892.1058;350.69028;0.8802854;0.4646384;0.32471323;1200.7745;402.47855;0.96497905;0.6254034;0.37266532;788.98425;438.09888;0.87038004;0.4109293;0.4056471;1172.2401;449.65247;0.9788077;0.6105417;0.41634488;1027.7568;443.52896;0.96576834;0.53529;0.41067496;1171.082;661.1522;0.9125946;0.60993856;0.61217797;954.2397;650.26013;0.86128795;0.49699983;0.60209274;1180.1575;820.3171;0.5689538;0.6146653;0.75955284;943.9762;829.12573;0.5015555;0.49165428;0.767709
0.93650126;1010.5;319.0;577.0;590.0;0.5263021;0.29537037;0.30052084;0.5462963;1038.3687;167.87192;0.9892175;0.540817;0.15543696;1062.7677;148.26694;0.9833929;0.55352485;0.1372842;1024.2233;143.50034;0.944896;0.5334496;0.13287067;1120.8455;140.06136;0.90451366;0.5837737;0.12968644;0.0;0.0;0.48107037;0.0;0.0;1195.3212;216.99329;0.9915768;0.6225631;0.2009197;976.97327;221.12778;0.975609;0.50884026;0.20474795;1274.6205;338.11624;0.97483146;0.66386485;0.3130706;888.9796;351.6822;0.87666816;0.46301022;0.32563165;1200.0718;404.90982;0.9664884;0.6250374;0.3749165;786.2883;442.44882;0.86750996;0.4095252;0.40967482;1169.3092;448.67084;0.9801206;0.6090152;0.41543597;1024.5928;442.93854;0.9667281;0.53364205;0.41012827;1174.2616;657.5587;0.91907036;0.61159456;0.60885066;955.14954;647.6742;0.86744314;0.49747372;0.5996983;1182.5913;818.3031;0.59186935;0.615933;0.75768805;945.6447;828.8032;0.5200459;0.49252328;0.7674104
0.93418247;1007.0;321.5;584.0;589.0;0.52447915;0.29768518;0.30416667;0.5453704;1035.0077;173.06271;0.9893344;0.5390665;0.16024326;1062.306;151.84778;0.9860253;0.5532844;0.1405998;1020.7506;146.52744;0.9497112;0.53164095;0.13567355;1120.1526;143.46976;0.91982913;0.5834128;0.13284236;1003.4136;134.77493;0.50511026;0.52261126;0.12479161;1191.2207;217.99173;0.9942674;0.6204274;0.2018442;975.8705;225.45502;0.9747225;0.50826585;0.20875464;1276.2114;339.33588;0.9812595;0.6646935;0.3141999;882.6981;352.8976;0.84946954;0.4597386;0.32675704;1201.0579;406.08408;0.9658314;0.625551;0.37600377;774.7075;443.9701;0.806269;0.4034935;0.41108343;1164.9446;464.27374;0.9899053;0.60674196;0.4298831;1022.7178;459.7501;0.97832036;0.5326655;0.42569453;1181.7129;666.1057;0.9550839;0.6154755;0.61676455;961.0036;652.2737;0.9085025;0.50052273;0.6039571;1184.7482;843.6138;0.6968149;0.6170563;0.7811239;949.97754;851.17017;0.60639566;0.49477997;0.7881205
0.934977;1003.0;323.5;590.0;587.0;0.52239585;0.29953703;0.30729166;0.54351854;1032.6127;176.45047;0.9897947;0.5378191;0.16338007;1059.7448;154.8986;0.9865361;0.5519504;0.14342463;1017.854;149.79114;0.95229685;0.5301323;0.1386955;1117.2981;145.09622;0.91953725;0.5819261;0.13434835;999.98535;136.89523;0.5133492;0.5208257;0.12675485;1188.8774;218.96297;0.9942152;0.619207;0.20274349;973.2827;226.7781;0.9748539;0.5069181;0.20997973;1275.278;340.20752;0.98088694;0.6642073;0.31500697;880.0739;354.60608;0.84988976;0.45837182;0.32833895;1201.08;406.7599;0.9655677;0.6255625;0.37662953;774.0597;445.25574;0.80867046;0.4031561;0.41227382;1165.413;461.0357;0.98942447;0.6069859;0.42688492;1023.11115;457.0113;0.97752154;0.5328704;0.42315862;1183.8154;660.6726;0.9541321;0.61657053;0.6117339;961.64526;647.26117;0.90744;0.50085694;0.5993159;1187.768;838.6846;0.6950336;0.61862916;0.77655977;948.1378;846.0394;0.6056561;0.49382177;0.78336984
0.9310067;999.0;325.5;594.0;585.0;0.5203125;0.3013889;0.309375;0.5416667;1029.3541;180.2574;0.9892674;0.53612196;0.166905;1056.9456;158.48236;0.9861064;0.55049247;0.14674293;1014.692;153.28064;0.9491757;0.5284854;0.14192651;1116.3689;148.61145;0.9182035;0.5814421;0.1376032;0.0;0.0;0.49396753;0.0;0.0;1188.8171;221.44467;0.994021;0.6191756;0.20504136;970.7052;230.62643;0.9728855;0.5055756;0.213543;1273.6375;341.8206;0.9809215;0.66335285;0.31650054;875.10425;358.54797;0.8426147;0.45578346;0.33198887;1200.0999;408.72394;0.9658173;0.62505203;0.3784481;768.21515;451.80237;0.80225;0.40011206;0.41833553;1166.6238;461.56195;0.9894957;0.60761654;0.4273722;1022.5282;458.56927;0.9772249;0.5325668;0.42460117;1186.9799;661.572;0.956076;0.61821866;0.6125667;961.3793;650.8323;0.90962905;0.50071836;0.60262245;1188.7759;841.75635;0.7061026;0.6191541;0.77940404;944.0169;853.3447;0.6151072;0.49167547;0.790134
