box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9299139;1283.0;350.5;500.0;657.0;0.66822916;0.32453704;0.26041666;0.60833335;1159.7443;187.85666;0.9885405;0.60403347;0.17394134;1181.6018;157.94055;0.98624784;0.6154176;0.14624125;1138.5372;160.80173;0.9173629;0.59298813;0.1488905;1241.6318;131.78773;0.92213726;0.6466833;0.12202568;0.0;0.0;0.37580588;0.0;0.0;1331.3519;261.18176;0.99165136;0.6934125;0.24183497;1225.0258;205.47276;0.95908684;0.6380342;0.19025256;1305.3118;508.33054;0.97448367;0.67984986;0.47067642;1287.243;317.06476;0.8302439;0.67043906;0.29357848;1137.7703;546.84644;0.9593136;0.59258866;0.5063393;1216.7706;402.22583;0.849333;0.6337347;0.37243134;1458.2534;508.7218;0.9739199;0.759507;0.4710387;1356.2146;474.78342;0.9569195;0.7063618;0.43961427;1451.9662;703.05817;0.9332836;0.7562324;0.65097976;1236.161;628.0416;0.89174294;0.6438339;0.58152;1528.3026;896.30005;0.6576767;0.79599094;0.8299075;1203.0416;821.8124;0.6118808;0.6265842;0.7609374
0.9342876;1283.5;352.0;505.0;652.0;0.6684896;0.32592592;0.26302084;0.6037037;1159.332;190.24527;0.98760253;0.6038188;0.17615303;1180.4141;160.65495;0.98555;0.61479896;0.14875458;1138.5093;163.99326;0.9105866;0.5929736;0.1518456;1239.6887;134.3632;0.92295986;0.6456712;0.124410376;0.0;0.0;0.3645998;0.0;0.0;1330.3796;260.44244;0.99129105;0.6929061;0.24115041;1228.5719;204.33723;0.95652634;0.6398812;0.18920115;1302.6134;508.8197;0.97400486;0.6784445;0.47112936;1293.5724;315.69052;0.82204527;0.6737356;0.29230604;1136.3169;550.41766;0.9574695;0.59183174;0.509646;1221.0591;397.98102;0.83938265;0.63596827;0.36850095;1457.7837;517.943;0.9721737;0.7592623;0.47957686;1357.3223;482.5473;0.9533104;0.7069387;0.44680306;1448.3506;711.8292;0.92455024;0.7543493;0.6591011;1232.1488;630.98755;0.87609756;0.6417442;0.5842477;1526.3745;901.6194;0.6264505;0.7949867;0.8348328;1203.7793;818.37836;0.5778495;0.6269684;0.7577577
0.9335648;1283.0;353.5;508.0;649.0;0.66822916;0.32731482;0.26458332;0.6009259;1160.1533;194.27847;0.9880437;0.6042465;0.17988747;1181.952;165.01836;0.9857949;0.6156;0.15279478;1139.3744;167.15524;0.91189593;0.59342414;0.15477337;1241.8898;138.05475;0.92168945;0.64681756;0.12782846;0.0;0.0;0.36531723;0.0;0.0;1330.321;263.58975;0.991617;0.69287556;0.24406458;1232.7367;204.85526;0.95741;0.6420504;0.18968078;1303.2471;511.66595;0.97540015;0.67877454;0.47376478;1298.5166;313.70728;0.83046037;0.6763107;0.2904697;1133.4689;555.45026;0.96084726;0.59034836;0.5143058;1229.6637;395.75528;0.85236186;0.6404498;0.3664401;1459.2528;518.38336;0.97248656;0.7600275;0.47998458;1361.7838;481.84177;0.95395434;0.70926243;0.4461498;1449.9753;706.70905;0.9270476;0.7551955;0.65436023;1238.2678;624.1161;0.88081276;0.64493114;0.57788527;1523.4373;892.22766;0.6401316;0.7934569;0.8261367;1194.5618;811.27;0.592694;0.6221676;0.75117594
0.93493426;1283.0;354.5;510.0;645.0;0.66822916;0.32824075;0.265625;0.5972222;1159.5071;197.45631;0.9875157;0.6039099;0.18282992;1179.9752;168.42924;0.98592144;0.61457044;0.155953;1139.8525;171.02924;0.9052269;0.59367317;0.1583604;1241.8457;141.69246;0.9283976;0.6467946;0.13119672;0.0;0.0;0.34451255;0.0;0.0;1333.2843;265.16913;0.99159473;0.6944189;0.24552697;1236.8916;208.14972;0.9560363;0.6442144;0.19273122;1302.5637;513.42944;0.9758421;0.6784186;0.47539765;1300.6603;318.0882;0.8222697;0.67742723;0.2945261;1134.1407;558.6273;0.9603531;0.5906983;0.5172475;1235.3536;394.4502;0.8413586;0.64341336;0.36523166;1458.184;524.7489;0.97188944;0.7594708;0.48587862;1360.3779;488.8858;0.95151937;0.7085302;0.45267203;1448.629;714.2923;0.91817516;0.7544943;0.6613818;1233.6597;634.65283;0.8635906;0.6425311;0.58764154;1530.603;892.0321;0.60367477;0.79718906;0.8259556;1201.5327;814.33264;0.5505592;0.6257983;0.7540117
0.9351573;1284.5;355.5;513.0;643.0;0.6690104;0.32916668;0.2671875;0.59537035;1161.677;200.83963;0.9852459;0.60504013;0.18596262;1181.7596;172.41492;0.9839452;0.6154998;0.15964344;1142.9742;174.50977;0.8914949;0.59529907;0.16158311;1242.5309;145.01651;0.92539483;0.6471515;0.13427454;0.0;0.0;0.32854402;0.0;0.0;1334.2498;265.13544;0.9906521;0.69492173;0.24549578;1237.0903;207.81879;0.9487083;0.64431787;0.1924248;1305.2585;514.5724;0.97414094;0.67982215;0.47645593;1308.6853;318.32593;0.8000527;0.68160695;0.29474622;1135.7238;563.3967;0.9570111;0.5915228;0.52166367;1246.9955;388.65973;0.8211952;0.6494768;0.3598701;1456.4634;526.2219;0.9692021;0.75857466;0.48724252;1358.2334;490.90613;0.94527537;0.70741326;0.4545427;1444.3313;721.38745;0.910009;0.75225586;0.66795135;1230.1921;645.71643;0.8469728;0.6407251;0.5978856;1523.0913;896.87024;0.5794254;0.7932767;0.8304354;1207.8162;824.796;0.5195945;0.62907094;0.7637
0.9342428;1285.5;357.5;513.0;639.0;0.6695312;0.3310185;0.2671875;0.59166664;1163.1443;205.76468;0.98576015;0.6058043;0.19052285;1183.8739;177.42984;0.9844199;0.616601;0.16428688;1144.189;178.91629;0.89442545;0.59593177;0.16566323;1244.4161;150.34502;0.924378;0.6481334;0.13920835;0.0;0.0;0.33066493;0.0;0.0;1332.7633;270.27765;0.9902462;0.6941475;0.25025707;1243.748;208.34848;0.9470535;0.6477854;0.19291526;1304.6547;520.1771;0.9730498;0.6795076;0.4816455;1315.8296;315.0027;0.7983796;0.6853279;0.29166916;1135.4326;561.4371;0.95702386;0.5913712;0.5198491;1254.1599;387.65634;0.8247672;0.6532083;0.35894105;1458.8198;531.593;0.96579105;0.759802;0.49221575;1365.3989;493.56738;0.940289;0.7111453;0.45700684;1442.3286;721.5917;0.9031536;0.75121284;0.6681404;1234.241;639.4392;0.8379629;0.6428338;0.5920733;1524.5518;895.4143;0.56515366;0.7940374;0.8290873;1200.529;816.8509;0.50783634;0.62527555;0.7563434
0.92891556;1287.0;358.5;514.0;637.0;0.6703125;0.33194444;0.26770833;0.58981484;1164.4465;207.93777;0.9854578;0.60648257;0.19253498;1184.4238;179.86931;0.9841201;0.6168874;0.16654566;1146.3247;181.65367;0.89021444;0.5970441;0.16819784;1245.011;153.46797;0.9240454;0.6484432;0.14209998;0.0;0.0;0.32296097;0.0;0.0;1334.5007;271.12915;0.9905776;0.69505244;0.2510455;1246.8477;210.25607;0.94650286;0.6493998;0.19468156;1306.0251;521.984;0.97475344;0.68022144;0.48331854;1315.247;317.37225;0.80074686;0.68502444;0.2938632;1132.7184;565.4691;0.95986086;0.5899575;0.5235825;1258.5836;386.5963;0.83058536;0.6555123;0.35795954;1460.7551;526.69446;0.968727;0.76080996;0.48768005;1368.429;489.82352;0.9443266;0.71272343;0.4535403;1442.0208;720.61365;0.9147434;0.7510525;0.66723484;1237.551;644.5774;0.85432017;0.64455783;0.5968309;1521.5161;904.04553;0.5942858;0.7924563;0.83707917;1193.1663;831.59326;0.5342426;0.62144077;0.7699938
0.9290158;1288.5;360.0;513.0;634.0;0.67109376;0.33333334;0.2671875;0.587037;1165.4404;210.23918;0.9859287;0.60700023;0.19466591;1185.8545;182.70483;0.98405886;0.61763257;0.16917114;1147.5767;183.82622;0.8920151;0.5976962;0.17020947;1246.8262;155.98306;0.9227319;0.6493886;0.14442876;0.0;0.0;0.33330837;0.0;0.0;1334.4689;272.52438;0.99125564;0.6950359;0.2523374;1255.2098;207.69876;0.9518744;0.6537551;0.19231367;1307.8535;524.7002;0.97631514;0.6811737;0.48583353;1322.5244;317.74597;0.82093805;0.6888148;0.29420924;1132.0044;565.64777;0.9629279;0.5895856;0.5237479;1261.7911;388.15512;0.8496559;0.6571829;0.3594029;1461.2144;531.0122;0.96959955;0.76104915;0.49167797;1375.168;490.44626;0.9470692;0.7162333;0.4541169;1444.1198;719.7429;0.9152882;0.7521457;0.6664286;1249.8162;629.8426;0.8585153;0.6509459;0.5831876;1517.1199;898.1338;0.5989067;0.7901666;0.8316054;1189.5063;811.7423;0.5462152;0.61953455;0.75161326
0.92917895;1289.0;360.5;516.0;631.0;0.6713542;0.3337963;0.26875;0.5842593;1167.5906;213.51292;0.98573965;0.6081201;0.19769715;1187.2025;184.43825;0.9843664;0.61833465;0.17077616;1148.6106;187.90686;0.8927401;0.5982347;0.17398784;1247.7665;157.07062;0.92257863;0.6498784;0.14543575;0.0;0.0;0.32160982;0.0;0.0;1337.3928;272.21185;0.9893115;0.6965588;0.25204802;1254.6638;213.60017;0.94357723;0.65347075;0.19777794;1305.9517;526.5232;0.9717819;0.6801832;0.48752147;1321.4896;319.95386;0.7980934;0.6882759;0.29625356;1129.9885;570.63403;0.95699537;0.58853567;0.52836484;1267.2009;389.3382;0.83068925;0.6600005;0.36049834;1467.1843;539.6887;0.96029866;0.7641585;0.49971178;1375.9597;502.86676;0.9321678;0.71664566;0.46561736;1439.8878;722.6091;0.8871948;0.7499416;0.66908246;1236.3867;647.86346;0.815472;0.6439514;0.5998736;1523.9836;898.94885;0.52457166;0.79374146;0.83236;0.0;0.0;0.4671253;0.0;0.0
0.9291675;1291.0;363.5;516.0;629.0;0.6723958;0.33657408;0.26875;0.5824074;1169.7429;217.62996;0.98427564;0.6092411;0.20150922;1189.3479;187.49118;0.98432803;0.61945206;0.17360294;1151.5383;191.57346;0.8802932;0.5997595;0.17738283;1249.2307;158.257;0.9285645;0.650641;0.14653426;0.0;0.0;0.28966242;0.0;0.0;1338.4861;275.7964;0.99084973;0.6971282;0.255367;1256.6366;217.98886;0.9355041;0.6544982;0.20184153;1309.5874;525.028;0.9753643;0.68207675;0.48613706;1317.4819;332.79694;0.76652527;0.6861885;0.3081453;1129.0212;575.2993;0.9559359;0.5880319;0.53268456;1269.3595;400.53503;0.80320156;0.66112477;0.37086576;1461.3213;551.92334;0.9679834;0.7611048;0.51104015;1370.5417;514.19684;0.9367851;0.71382385;0.4761082;1441.203;728.75195;0.889038;0.75062656;0.67477036;1237.7668;658.11487;0.79963505;0.64467025;0.60936564;1541.0768;893.62006;0.50253576;0.80264413;0.82742596;0.0;0.0;0.42393917;0.0;0.0
