box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9363565;1322.5;341.5;407.0;675.0;0.68880206;0.3162037;0.21197917;0.625;1261.0127;72.814384;0.9915073;0.65677744;0.06742073;1283.2507;47.333954;0.98265564;0.66835976;0.043827735;1237.5247;49.81723;0.95555913;0.64454406;0.046127066;1333.08;31.127838;0.88465214;0.69431245;0.028822072;1214.9988;38.09752;0.56488967;0.63281184;0.03527548;1409.9503;144.62344;0.99481565;0.73434913;0.1339106;1214.2627;141.60617;0.98619705;0.63242847;0.13111682;1499.6328;297.5548;0.9833446;0.7810587;0.2755137;1204.6748;276.2043;0.94152635;0.6274348;0.25574473;1430.613;435.86728;0.97859085;0.7451109;0.4035808;1187.2267;387.59808;0.938026;0.6183472;0.3588871;1389.4402;437.54272;0.99050677;0.7236668;0.40513214;1251.0599;424.41623;0.9855575;0.65159374;0.39297798;1436.0813;614.9215;0.952004;0.747959;0.56937176;1167.0083;576.76843;0.9278627;0.6078168;0.53404486;1462.8169;783.34424;0.72581065;0.7618838;0.72531873;1136.3569;733.06396;0.68259656;0.59185255;0.6787629
0.93684465;1320.0;342.0;406.0;678.0;0.6875;0.31666666;0.21145834;0.62777776;1258.3123;73.81167;0.9918155;0.65537095;0.06834414;1280.2178;48.26422;0.9827444;0.6667801;0.044689093;1234.459;51.191162;0.9586517;0.6429474;0.047399223;1329.3973;33.085968;0.8813793;0.69239444;0.030635156;1211.384;41.155884;0.58527666;0.6309292;0.0381073;1405.8209;144.79727;0.9946156;0.7321984;0.13407154;1211.4425;142.76385;0.9872887;0.63095963;0.13218875;1496.6085;298.61475;0.9820372;0.7794836;0.27649513;1201.4299;275.78992;0.9463809;0.62574476;0.25536102;1430.4745;433.1976;0.9769917;0.7450388;0.4011089;1178.6416;385.6015;0.9412409;0.6138758;0.35703844;1388.0496;432.7613;0.9903971;0.7229425;0.4007049;1249.9668;421.0266;0.98632914;0.6510244;0.38983944;1435.2845;610.7664;0.95203996;0.74754405;0.56552446;1164.9984;578.7514;0.9320913;0.60677;0.5358809;1465.2151;778.319;0.7281686;0.76313287;0.7206657;1135.0421;735.0793;0.6923667;0.59116775;0.68062896
0.9357372;1319.0;342.5;404.0;679.0;0.6869792;0.31712964;0.21041666;0.6287037;1253.8646;74.84237;0.99239725;0.6530545;0.06929849;1275.8684;49.19577;0.98425347;0.6645148;0.04555164;1229.7793;52.225662;0.9617316;0.64051;0.048357096;1325.3112;35.02478;0.8884163;0.69026625;0.03243035;1206.4009;43.35855;0.59578776;0.6283338;0.040146805;1403.1852;146.518;0.99464756;0.7308256;0.13566482;1208.3406;144.18658;0.9874572;0.62934405;0.13350609;1494.6676;300.1491;0.9814027;0.7784727;0.27791584;1199.915;275.77338;0.94516313;0.6249558;0.25534573;1426.7766;434.2142;0.97603464;0.7431128;0.4020502;1174.0754;383.65942;0.9393454;0.61149764;0.3552402;1389.3901;429.30524;0.9899457;0.7236407;0.39750484;1250.4425;416.91714;0.9858014;0.6512721;0.3860344;1434.9204;612.9402;0.9503967;0.7473544;0.5675372;1162.5531;576.81287;0.93009007;0.6054964;0.534086;1466.8083;783.4912;0.71839625;0.7639627;0.7254548;1134.6587;734.69336;0.68402517;0.5909681;0.6802716
0.9347632;1317.5;341.5;403.0;675.0;0.68619794;0.3162037;0.20989583;0.625;1249.177;76.85465;0.99242145;0.650613;0.07116172;1271.0261;50.42363;0.9845025;0.6619928;0.046688545;1224.8458;53.959534;0.9610813;0.6379405;0.04996253;1321.2177;33.22902;0.8900739;0.6881342;0.03076761;1201.8535;42.770004;0.5846227;0.62596536;0.039601855;1401.5269;144.6825;0.9947196;0.72996193;0.13396527;1203.9343;143.9524;0.9870113;0.62704915;0.13328925;1491.8315;301.44147;0.98198396;0.7769956;0.27911246;1195.0054;279.73917;0.9431983;0.6223986;0.25901774;1421.4216;436.20978;0.97678137;0.7403238;0.40389794;1166.5127;390.31464;0.93794703;0.60755867;0.36140245;1388.2275;433.21262;0.9898079;0.72303516;0.40112278;1247.6173;421.37903;0.985276;0.64980066;0.39016578;1433.6127;614.23914;0.9492077;0.7466733;0.56873995;1157.7997;580.20154;0.92665607;0.60302067;0.53722364;1464.2136;783.66064;0.7126511;0.76261127;0.7256117;1133.078;736.1284;0.6736949;0.5901448;0.6816004
0.9335701;1316.0;341.0;402.0;676.0;0.68541664;0.31574073;0.209375;0.6259259;1245.475;78.95447;0.9928042;0.64868486;0.07310599;1268.6628;50.526375;0.9871969;0.6607619;0.046783682;1221.8251;54.709236;0.96579814;0.6363672;0.0506567;1318.4824;33.55394;0.9096814;0.6867096;0.031068463;1197.2341;43.205406;0.6134854;0.6235594;0.040005006;1397.3198;151.94467;0.9956605;0.72777075;0.1406895;1201.4482;152.56628;0.9852024;0.6257543;0.14126508;1489.772;305.7026;0.98349965;0.7759229;0.28305796;1193.3315;286.01828;0.9232359;0.62152684;0.26483175;1418.6506;434.99844;0.9711365;0.7388805;0.40277633;1159.8976;388.8924;0.90471685;0.60411334;0.36008555;1386.9756;434.4726;0.991899;0.72238314;0.40228945;1247.0154;423.7065;0.986067;0.6494872;0.39232084;1434.7382;622.97876;0.9553612;0.74725944;0.5768322;1150.2522;591.8738;0.9261787;0.5990897;0.5480313;1465.6832;805.33606;0.7051169;0.76337665;0.7456815;1133.456;757.45996;0.6471559;0.5903417;0.7013518
0.9326399;1313.0;341.5;404.0;677.0;0.68385416;0.3162037;0.21041666;0.62685186;1239.4827;79.819305;0.9924055;0.6455639;0.073906764;1262.6838;51.646408;0.9870227;0.65764785;0.047820747;1216.2501;55.784065;0.96121037;0.6334636;0.051651914;1314.2188;33.893623;0.915251;0.68448895;0.031382985;1193.0573;43.59185;0.57980114;0.62138397;0.040362824;1395.4934;153.43024;0.9960865;0.72681946;0.14206503;1198.6213;154.00127;0.9847779;0.62428194;0.14259377;1487.3733;306.16986;0.9860054;0.7746736;0.2834906;1189.9878;288.37042;0.9212608;0.6197853;0.26700965;1416.0553;433.97095;0.9746507;0.7375288;0.40182495;1153.5702;389.5698;0.90269643;0.6008178;0.36071277;1386.9958;441.03687;0.99282867;0.7223937;0.40836746;1245.4712;429.2564;0.98672825;0.6486829;0.39745963;1439.208;631.259;0.9564129;0.7495875;0.58449906;1147.6917;593.4703;0.9228106;0.5977561;0.5495095;1473.3414;806.12714;0.7002197;0.76736534;0.746414;1134.4298;749.828;0.6340463;0.59084886;0.6942852
0.9338985;1307.5;341.0;409.0;678.0;0.68098956;0.31574073;0.21302083;0.62777776;1234.504;81.19766;0.99230826;0.64297086;0.07518302;1257.9872;53.224136;0.98726094;0.6552017;0.04928161;1211.4084;56.835537;0.9639118;0.6309419;0.052625496;1311.0654;33.031002;0.9112992;0.6828466;0.03058426;1186.8536;41.239517;0.5939868;0.6181529;0.03818474;1390.3569;149.51569;0.995871;0.7241442;0.13844045;1194.3899;152.03638;0.9848007;0.62207806;0.14077443;1479.5325;304.34247;0.984184;0.7705898;0.28179857;1188.8237;291.54318;0.91793454;0.619179;0.26994738;1408.467;434.92133;0.9672331;0.7335766;0.40270492;1147.5991;389.83438;0.8865803;0.59770787;0.36095777;1388.255;439.9961;0.9921079;0.72304946;0.4074038;1245.8284;430.97644;0.98571;0.6488689;0.39905226;1430.6963;602.4311;0.9535946;0.7451543;0.55780655;1144.8934;574.75214;0.92020226;0.59629864;0.5321779;1469.6946;769.62256;0.6911997;0.7654659;0.71261346;1147.6904;731.5854;0.62665683;0.59775543;0.67739385
0.93450433;1304.0;342.0;412.0;680.0;0.6791667;0.31666666;0.21458334;0.6296296;1229.2903;82.524216;0.9927205;0.64025533;0.076411314;1253.3083;54.90065;0.9881875;0.65276474;0.050833937;1206.2327;57.885406;0.96585846;0.6282462;0.0535976;1306.8184;35.50788;0.914224;0.68063456;0.03287767;1181.1464;42.438217;0.59541714;0.6151804;0.039294645;1386.6395;148.78734;0.99579155;0.7222081;0.13776605;1188.26;151.10995;0.98409516;0.6188854;0.13991663;1476.5048;304.59167;0.98371685;0.76901287;0.28202933;1184.386;291.14648;0.9132618;0.6168677;0.26958007;1407.1154;437.219;0.96596843;0.7328726;0.4048324;1140.1636;390.5865;0.880545;0.5938352;0.36165416;1387.9943;440.6621;0.9917018;0.7229137;0.40802047;1242.6576;431.89575;0.9848588;0.6472175;0.39990348;1433.3528;605.6313;0.9515823;0.7465379;0.56076974;1139.4446;578.70294;0.9162588;0.59346074;0.53583604;1473.6274;772.85925;0.6809281;0.7675143;0.71561044;1143.8839;738.21545;0.6140176;0.59577286;0.68353283
0.93613327;1299.0;341.5;414.0;679.0;0.6765625;0.3162037;0.215625;0.6287037;1224.2322;83.35501;0.992428;0.6376209;0.077180564;1248.075;55.915318;0.9880127;0.650039;0.051773444;1201.618;59.00846;0.9624475;0.62584275;0.054637466;1301.9585;37.771523;0.91770446;0.6781034;0.034973633;1177.5844;45.058136;0.5702356;0.6133252;0.041720495;1383.3242;149.83578;0.996101;0.72048134;0.13873684;1187.5566;152.99242;0.98423856;0.61851907;0.14165965;1472.5868;304.547;0.98566717;0.7669723;0.28198797;1181.4686;290.54388;0.9152711;0.6153482;0.2690221;1402.6786;436.63962;0.9696937;0.7305618;0.40429595;1134.9144;390.79807;0.88406324;0.5911013;0.36185005;1391.1135;433.74463;0.9927718;0.72453827;0.4016154;1247.2188;425.10123;0.98636264;0.6495931;0.39361224;1430.4314;599.07904;0.9582368;0.74501634;0.5547028;1137.9072;571.7114;0.9245801;0.59266;0.52936244;1476.1775;766.1272;0.7110153;0.76884246;0.70937705;1141.2197;730.4607;0.642009;0.59438527;0.6763525
0.9346658;1295.0;341.5;418.0;679.0;0.6744792;0.3162037;0.21770833;0.6287037;1220.3599;85.837326;0.99230015;0.6356041;0.07947901;1244.0195;58.206963;0.9876489;0.64792687;0.053895336;1197.2756;61.877106;0.96336114;0.62358105;0.057293616;1296.6222;39.687515;0.91231424;0.6753241;0.036747698;1171.7515;48.049026;0.5783023;0.61028725;0.04448984;1378.7769;150.62442;0.99571675;0.71811295;0.13946706;1183.1559;154.68634;0.98346704;0.61622703;0.1432281;1470.3258;308.099;0.9839041;0.7657947;0.28527686;1179.7959;292.86752;0.9126829;0.61447704;0.27117363;1395.8027;442.77768;0.966299;0.72698057;0.40997934;1128.9031;393.37396;0.88076544;0.5879704;0.36423516;1390.3472;435.9493;0.9920535;0.72413915;0.40365678;1246.2339;427.77594;0.98551744;0.64908016;0.39608884;1430.511;601.78796;0.95662564;0.7450578;0.5572111;1138.6228;575.93036;0.92416024;0.5930327;0.53326887;1473.9272;774.3235;0.7075408;0.76767045;0.7169662;1138.5354;739.5215;0.6422666;0.5929872;0.6847421
