box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.92802495;1127.0;460.5;488.0;455.0;0.58697915;0.4263889;0.25416666;0.4212963;1279.7273;438.65643;0.82858664;0.66652465;0.40616336;0.0;0.0;0.42059112;0.0;0.0;1275.4417;418.9077;0.8447702;0.6642925;0.38787752;0.0;0.0;0.1097859;0.0;0.0;1225.9194;349.44296;0.8307754;0.6384997;0.3235583;1278.1677;344.34863;0.93757844;0.66571236;0.31884134;1079.3649;302.7524;0.9892145;0.5621692;0.2803263;1279.6995;464.49472;0.8603781;0.66651016;0.43008772;916.6214;411.5069;0.9863073;0.47740698;0.3810249;1288.7961;582.2234;0.83972275;0.671248;0.53909576;1054.6613;542.23926;0.9768138;0.54930276;0.5020734;1147.781;438.5384;0.9801988;0.5978026;0.40605408;1025.0566;434.48483;0.99159896;0.5338837;0.40230078;1187.2429;610.80664;0.92178786;0.6183557;0.5655617;1088.3972;622.4123;0.962973;0.56687355;0.57630765;1094.4393;710.57263;0.6991017;0.5700205;0.65793765;1051.6511;737.4584;0.77224565;0.547735;0.6828318
0.92584753;1127.5;460.0;489.0;456.0;0.58723956;0.42592594;0.2546875;0.42222223;1284.4127;440.46515;0.8026828;0.668965;0.4078381;0.0;0.0;0.3539234;0.0;0.0;1279.459;422.4982;0.83033353;0.6663849;0.39120203;0.0;0.0;0.089480124;0.0;0.0;1225.2428;353.6062;0.8409046;0.6381473;0.32741314;1274.7606;342.17438;0.9351801;0.6639378;0.31682813;1075.229;304.92273;0.9904861;0.5600151;0.28233585;1279.3278;464.6521;0.8589112;0.66631657;0.43023342;916.6245;411.23547;0.98880833;0.4774086;0.38077357;1290.281;583.68945;0.83635217;0.6720213;0.5404532;1051.7625;541.4072;0.97993726;0.547793;0.501303;1146.3499;439.19708;0.98102796;0.5970572;0.40666395;1023.3971;437.98645;0.99252045;0.5330193;0.405543;1187.5386;609.68384;0.9116136;0.61850965;0.5645221;1088.7998;630.1592;0.9603566;0.56708324;0.5834807;1092.4668;695.794;0.6657553;0.56899315;0.64425373;1065.6443;718.32294;0.75003946;0.5550231;0.6651138
0.92817795;1127.5;460.5;489.0;455.0;0.58723956;0.4263889;0.2546875;0.4212963;1282.127;437.94543;0.8224845;0.66777444;0.40550503;0.0;0.0;0.39215872;0.0;0.0;1277.6996;419.14777;0.8403994;0.6654685;0.3880998;0.0;0.0;0.10445656;0.0;0.0;1226.9971;351.401;0.8402893;0.639061;0.3253713;1274.6843;345.94598;0.9431946;0.6638981;0.32032037;1078.5144;305.87082;0.99131024;0.5617263;0.28321373;1279.6711;464.7301;0.8744936;0.6664954;0.43030566;916.96265;409.79156;0.9894134;0.47758472;0.37943664;1289.4487;584.34717;0.85305434;0.6715879;0.5410622;1049.6461;538.7837;0.9810182;0.5466907;0.4988738;1143.3336;442.3831;0.9823934;0.5954863;0.40961397;1022.27734;439.22913;0.99285877;0.53243613;0.40669364;1187.6006;608.3025;0.9131223;0.61854196;0.56324303;1087.142;623.51184;0.9601449;0.56621975;0.57732576;1099.9211;684.84796;0.668187;0.5728756;0.6341185;1062.7722;708.208;0.75034845;0.5535272;0.6557481
0.9220484;1127.5;460.5;489.0;455.0;0.58723956;0.4263889;0.2546875;0.4212963;1285.5867;441.7629;0.8212104;0.6695764;0.40903974;0.0;0.0;0.4052748;0.0;0.0;1279.3801;423.72943;0.84429085;0.6663438;0.39234206;0.0;0.0;0.10197075;0.0;0.0;1224.6667;355.33704;0.8328345;0.63784724;0.32901576;1278.4707;342.2184;0.9284779;0.66587013;0.3168689;1078.9595;305.50308;0.98853683;0.5619581;0.2828732;1281.6091;463.46167;0.84827685;0.6675047;0.42913118;915.9351;409.0254;0.9859912;0.47704953;0.37872723;1287.9879;583.3594;0.82948405;0.67082703;0.54014754;1048.0007;538.3516;0.976424;0.5458337;0.49847373;1153.6694;436.0589;0.97626853;0.6008695;0.40375823;1029.5801;434.3943;0.9902041;0.5362396;0.40221694;1184.38;617.2915;0.8907058;0.61686456;0.5715662;1081.2444;636.68823;0.9477275;0.56314814;0.5895261;1106.4106;702.39606;0.6091149;0.57625556;0.6503667;1058.5237;717.5141;0.6955801;0.5513144;0.66436493
0.9201637;1127.5;460.5;489.0;453.0;0.58723956;0.4263889;0.2546875;0.41944444;1287.3417;441.6448;0.78855103;0.67049044;0.40893036;0.0;0.0;0.3505993;0.0;0.0;1282.0054;424.58066;0.8189153;0.66771114;0.39313024;0.0;0.0;0.08536451;0.0;0.0;1224.0166;356.82648;0.8213933;0.63750863;0.3303949;1271.7256;341.17984;0.91884154;0.6623571;0.31590727;1073.667;306.1196;0.98575735;0.55920154;0.28344408;1280.519;462.06894;0.8425754;0.666937;0.4278416;915.32776;408.9537;0.98377013;0.4767332;0.37866083;1290.018;582.9934;0.8245961;0.67188436;0.5398087;1051.4207;541.028;0.9739023;0.54761493;0.5009519;1150.1415;441.9482;0.97332394;0.59903204;0.4092113;1026.1692;442.1857;0.9884277;0.5344631;0.4094312;1186.8782;620.61096;0.8747336;0.61816573;0.5746398;1080.4093;644.792;0.9367072;0.5627132;0.5970296;1107.7439;706.21423;0.573259;0.57694995;0.65390205;1058.2886;719.4836;0.6549454;0.551192;0.6661885
0.9239008;1127.5;461.0;487.0;454.0;0.58723956;0.42685184;0.25364584;0.42037037;1284.0266;444.52924;0.8008788;0.6687639;0.41160116;0.0;0.0;0.34569252;0.0;0.0;1274.824;426.83038;0.7707174;0.6639708;0.3952133;0.0;0.0;0.077585265;0.0;0.0;1226.1447;360.69446;0.70941377;0.638617;0.33397636;1282.9681;342.92642;0.9166961;0.6682126;0.31752446;1082.0596;309.55646;0.9895465;0.5635727;0.28662634;1283.4226;458.8246;0.86958516;0.6684493;0.4248376;920.46735;410.8863;0.990612;0.47941008;0.38045028;1291.1309;578.8841;0.89243954;0.672464;0.53600377;1045.2118;538.6964;0.98648965;0.54438114;0.49879298;1150.9705;445.39404;0.98567605;0.59946376;0.41240188;1026.9148;439.66876;0.9946885;0.53485143;0.4071007;1176.5974;620.88983;0.93137556;0.61281115;0.574898;1072.5227;637.5913;0.971787;0.55860555;0.5903623;1112.9885;707.75854;0.77534413;0.5796815;0.65533197;1039.1599;724.7686;0.84762347;0.5412291;0.6710821
0.92431736;1127.0;460.0;488.0;452.0;0.58697915;0.42592594;0.25416666;0.4185185;1284.1692;442.56747;0.7873871;0.66883814;0.4097847;0.0;0.0;0.35398942;0.0;0.0;1278.8154;425.50296;0.8106826;0.6660497;0.39398423;0.0;0.0;0.09394883;0.0;0.0;1223.2156;358.4891;0.8161139;0.63709146;0.33193436;1274.0747;343.46027;0.9303768;0.6635806;0.31801876;1073.049;306.7019;0.98755985;0.5588797;0.28398323;1281.6765;463.90527;0.8624571;0.66753983;0.42954192;914.95404;409.76324;0.9853978;0.47653857;0.37941042;1288.9777;582.5729;0.84029627;0.67134255;0.53941935;1049.1924;539.2873;0.9753994;0.54645437;0.4993401;1147.603;435.66925;0.9784411;0.5977099;0.40339744;1022.4695;434.15945;0.9904868;0.5325362;0.4019995;1182.3694;612.4356;0.89601386;0.61581737;0.56707;1078.0464;631.0413;0.94716513;0.5614825;0.58429754;1103.0437;696.5836;0.62077296;0.57450193;0.64498484;1066.1018;707.1965;0.69753087;0.5552614;0.65481156
0.92242765;1126.5;460.0;489.0;454.0;0.58671874;0.42592594;0.2546875;0.42037037;1285.1298;441.80914;0.7984917;0.6693384;0.40908253;0.0;0.0;0.36091602;0.0;0.0;1279.9117;424.20135;0.82648045;0.6666207;0.39277902;0.0;0.0;0.091591604;0.0;0.0;1226.6334;357.65924;0.830596;0.63887155;0.33116597;1275.529;345.80234;0.9274856;0.66433805;0.32018736;1078.9895;307.6751;0.9885445;0.5619737;0.28488436;1281.553;464.7853;0.8463957;0.6674755;0.43035677;913.67175;407.46332;0.9865154;0.4758707;0.37728086;1287.9309;582.19196;0.82684034;0.67079735;0.5390666;1043.2979;535.5016;0.9770866;0.5433843;0.4958348;1145.4441;439.57178;0.97784233;0.59658545;0.4070109;1024.3894;437.38452;0.9909809;0.53353614;0.40498567;1185.8403;608.8479;0.9056168;0.6176252;0.56374806;1089.9425;627.3998;0.9562289;0.5676784;0.5809257;1097.3593;705.1135;0.6556648;0.57154125;0.6528829;1060.0538;722.86584;0.7384958;0.5521114;0.6693202
0.922543;1127.0;461.0;488.0;456.0;0.58697915;0.42685184;0.25416666;0.42222223;1285.3834;442.72787;0.79440826;0.66947055;0.4099332;0.0;0.0;0.34819847;0.0;0.0;1280.2715;425.04877;0.82212967;0.66680807;0.3935637;0.0;0.0;0.08701129;0.0;0.0;1225.1969;356.8582;0.8287944;0.6381234;0.33042425;1273.4186;343.31042;0.92943704;0.6632388;0.31788003;1076.0469;306.10596;0.9892308;0.5604411;0.28343144;1279.7466;462.78955;0.85571647;0.66653466;0.42850885;914.0382;408.01804;0.98781115;0.47606155;0.37779447;1287.7366;582.69086;0.83698004;0.67069614;0.53952855;1042.1532;534.55505;0.9791572;0.54278815;0.49495837;1146.8745;436.74957;0.98088557;0.59733045;0.40439776;1024.7656;435.60223;0.9923248;0.5337321;0.4033354;1188.1345;603.2447;0.9193888;0.6188201;0.5585599;1085.609;624.743;0.9631923;0.56542134;0.5784657;1102.8047;700.8749;0.6947482;0.5743774;0.6489582;1058.6263;722.40356;0.77163345;0.5513679;0.6688922
0.9194193;1127.0;460.5;488.0;453.0;0.58697915;0.4263889;0.25416666;0.41944444;1284.9387;443.16193;0.8131065;0.6692389;0.41033512;0.0;0.0;0.39164394;0.0;0.0;1279.3962;424.97635;0.8346527;0.6663522;0.39349663;0.0;0.0;0.10190918;0.0;0.0;1225.2753;356.97006;0.8283479;0.6381642;0.33052784;1275.1332;345.3145;0.9329062;0.6641319;0.31973568;1078.0917;307.234;0.9885152;0.5615061;0.28447592;1279.9442;463.80066;0.85835016;0.6666376;0.42944506;912.9025;405.12433;0.985903;0.47547007;0.37511513;1287.2686;583.5775;0.836414;0.67045236;0.54034954;1031.526;525.39056;0.97621006;0.53725314;0.48647276;1145.7822;439.37463;0.97806066;0.5967616;0.40682837;1024.1061;437.08093;0.9906036;0.53338856;0.40470457;1185.269;613.22473;0.9003713;0.61732763;0.5678007;1087.4261;631.9505;0.9511962;0.5663678;0.58513933;1100.4468;697.0741;0.6350108;0.5731494;0.64543897;1063.3708;715.52344;0.7140036;0.55383897;0.6625217
0.91730094;1126.5;461.0;489.0;454.0;0.58671874;0.42685184;0.2546875;0.42037037;1284.56;443.31592;0.7964174;0.6690417;0.4104777;0.0;0.0;0.35782295;0.0;0.0;1279.4661;425.70035;0.8228895;0.6663886;0.39416698;0.0;0.0;0.09076474;0.0;0.0;1226.384;357.45496;0.8259424;0.6387417;0.3309768;1275.5535;343.28668;0.9276646;0.66435075;0.31785804;1078.3655;306.46225;0.9886579;0.56164867;0.28376135;1280.3171;462.46124;0.8518151;0.66683185;0.42820486;914.32983;407.29608;0.9870669;0.47621346;0.377126;1286.8505;581.60425;0.8328917;0.6702346;0.5385224;1038.7107;532.13184;0.9780447;0.5409952;0.49271467;1147.2006;442.39563;0.9791059;0.59750026;0.4096256;1024.8263;441.0964;0.9915256;0.5337637;0.4084226;1189.0464;609.93286;0.90899944;0.619295;0.56475264;1085.6855;631.9895;0.9579419;0.5654612;0.58517545;1100.6724;702.2825;0.664596;0.57326686;0.6502615;1055.3328;725.7761;0.74560803;0.54965246;0.67201495
0.9178816;1127.0;460.5;488.0;451.0;0.58697915;0.4263889;0.25416666;0.41759259;1287.1329;442.57086;0.79800105;0.6703817;0.40978783;0.0;0.0;0.36915424;0.0;0.0;1280.7869;425.5804;0.82324255;0.66707647;0.39405593;0.0;0.0;0.09532558;0.0;0.0;1225.0809;360.89532;0.8226834;0.638063;0.33416232;1276.3346;345.78848;0.92734;0.6647576;0.32017452;1077.0344;309.5245;0.9875964;0.5609554;0.28659678;1280.3274;466.97955;0.85404354;0.66683716;0.43238848;914.78516;406.6559;0.9854578;0.4764506;0.37653324;1288.3423;586.1499;0.8326609;0.6710116;0.5427314;1034.915;532.3611;0.97563666;0.5390183;0.49292693;1150.9244;437.70914;0.9777706;0.5994398;0.40528625;1026.1792;437.41965;0.99050176;0.53446835;0.40501818;1193.4999;608.4425;0.9005701;0.6216145;0.5633727;1083.9132;635.82837;0.95128995;0.5645381;0.58873;1112.1835;696.2166;0.6411602;0.5792622;0.64464504;1064.7249;717.97253;0.7182064;0.5545442;0.6647894
0.9180282;1126.5;460.0;489.0;450.0;0.58671874;0.42592594;0.2546875;0.41666666;1285.3877;442.66663;0.7990753;0.66947275;0.4098765;0.0;0.0;0.3582341;0.0;0.0;1281.6185;424.64676;0.82349086;0.6675097;0.39319146;0.0;0.0;0.08801489;0.0;0.0;1227.6376;353.80536;0.82413316;0.6393946;0.32759756;1271.7701;342.04745;0.928898;0.6623803;0.31671062;1074.4092;302.69232;0.9878219;0.55958813;0.28027067;1278.9292;465.0345;0.8606684;0.66610897;0.4305875;913.6617;403.97583;0.98634887;0.47586545;0.3740517;1287.409;583.6826;0.84286577;0.67052555;0.5404469;1034.1963;530.3783;0.9776977;0.5386439;0.491091;1146.0822;446.58847;0.9781462;0.5969178;0.41350785;1022.42444;445.7559;0.9906784;0.5325127;0.41273692;1199.8607;605.063;0.902785;0.62492746;0.5602435;1085.0776;631.54004;0.95281434;0.5651446;0.5847593;1111.3154;691.7869;0.65059096;0.5788101;0.64054346;1057.9348;720.79016;0.72597665;0.5510077;0.6673983
0.92115515;1127.0;459.0;488.0;450.0;0.58697915;0.425;0.25416666;0.41666666;1286.5874;442.4981;0.7942918;0.6700976;0.40972048;0.0;0.0;0.35802868;0.0;0.0;1280.1151;425.81314;0.8185195;0.66672665;0.39427143;0.0;0.0;0.09447718;0.0;0.0;1225.3025;357.54337;0.8233692;0.6381784;0.33105868;1276.9084;339.86212;0.929515;0.66505647;0.31468716;1077.5217;303.56458;0.98900044;0.56120926;0.2810783;1277.2561;462.1709;0.8623074;0.66523755;0.42793602;916.3464;405.40723;0.9875723;0.47726375;0.37537706;1287.2324;584.0947;0.8411679;0.6704336;0.54082847;1044.5898;539.9077;0.978298;0.5440572;0.49991456;1152.1367;444.50635;0.9770551;0.6000712;0.41157994;1026.5139;443.2876;0.99050725;0.53464264;0.41045147;1190.8928;611.33704;0.8704447;0.62025666;0.5660528;1076.8267;633.1505;0.9368366;0.5608472;0.5862505;1114.156;674.0479;0.56539273;0.5802896;0.62411845;1067.8064;683.51465;0.655205;0.5561492;0.6328839
0.9220267;1126.0;461.0;488.0;452.0;0.5864583;0.42685184;0.25416666;0.4185185;1285.9941;442.38574;0.79652107;0.6697886;0.40961644;0.0;0.0;0.34418395;0.0;0.0;1280.9554;424.72607;0.8229444;0.66716427;0.3932649;0.0;0.0;0.08527473;0.0;0.0;1225.6925;355.2487;0.83207357;0.63838154;0.32893398;1270.7845;343.2439;0.93147016;0.66186696;0.31781843;1074.2422;305.6888;0.98935586;0.5595011;0.2830452;1277.5176;463.76422;0.8651379;0.66537374;0.42941132;914.1227;404.47272;0.98835015;0.47610557;0.37451178;1287.6813;583.4812;0.848254;0.67066735;0.5402604;1039.356;534.4509;0.9803854;0.54133123;0.49486196;1145.3746;448.14908;0.97839373;0.5965493;0.41495284;1022.40137;448.06494;0.99116373;0.5325007;0.41487494;1200.248;601.4155;0.8888996;0.62512916;0.5568662;1086.0964;629.0147;0.94759786;0.5656752;0.582421;1113.1466;671.80176;0.6148828;0.5797638;0.62203866;1063.0828;694.9813;0.6999048;0.55368894;0.6435012
