box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.93622553;1111.0;507.0;536.0;544.0;0.5786458;0.46944445;0.27916667;0.5037037;1263.4891;442.62775;0.8875666;0.6580673;0.4098405;0.0;0.0;0.4985497;0.0;0.0;1249.4233;419.4599;0.87965477;0.65074134;0.38838878;0.0;0.0;0.094460286;0.0;0.0;1184.8962;358.7484;0.8076438;0.61713344;0.33217445;1235.6232;338.32812;0.9349011;0.64355373;0.31326678;1008.5237;365.47095;0.9885007;0.5252727;0.33839902;1276.8475;521.9676;0.8907926;0.66502476;0.48330334;930.4248;550.58655;0.9868758;0.48459625;0.50980234;1304.1487;671.21204;0.8902829;0.6792441;0.6214926;1118.2678;556.50903;0.980977;0.58243114;0.51528615;1097.7838;437.2497;0.9867447;0.5717624;0.40486082;934.734;476.3703;0.99341416;0.48684064;0.4410836;1238.5195;578.0994;0.9607533;0.64506227;0.53527725;953.6841;736.50476;0.9807843;0.49671045;0.68194884;1182.6975;692.70593;0.8340462;0.6159883;0.6413944;892.3484;871.85065;0.8618254;0.46476477;0.8072691
0.93596166;1111.0;507.0;536.0;544.0;0.5786458;0.46944445;0.27916667;0.5037037;1261.3936;442.85605;0.8803042;0.6569758;0.41005188;0.0;0.0;0.46995193;0.0;0.0;1248.5271;419.5936;0.8731316;0.6502745;0.38851258;0.0;0.0;0.08732503;0.0;0.0;1185.7783;357.2923;0.80744654;0.6175929;0.3308262;1234.4253;337.81323;0.93432033;0.64292985;0.31279004;1010.1919;362.4812;0.9894861;0.5261416;0.33563074;1278.4187;522.3359;0.8907843;0.66584307;0.48364434;930.6854;549.874;0.98877513;0.484732;0.50914264;1305.3605;670.40125;0.8916154;0.67987525;0.6207419;1119.0681;555.65686;0.98336685;0.58284795;0.5144971;1097.6985;441.92462;0.98790413;0.571718;0.40918946;936.9957;479.3116;0.99433374;0.4880186;0.44380707;1237.5444;583.3507;0.96351266;0.6445544;0.54013956;957.8109;735.39355;0.98317254;0.49885985;0.68091995;1180.5068;698.82697;0.84362745;0.6148473;0.647062;889.45496;875.3811;0.8746302;0.4632578;0.81053805
0.9376195;1108.5;506.0;533.0;548.0;0.57734376;0.46851853;0.27760416;0.5074074;1259.3452;440.7716;0.85811;0.65590894;0.40812185;0.0;0.0;0.34582973;0.0;0.0;1246.9366;417.64188;0.8418679;0.6494462;0.38670543;0.0;0.0;0.050969526;0.0;0.0;1181.9028;354.60846;0.7867366;0.6155744;0.32834116;1241.7833;342.50922;0.9199284;0.64676213;0.31713817;1007.76215;353.78128;0.99056166;0.5248761;0.32757527;1281.71;527.052;0.8871491;0.6675573;0.48801112;925.57526;547.71735;0.9930233;0.48207045;0.5071457;1312.9318;672.1953;0.9159622;0.68381864;0.6224031;1121.065;555.2605;0.99172324;0.583888;0.5141301;1102.3365;436.9467;0.988831;0.57413363;0.40458027;937.75037;469.34976;0.9956649;0.48841164;0.43458313;1241.2256;582.37134;0.96255445;0.6464717;0.53923273;957.7561;724.2698;0.98533326;0.4988313;0.67062014;1188.1189;676.70905;0.86173785;0.6188119;0.62658244;888.92413;847.08984;0.89693147;0.4629813;0.78434247
0.93706;1108.5;506.0;533.0;548.0;0.57734376;0.46851853;0.27760416;0.5074074;1261.2177;439.44992;0.8425536;0.6568842;0.40689808;0.0;0.0;0.31832376;0.0;0.0;1248.3812;417.05237;0.82763094;0.6501986;0.3861596;0.0;0.0;0.047532875;0.0;0.0;1181.7339;355.59314;0.78099996;0.6154864;0.3292529;1241.2413;341.07306;0.9159388;0.64647985;0.3158084;1005.2382;355.40363;0.99009097;0.5235616;0.32907742;1280.263;523.9115;0.88343424;0.6668036;0.48510325;926.44434;547.6376;0.9927067;0.48252308;0.50707185;1312.9111;672.22754;0.9114436;0.6838079;0.6224329;1120.5325;556.1417;0.9911911;0.58361065;0.51494604;1101.6194;433.27148;0.98905164;0.5737601;0.4011773;935.73645;467.5761;0.9957247;0.48736274;0.43294084;1243.4406;572.46936;0.9643034;0.64762527;0.5300642;954.64294;719.9899;0.98593116;0.49720988;0.6666573;1189.0984;670.5272;0.8721027;0.61932206;0.62085855;896.9035;842.79395;0.9042278;0.46713725;0.78036475
0.93669987;1109.0;505.5;536.0;545.0;0.5776042;0.46805555;0.27916667;0.5046296;1259.9875;440.25867;0.87908894;0.6562435;0.40764692;0.0;0.0;0.46801284;0.0;0.0;1246.6263;416.9035;0.8693103;0.64928454;0.38602176;0.0;0.0;0.08994314;0.0;0.0;1183.0413;355.67914;0.8039285;0.6161673;0.32933253;1234.5645;338.1441;0.93789923;0.64300233;0.3130964;1008.33325;361.11154;0.9901154;0.52517354;0.33436254;1278.5675;526.50653;0.89750314;0.66592056;0.48750606;929.5885;550.52185;0.98946023;0.4841607;0.50974244;1303.428;672.73596;0.896706;0.6788687;0.62290365;1117.5652;553.79675;0.98413175;0.5820652;0.51277477;1100.231;442.11584;0.98877454;0.57303697;0.40936652;938.15393;478.28934;0.9947438;0.48862183;0.44286048;1235.0244;587.30664;0.9634124;0.6432419;0.54380244;955.11804;736.0935;0.9830494;0.49745733;0.6815681;1181.2056;695.8546;0.8394955;0.61521125;0.6443098;890.9906;868.2777;0.8715053;0.4640576;0.80396086
0.9371522;1108.5;505.5;537.0;547.0;0.57734376;0.46805555;0.2796875;0.50648147;1255.2762;440.10104;0.8682176;0.6537897;0.40750095;0.0;0.0;0.44804335;0.0;0.0;1243.4283;416.3669;0.85635966;0.64761895;0.38552493;0.0;0.0;0.08710799;0.0;0.0;1182.2031;353.15085;0.7894971;0.6157308;0.32699153;1231.1062;337.56616;0.9335484;0.64120114;0.31256127;1008.2401;358.42996;0.988893;0.5251251;0.3318796;1277.2019;525.60834;0.89429414;0.66520935;0.4866744;930.6993;548.6947;0.98860896;0.4847392;0.5080506;1304.0854;671.427;0.8947449;0.6792112;0.62169164;1116.974;552.6262;0.9832599;0.5817573;0.511691;1097.6577;444.09576;0.98774093;0.5716967;0.41119978;937.90393;478.71967;0.9941526;0.48849162;0.44325894;1231.5305;591.73804;0.95952994;0.64142215;0.54790556;953.8603;734.3701;0.9809014;0.49680224;0.67997235;1178.0679;697.93854;0.82558435;0.613577;0.6462394;886.7847;866.2471;0.85919034;0.46186703;0.80208063
0.93656516;1109.0;504.5;536.0;549.0;0.5776042;0.46712962;0.27916667;0.5083333;1256.0012;438.17276;0.858362;0.6541673;0.40571553;0.0;0.0;0.4139214;0.0;0.0;1244.2048;414.7008;0.8465541;0.64802337;0.38398224;0.0;0.0;0.07793344;0.0;0.0;1182.0326;351.18616;0.7864266;0.61564195;0.32517236;1229.651;333.48273;0.9325583;0.6404432;0.3087803;1008.02637;357.5331;0.98972064;0.52501374;0.33104917;1278.5685;518.4553;0.8964866;0.6659211;0.48005122;931.50964;548.18396;0.9901659;0.48516127;0.5075777;1302.5023;667.84015;0.89882714;0.6783866;0.61837053;1119.04;552.37775;0.98539263;0.58283335;0.5114609;1098.5986;444.52835;0.98951143;0.57218677;0.41160032;939.8147;480.95004;0.9952296;0.4894868;0.44532412;1233.8887;590.38776;0.9657718;0.64265037;0.54665536;957.5603;736.875;0.98462164;0.49872932;0.6822917;1181.2892;700.073;0.8492311;0.61525476;0.6482157;884.8447;873.92303;0.8815921;0.46085662;0.809188
0.9373557;1109.0;504.5;534.0;551.0;0.5776042;0.46712962;0.278125;0.5101852;1257.3293;434.72617;0.8874355;0.654859;0.40252423;0.0;0.0;0.48619196;0.0;0.0;1244.1919;410.36032;0.87788767;0.64801663;0.37996325;0.0;0.0;0.09156884;0.0;0.0;1179.9457;348.07886;0.8069284;0.61455506;0.32229525;1232.2467;335.6042;0.9367735;0.64179516;0.3107446;1008.34546;356.7547;0.9903287;0.5251799;0.33032843;1279.77;522.083;0.89298147;0.6665469;0.48341018;932.723;548.14734;0.98960376;0.48579323;0.50754386;1303.8535;670.0574;0.8942696;0.6790904;0.6204235;1119.5474;552.03284;0.9844274;0.5830976;0.51114154;1102.2653;442.23907;0.98833907;0.5740965;0.40948063;941.85535;477.1585;0.99468106;0.49054965;0.44181344;1232.442;590.8196;0.9628575;0.6418969;0.5470552;956.67554;734.67053;0.9832259;0.4982685;0.68025047;1183.7068;700.1438;0.83764493;0.61651397;0.6482813;886.2999;872.0235;0.8721337;0.46161455;0.8074292
0.9378045;1108.5;504.0;535.0;552.0;0.57734376;0.46666667;0.27864584;0.51111114;1256.0402;431.32745;0.90500546;0.65418756;0.3993773;1269.4595;411.29068;0.5445058;0.6611768;0.3808247;1242.6714;406.33325;0.8954314;0.64722466;0.3762345;0.0;0.0;0.11088754;0.0;0.0;1180.496;345.10016;0.82144016;0.61484164;0.3195372;1234.2173;336.37952;0.94354683;0.6428215;0.31146252;1008.5469;355.3094;0.99105763;0.5252848;0.32899016;1277.8977;525.43384;0.89594275;0.66557175;0.4865128;933.7278;547.9389;0.9892575;0.48631656;0.50735086;1302.6831;670.8331;0.8937506;0.6784808;0.6211418;1121.6687;552.646;0.98331475;0.58420247;0.5117093;1100.7655;445.65582;0.9874457;0.5733154;0.41264427;939.104;479.54626;0.99413526;0.48911667;0.44402432;1229.8511;591.50134;0.95758474;0.64054745;0.54768646;953.26337;734.7704;0.9803638;0.49649134;0.680343;1180.6266;691.6421;0.81722814;0.6149097;0.64040935;894.5032;866.92456;0.8535733;0.46588707;0.8027079
0.93704396;1108.0;503.0;534.0;554.0;0.57708335;0.46574074;0.278125;0.51296294;1254.0907;428.95844;0.8987783;0.65317225;0.39718375;1267.4202;409.1218;0.5013341;0.66011465;0.3788165;1242.1111;404.21393;0.8895685;0.64693284;0.37427217;0.0;0.0;0.09391487;0.0;0.0;1180.3679;342.9799;0.8228903;0.61477494;0.31757396;1225.5713;335.08868;0.94277674;0.63831836;0.3102673;1009.93195;355.8771;0.9918949;0.5260062;0.32951584;1278.9755;520.4831;0.8986737;0.66613305;0.4819288;934.97424;547.4435;0.9912548;0.48696575;0.5068921;1303.5594;667.6772;0.9005331;0.6789372;0.6182196;1121.529;551.0042;0.9865628;0.5841297;0.51018906;1092.4971;449.3886;0.9889283;0.5690089;0.41610056;937.6725;484.2107;0.9951374;0.48837107;0.44834325;1228.9813;590.52014;0.962198;0.64009446;0.5467779;959.819;734.22894;0.98366195;0.4999057;0.67984164;1183.4513;690.01965;0.83433604;0.6163809;0.6389071;881.7563;868.0131;0.8720834;0.45924807;0.8037158
