box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.93544304;1098.0;457.5;502.0;465.0;0.571875;0.4236111;0.26145834;0.43055555;1256.7917;412.5094;0.8888612;0.65457904;0.38195315;1267.067;399.50464;0.5166122;0.65993077;0.3699117;1252.4583;390.02216;0.87079674;0.652322;0.36113164;0.0;0.0;0.10922528;0.0;0.0;1208.4578;326.76642;0.7828509;0.6294051;0.3025615;1224.7216;330.77698;0.937342;0.6378758;0.30627498;1048.2349;298.57812;0.9904925;0.54595566;0.2764612;1239.9746;449.87585;0.8698036;0.6458201;0.4165517;891.6217;408.15463;0.9875602;0.4643863;0.37792096;1258.054;567.6111;0.8861068;0.6552364;0.5255658;1040.9694;498.20905;0.9813535;0.54217154;0.46130466;1067.8636;429.43295;0.98185664;0.556179;0.3976231;959.9866;427.08472;0.99220806;0.499993;0.3954488;1115.2924;570.1294;0.93468195;0.5808814;0.5278976;1031.1035;600.6616;0.97051305;0.5370331;0.55616814;1063.772;682.4053;0.7992071;0.5540479;0.63185674;985.1702;732.9105;0.8544854;0.5131095;0.6786209
0.9354824;1097.5;458.0;503.0;464.0;0.57161456;0.42407408;0.26197916;0.42962962;1257.9158;411.97256;0.8784459;0.6551645;0.38145608;0.0;0.0;0.481076;0.0;0.0;1252.7904;390.29407;0.8597675;0.652495;0.3613834;0.0;0.0;0.10087854;0.0;0.0;1208.312;328.6304;0.7814172;0.62932914;0.3042874;1226.6272;330.43073;0.9390375;0.63886833;0.30595437;1048.696;300.67752;0.99127126;0.54619586;0.2784051;1241.4481;450.18127;0.874207;0.64658755;0.4168345;889.88745;408.1565;0.9890687;0.46348304;0.37792268;1259.6056;568.0641;0.8890527;0.6560446;0.52598524;1037.4415;498.83337;0.98314685;0.5403341;0.46188274;1065.5591;423.43845;0.9848609;0.55497867;0.39207265;957.56824;422.38614;0.9937126;0.49873346;0.3910983;1114.1948;565.0335;0.94620895;0.5803098;0.5231792;1032.6714;601.79785;0.97668445;0.53784966;0.5572202;1056.48;680.7753;0.82996;0.55025;0.63034755;984.55493;735.4488;0.87970996;0.512789;0.6809711
0.93782127;1097.0;457.5;502.0;463.0;0.57135415;0.4236111;0.26145834;0.4287037;1255.5809;411.52844;0.87831527;0.6539484;0.38104486;0.0;0.0;0.43644845;0.0;0.0;1253.0164;390.8825;0.8650195;0.6526127;0.36192825;0.0;0.0;0.08327534;0.0;0.0;1208.9133;327.37326;0.8093826;0.62964237;0.30312338;1227.189;332.16006;0.9386113;0.63916093;0.30755562;1050.2993;295.40448;0.9916551;0.54703087;0.27352268;1240.648;455.13184;0.8664553;0.6461708;0.42141837;888.09375;406.00296;0.9901956;0.46254882;0.37592867;1260.459;571.245;0.88964105;0.6564891;0.52893054;1039.9177;496.85358;0.9862586;0.54162383;0.4600496;1065.1602;428.46735;0.9829402;0.5547709;0.39672902;960.03937;425.11597;0.9933369;0.5000205;0.3936259;1122.445;565.53613;0.94450307;0.58460677;0.52364457;1041.0701;589.98694;0.9769106;0.542224;0.5462842;1049.3777;692.0321;0.8275137;0.54655087;0.6407705;981.7837;737.50507;0.87937015;0.5113457;0.68287504
0.93703926;1096.5;458.0;503.0;464.0;0.57109374;0.42407408;0.26197916;0.42962962;1255.0894;412.50763;0.8747366;0.65369236;0.3819515;0.0;0.0;0.4230262;0.0;0.0;1252.2227;392.10434;0.8585045;0.6521993;0.36305958;0.0;0.0;0.08060601;0.0;0.0;1207.4331;327.92053;0.8064421;0.6288714;0.3036301;1228.744;331.9405;0.9436951;0.63997084;0.3073523;1045.1592;295.1313;0.99190944;0.5443537;0.2732697;1241.4486;457.21344;0.8819671;0.6465878;0.42334577;888.6473;403.2765;0.99085593;0.46283713;0.37340415;1260.4016;573.16486;0.90121174;0.65645915;0.5307082;1040.9585;493.85315;0.9871895;0.5421659;0.45727143;1065.4409;430.62772;0.98503613;0.55491716;0.39872935;954.6709;428.84464;0.993978;0.49722442;0.39707837;1134.7507;558.8806;0.94766134;0.591016;0.51748204;1036.4767;593.9057;0.9777526;0.5398316;0.5499127;1051.7155;675.7;0.83663493;0.5477685;0.62564814;981.31836;732.32684;0.88330454;0.51110333;0.67808044
0.9358801;1097.0;458.0;502.0;464.0;0.57135415;0.42407408;0.26145834;0.42962962;1257.0596;410.6167;0.8726446;0.6547185;0.38020065;0.0;0.0;0.45869726;0.0;0.0;1253.4495;388.54578;0.8492823;0.6528383;0.3597646;0.0;0.0;0.09309929;0.0;0.0;1210.7262;324.62164;0.77841026;0.63058656;0.30057558;1228.824;330.52637;0.94649005;0.6400125;0.30604294;1044.4319;297.2014;0.9909924;0.54397494;0.27518648;1241.2744;456.95224;0.89232725;0.6464971;0.42310393;890.02094;405.24988;0.9891588;0.46355256;0.37523136;1258.967;572.3174;0.90345865;0.655712;0.5299235;1041.2324;494.84674;0.98399276;0.54230857;0.45819142;1071.2603;438.98645;0.9853211;0.55794805;0.40646893;958.4663;438.23328;0.993472;0.4992012;0.40577155;1145.0884;553.35504;0.94576997;0.5964002;0.51236576;1046.519;594.4011;0.97537917;0.545062;0.5503714;1051.3333;666.5967;0.8360011;0.5475694;0.61721915;985.2377;730.2274;0.88039196;0.5131446;0.6761365
0.93599665;1096.5;458.5;505.0;465.0;0.57109374;0.42453703;0.26302084;0.43055555;1258.9185;410.28986;0.8848388;0.6556867;0.379898;0.0;0.0;0.44763613;0.0;0.0;1254.647;389.42697;0.86699194;0.653462;0.36058053;0.0;0.0;0.087323114;0.0;0.0;1207.7415;326.54236;0.813154;0.629032;0.30235404;1232.6455;334.34744;0.95041555;0.6420029;0.30958095;1044.7312;298.5177;0.9928042;0.54413086;0.27640527;1240.8594;462.69482;0.8938539;0.64628094;0.42842114;885.59155;406.42426;0.99149805;0.4612456;0.37631875;1259.9792;573.3177;0.9094864;0.6562392;0.5308497;1042.2502;492.82407;0.98788315;0.5428387;0.4563186;1069.9105;430.82538;0.98712456;0.5572451;0.3989124;956.2903;430.83087;0.9947556;0.49806786;0.39891747;1136.1128;559.7953;0.95375085;0.5917254;0.51832896;1034.5193;604.3229;0.980082;0.5388121;0.5595582;1054.6687;671.948;0.8496984;0.54930663;0.6221741;983.43054;737.7028;0.8912592;0.5122034;0.68305814
0.9365734;1095.5;458.5;503.0;465.0;0.5705729;0.42453703;0.26197916;0.43055555;1259.4778;412.21948;0.8953579;0.655978;0.38168472;1270.0354;398.32297;0.52009195;0.6614768;0.36881757;1254.0203;389.5459;0.8776176;0.65313554;0.36069065;0.0;0.0;0.104993805;0.0;0.0;1208.7837;325.77707;0.7980395;0.62957484;0.30164543;1231.7811;333.14508;0.9467099;0.6415527;0.30846766;1044.2382;300.09943;0.9914512;0.543874;0.27786985;1241.9974;457.49652;0.88526607;0.64687365;0.4236079;886.95886;403.72147;0.988842;0.46195775;0.37381616;1259.9514;572.60767;0.898303;0.65622467;0.53019226;1041.9968;492.50766;0.9834636;0.54270667;0.4560256;1074.098;436.4178;0.98370034;0.55942607;0.40409055;959.3506;436.6605;0.9929005;0.49966177;0.40431526;1140.0259;556.3844;0.9401828;0.5937635;0.51517075;1042.8724;604.13196;0.97315943;0.5431627;0.5593814;1055.4252;664.6593;0.8193927;0.5497006;0.6154253;986.7151;733.68256;0.8678491;0.5139141;0.6793357
0.93438256;1095.5;458.5;505.0;465.0;0.5705729;0.42453703;0.26302084;0.43055555;1259.8604;411.16833;0.9088088;0.6561773;0.3807114;1272.3645;397.25177;0.50448805;0.66268986;0.36782572;1255.1243;389.51654;0.89628553;0.65371054;0.36066347;0.0;0.0;0.094557814;0.0;0.0;1207.3049;326.4087;0.84381944;0.6288046;0.30223027;1234.7804;339.38556;0.9572936;0.6431148;0.31424588;1042.7415;300.5395;0.9938757;0.5430945;0.2782773;1239.5406;466.70682;0.8981593;0.64559406;0.43213594;884.82587;406.04303;0.9921314;0.4608468;0.37596577;1260.0889;573.7832;0.9121001;0.6562963;0.53128076;1044.2548;492.9477;0.98873144;0.54388267;0.45643306;1074.4373;437.18637;0.9869201;0.55960274;0.4048022;957.85236;436.9377;0.9947343;0.49888143;0.40457195;1155.3966;549.05536;0.9533341;0.6017691;0.5083846;1042.845;594.55945;0.98031944;0.5431484;0.55051804;1056.6167;661.16895;0.85356116;0.5503212;0.61219347;985.4634;729.4531;0.8951217;0.51326215;0.67541957
0.93528557;1095.5;458.0;503.0;464.0;0.5705729;0.42407408;0.26197916;0.42962962;1258.9075;409.8685;0.8932915;0.65568095;0.37950787;0.0;0.0;0.4550567;0.0;0.0;1253.9353;389.05835;0.88064456;0.6530913;0.3602392;0.0;0.0;0.083120815;0.0;0.0;1205.9921;327.0175;0.83252;0.62812084;0.30279398;1232.7008;337.05603;0.95187145;0.64203167;0.3120889;1043.9658;298.26288;0.99344665;0.5437322;0.27616933;1240.4061;466.30035;0.89129496;0.64604485;0.4317596;885.3393;403.357;0.9922752;0.46111423;0.3734787;1259.9163;573.90564;0.9083769;0.65620637;0.5313941;1046.1997;492.1184;0.9889992;0.5448957;0.4556652;1071.3971;436.47528;0.98658746;0.55801934;0.40414378;957.1474;435.49686;0.99476385;0.49851426;0.40323782;1151.0571;549.2024;0.9522292;0.59950894;0.5085207;1045.5709;591.572;0.980433;0.5445682;0.54775184;1056.273;664.7184;0.8520863;0.55014217;0.61548;983.49884;725.6819;0.8962132;0.512239;0.6719277
0.93351233;1095.5;457.5;503.0;463.0;0.5705729;0.4236111;0.26197916;0.4287037;1257.6285;409.6951;0.8675908;0.6550149;0.37934732;0.0;0.0;0.4073679;0.0;0.0;1253.5023;389.79303;0.8462259;0.65286577;0.36091948;0.0;0.0;0.078764535;0.0;0.0;1206.5864;326.24396;0.79823434;0.6284304;0.30207774;1233.6917;330.61496;0.94833994;0.6425477;0.30612496;1040.2921;295.73666;0.99190617;0.5418188;0.27383024;1241.0986;464.96622;0.8972953;0.6464055;0.4305243;884.1373;404.5936;0.9910938;0.4604882;0.37462372;1260.5969;571.7957;0.91271436;0.6565609;0.52944046;1046.3574;493.13828;0.98769766;0.54497784;0.45660952;1073.7482;431.6402;0.9871731;0.55924386;0.39966685;955.75415;433.488;0.9946162;0.4977886;0.4013778;1144.8325;554.2018;0.953481;0.5962669;0.5131498;1030.8737;608.27496;0.9793748;0.53691334;0.5632176;1053.515;667.8185;0.85089856;0.54870576;0.61835045;979.2565;739.70416;0.88936603;0.51002944;0.68491125
