box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9463791;1664.0;532.5;512.0;957.0;0.8666667;0.49305555;0.26666668;0.88611114;1764.0828;154.32285;0.89849347;0.9187931;0.14289153;1792.1338;142.9313;0.70267045;0.933403;0.1323438;1765.5688;132.09402;0.6298278;0.9195671;0.12230928;1851.9137;166.38098;0.5547366;0.9645384;0.15405646;0.0;0.0;0.36009753;0.0;0.0;1904.9988;296.93692;0.99172604;0.99218684;0.2749416;1705.772;247.48228;0.9954411;0.8884229;0.22915027;1910.8462;456.82965;0.9835391;0.9952324;0.4229904;1593.7101;355.85754;0.99283665;0.8300573;0.32949772;1827.2139;530.7669;0.9819405;0.95167387;0.49145085;1677.7766;460.26587;0.98784035;0.873842;0.4261721;1784.5496;586.6302;0.99831796;0.9294529;0.5431761;1657.6293;549.88635;0.9988257;0.8633486;0.509154;1721.9703;775.7311;0.98730356;0.8968595;0.7182695;1577.0642;718.45374;0.9906879;0.8213876;0.6652349;1644.8896;899.87823;0.9145274;0.85671335;0.8332206;1488.5005;882.611;0.9314623;0.7752607;0.81723243
0.94701993;1664.0;532.5;512.0;957.0;0.8666667;0.49305555;0.26666668;0.88611114;1765.4407;155.53601;0.8958508;0.91950035;0.14401482;1793.6345;143.99199;0.6973134;0.9341847;0.13332592;1766.9778;132.85973;0.6199641;0.9203009;0.123018265;1854.065;166.4826;0.5509099;0.96565884;0.15415056;0.0;0.0;0.35078114;0.0;0.0;1905.4717;298.896;0.9917385;0.9924332;0.27675554;1707.7859;247.60245;0.9952924;0.8894718;0.22926153;1909.1166;459.2481;0.9839017;0.99433154;0.42522973;1595.4287;355.4441;0.9926702;0.83095247;0.3291149;1827.4808;531.4971;0.9823491;0.9518129;0.4921269;1681.2067;462.1761;0.9876903;0.8756285;0.42794082;1782.8192;588.3374;0.9983486;0.9285517;0.5447568;1657.1682;550.7439;0.9988263;0.86310846;0.5099481;1720.8701;776.5547;0.9877071;0.89628655;0.7190321;1578.1555;717.9319;0.9908379;0.821956;0.66475177;1644.3926;900.4142;0.9172921;0.8564545;0.8337168;1488.5405;881.8696;0.93308234;0.77528155;0.81654596
0.94697976;1664.0;533.5;512.0;957.0;0.8666667;0.49398148;0.26666668;0.88611114;1766.9037;156.49782;0.89955115;0.92026234;0.14490539;1794.9305;144.52464;0.7067323;0.93485963;0.13381912;1767.8873;133.14088;0.6288226;0.92077464;0.123278596;1854.8401;164.8905;0.5543105;0.96606255;0.15267639;0.0;0.0;0.35291502;0.0;0.0;1905.9778;297.79297;0.99184024;0.99269676;0.27573422;1707.8544;246.02165;0.99519366;0.8895075;0.22779782;1910.3251;459.14587;0.98407954;0.99496096;0.42513508;1594.8975;354.40247;0.99240375;0.8306758;0.32815042;1828.7034;531.2965;0.98256874;0.9524497;0.4919412;1679.7843;461.73972;0.98742014;0.87488765;0.4275368;1782.7278;588.31506;0.9983115;0.92850405;0.54473615;1657.1218;550.523;0.9987796;0.86308426;0.5097435;1721.2224;777.0657;0.98755395;0.89647;0.71950525;1578.7239;718.3896;0.990573;0.82225204;0.66517556;1644.5366;901.3363;0.9159894;0.8565295;0.83457065;1488.7976;882.9785;0.9312857;0.7754154;0.8175727
0.94712067;1664.0;532.5;512.0;957.0;0.8666667;0.49305555;0.26666668;0.88611114;1767.3516;156.7468;0.8949475;0.9204956;0.14513592;1795.3843;145.02338;0.6961666;0.93509597;0.1342809;1768.7986;133.47134;0.6187062;0.9212493;0.123584576;1855.1555;166.18176;0.5486797;0.9662268;0.153872;0.0;0.0;0.34996614;0.0;0.0;1906.1246;298.81357;0.9916067;0.99277323;0.27667922;1708.5934;247.31497;0.99514055;0.8898924;0.22899534;1910.0372;458.6936;0.98367864;0.99481106;0.4247163;1596.7987;356.1829;0.9923935;0.831666;0.32979897;1829.5386;531.4296;0.98209745;0.9528847;0.49206448;1682.5093;463.79205;0.98731005;0.8763069;0.4294371;1782.6837;588.3182;0.9983083;0.9284811;0.54473907;1657.3048;550.5321;0.9987863;0.86317956;0.509752;1721.19;777.11926;0.9875907;0.8964531;0.7195549;1578.1782;717.6004;0.9906707;0.82196784;0.6644448;1643.864;901.6135;0.91679776;0.8561792;0.83482736;1488.9962;883.1522;0.93230087;0.77551883;0.8177335
0.94714624;1664.0;534.0;512.0;958.0;0.8666667;0.49444443;0.26666668;0.88703704;1767.9023;155.94534;0.8998487;0.92078245;0.14439383;1795.9844;144.14392;0.70890677;0.93540853;0.13346659;1769.3602;132.90642;0.62740433;0.9215418;0.1230615;1856.0352;165.94482;0.5623877;0.966685;0.15365261;0.0;0.0;0.35322776;0.0;0.0;1906.7456;299.1436;0.99215263;0.99309665;0.2769848;1709.7623;248.58115;0.9952904;0.8905012;0.23016773;1910.153;459.65176;0.98458225;0.9948713;0.42560348;1598.1543;358.05212;0.99241954;0.832372;0.33152974;1829.2615;532.33435;0.98284894;0.9527404;0.4929022;1682.6777;463.52444;0.98730856;0.8763946;0.4291893;1783.0549;588.752;0.9983741;0.92867446;0.54514074;1657.931;551.3238;0.9988091;0.8635057;0.510485;1720.8992;776.76807;0.9879888;0.8963016;0.7192297;1578.0355;718.28015;0.9907783;0.8218935;0.6650742;1643.6611;901.7397;0.9183582;0.8560735;0.8349441;1488.808;882.88245;0.9327717;0.77542084;0.8174837
0.9475988;1664.0;533.5;512.0;957.0;0.8666667;0.49398148;0.26666668;0.88611114;1769.2563;157.8566;0.9058975;0.9214877;0.14616352;1797.7188;146.05334;0.7198979;0.93631184;0.13523458;1770.1038;133.79855;0.64754605;0.92192906;0.12388755;1857.4497;165.92148;0.56016874;0.9674217;0.153631;0.0;0.0;0.3660351;0.0;0.0;1906.843;297.9301;0.9920981;0.99314743;0.2758612;1708.7201;245.73056;0.995381;0.8899584;0.2275283;1910.4119;459.90436;0.9841339;0.9950062;0.42583737;1598.3853;356.37;0.99250495;0.8324923;0.3299722;1830.2241;532.05133;0.9825356;0.9532417;0.4926401;1683.5288;462.67645;0.9874966;0.8768379;0.42840412;1783.5615;588.6305;0.9983076;0.92893827;0.5450282;1657.7787;550.6544;0.9987808;0.8634264;0.5098652;1722.0447;777.44775;0.9876801;0.89689827;0.719859;1579.0718;718.1344;0.990704;0.82243323;0.6649393;1642.7662;900.65936;0.916782;0.8556074;0.83394384;1488.3247;884.354;0.93197614;0.77516913;0.8188463
0.947918;1664.0;533.5;512.0;957.0;0.8666667;0.49398148;0.26666668;0.88611114;1768.7018;158.07793;0.9006671;0.92119884;0.14636844;1796.9656;146.27664;0.7092261;0.9359196;0.13544133;1769.8887;134.28154;0.63144386;0.921817;0.12433476;1857.2468;166.29272;0.5559575;0.96731603;0.15397474;0.0;0.0;0.35417932;0.0;0.0;1907.5764;298.66873;0.99188;0.9935294;0.2765451;1709.8905;246.31549;0.9952325;0.89056796;0.2280699;1910.6621;459.67474;0.9840497;0.9951365;0.42562476;1598.7278;354.8779;0.9924314;0.83267075;0.32859066;1830.6189;533.1781;0.98252964;0.95344734;0.49368343;1683.5815;463.04523;0.98742175;0.8768654;0.42874557;1784.0625;589.19934;0.99831295;0.9291992;0.54555494;1658.5857;551.0344;0.99878305;0.8638467;0.5102171;1721.845;777.64966;0.98764765;0.89679426;0.720046;1578.8816;718.21387;0.99066657;0.8223342;0.66501284;1642.9995;900.64795;0.9168603;0.8557289;0.8339333;1488.5293;883.6053;0.93206143;0.77527565;0.818153
0.9475593;1664.0;533.0;512.0;956.0;0.8666667;0.49351853;0.26666668;0.8851852;1768.2698;156.1594;0.889112;0.92097384;0.14459203;1796.246;144.67017;0.6870819;0.9355448;0.13395385;1770.1362;133.1157;0.5997072;0.9219459;0.12325528;1856.1497;166.22269;0.54807746;0.9667446;0.15390989;0.0;0.0;0.33546624;0.0;0.0;1907.9001;297.43976;0.9916231;0.993698;0.2754072;1710.3535;246.12415;0.9948501;0.8908091;0.22789273;1911.5552;458.53278;0.98419917;0.99560165;0.42456737;1598.9426;355.00488;0.99204034;0.8327826;0.32870823;1830.5613;532.88416;0.9825492;0.95341736;0.49341124;1683.5947;462.8521;0.98684406;0.87687224;0.42856678;1784.0801;587.9354;0.99832934;0.9292084;0.54438466;1658.5228;550.1168;0.9987649;0.863814;0.5093674;1722.6511;776.72925;0.9877251;0.8972141;0.71919376;1579.7471;717.43756;0.9905093;0.82278496;0.66429406;1642.2433;901.4392;0.9175821;0.85533506;0.83466595;1489.051;883.29517;0.9318725;0.7755474;0.8178659
0.9478261;1664.0;533.5;512.0;955.0;0.8666667;0.49398148;0.26666668;0.8842593;1769.9421;157.01591;0.88897705;0.92184484;0.1453851;1797.9724;145.58908;0.68359876;0.936444;0.13480471;1771.6013;133.75003;0.6009148;0.92270905;0.12384262;1857.166;166.78981;0.54326034;0.96727395;0.15443501;0.0;0.0;0.3397052;0.0;0.0;1908.2073;297.4875;0.99170905;0.993858;0.2754514;1710.4426;245.87064;0.995024;0.89085555;0.227658;1911.7803;458.0723;0.98438835;0.9957189;0.42414102;1599.4962;354.9193;0.99237895;0.83307093;0.328629;1831.0847;532.9545;0.9827763;0.95368993;0.49347642;1685.4705;463.86896;0.9873239;0.8778492;0.4295083;1784.6501;587.77026;0.99838877;0.9295053;0.5442317;1658.9022;549.7893;0.9988224;0.8640116;0.5090642;1722.3959;777.6477;0.9880392;0.8970812;0.7200442;1579.5718;717.6957;0.9908444;0.82269365;0.664533;1641.6987;901.678;0.9190017;0.8550514;0.834887;1488.6709;883.4154;0.93343514;0.77534944;0.81797725
0.9476576;1664.0;533.5;512.0;955.0;0.8666667;0.49398148;0.26666668;0.8842593;1771.3418;157.05061;0.8832801;0.92257386;0.14541723;1799.7924;145.75452;0.67039573;0.9373919;0.13495788;1772.9194;134.14206;0.5943001;0.9233955;0.12420561;1859.8757;167.97876;0.52828896;0.96868527;0.15553589;0.0;0.0;0.3374723;0.0;0.0;1909.545;299.41998;0.99074006;0.9945547;0.27724072;1711.5315;247.57008;0.994769;0.8914226;0.22923157;1911.6917;459.27658;0.9824839;0.99567276;0.4252561;1600.0325;355.6136;0.99212646;0.83335024;0.32927185;1831.2537;532.80664;0.98098916;0.95377797;0.49333948;1685.2693;463.89526;0.9868623;0.87774444;0.42953265;1783.9501;589.7924;0.99822503;0.9291407;0.5461041;1657.8999;551.78253;0.9987413;0.8634895;0.51090974;1722.4753;777.7577;0.9871717;0.89712256;0.720146;1579.8914;718.64575;0.9904757;0.82286006;0.6654127;1642.0974;901.0454;0.91608953;0.85525906;0.8343013;1488.8391;883.3583;0.93211675;0.77543706;0.8179243
0.9473736;1664.0;534.5;512.0;957.0;0.8666667;0.4949074;0.26666668;0.88611114;1771.7324;156.88023;0.8763529;0.9227773;0.14525947;1799.907;145.31291;0.6527346;0.93745154;0.13454899;1773.3073;134.3064;0.58334064;0.9235975;0.124357775;1860.696;167.14453;0.513387;0.9691125;0.15476346;0.0;0.0;0.33472475;0.0;0.0;1911.6317;298.62677;0.9899046;0.9956415;0.27650627;1713.0608;247.44534;0.9947733;0.8922192;0.22911605;1912.2615;458.26804;0.9808803;0.99596953;0.42432225;1600.7314;355.33292;0.992386;0.8337143;0.32901195;1832.4071;532.7158;0.9796098;0.9543787;0.49325538;1687.0068;465.30603;0.98713475;0.8786494;0.4308389;1785.1702;589.2169;0.99816835;0.92977613;0.5455712;1658.7302;551.2012;0.9987602;0.863922;0.51037145;1721.7197;777.6297;0.9869328;0.89672905;0.7200275;1578.8071;718.6517;0.9907161;0.82229537;0.6654182;1641.0242;903.104;0.9157292;0.8547001;0.8362074;1488.12;884.7363;0.9335783;0.7750625;0.8192003
0.94799256;1664.5;534.5;511.0;957.0;0.8669271;0.4949074;0.26614583;0.88611114;1772.221;157.35068;0.87260884;0.92303175;0.14569508;1800.5054;145.85202;0.64207214;0.9377632;0.13504817;1773.7988;134.34439;0.58205825;0.9238536;0.12439296;0.0;0.0;0.49850342;0.0;0.0;0.0;0.0;0.3365178;0.0;0.0;1912.2852;297.90967;0.9888382;0.9959819;0.27584228;1713.144;245.94781;0.99467963;0.8922625;0.22772945;1913.2146;458.9685;0.9786679;0.9964659;0.42497084;1600.8313;354.53394;0.992409;0.8337663;0.32827216;1832.5404;533.00183;0.977725;0.9544481;0.4935202;1685.1035;462.18814;0.9871043;0.87765807;0.427952;1785.9451;589.3966;0.99799204;0.9301797;0.5457376;1659.1057;551.05664;0.99869907;0.86411756;0.51023763;1722.6404;778.3961;0.985857;0.8972085;0.72073716;1578.7971;718.83905;0.9903762;0.8222902;0.6655917;1641.5394;901.639;0.9109767;0.8549684;0.8348509;1488.3286;885.53784;0.9314682;0.77517116;0.8199425
0.9468429;1664.5;534.0;511.0;958.0;0.8669271;0.49444443;0.26614583;0.88703704;1773.2622;158.21375;0.8842813;0.9235741;0.14649421;1802.0654;147.02289;0.6707945;0.93857574;0.1361323;1774.3362;135.71947;0.60671926;0.9241334;0.12566617;1863.231;169.43665;0.5192162;0.9704328;0.15688579;0.0;0.0;0.3464424;0.0;0.0;1911.977;298.66904;0.989604;0.99582136;0.2765454;1713.3578;247.56802;0.9947202;0.89237386;0.22922966;1911.5178;458.22253;0.97972876;0.9955822;0.42428014;1603.6338;354.8129;0.99210453;0.83522594;0.32853046;1830.8354;533.47656;0.9784656;0.9535601;0.49395978;1685.6086;462.87698;0.9866295;0.87792116;0.4285898;1786.0887;588.6047;0.99802303;0.9302546;0.5450043;1659.0012;550.8594;0.99867487;0.86406314;0.510055;1722.9935;776.69476;0.98634803;0.89739245;0.7191618;1578.8557;719.426;0.99039286;0.8223207;0.6661352;1642.3665;901.4541;0.9138189;0.8553992;0.8346797;1488.592;885.8965;0.93223494;0.7753084;0.82027453
0.94668865;1664.5;534.0;511.0;958.0;0.8669271;0.49444443;0.26614583;0.88703704;1775.29;159.39404;0.8939477;0.9246302;0.14758708;1804.552;148.59627;0.6874005;0.93987083;0.13758914;1776.1116;136.2561;0.636594;0.9250581;0.12616307;1864.708;171.0261;0.5216134;0.9712021;0.15835749;0.0;0.0;0.36996752;0.0;0.0;1911.467;299.13882;0.9896798;0.99555576;0.2769804;1713.1716;246.6671;0.9950664;0.8922769;0.22839546;1912.2231;458.678;0.97893804;0.99594957;0.42470187;1604.7358;355.71286;0.99243987;0.83579993;0.32936376;1832.2441;532.83496;0.97773314;0.95429385;0.4933657;1687.2319;463.98734;0.987046;0.87876666;0.4296179;1786.8877;588.9269;0.997934;0.9306707;0.5453027;1659.9417;550.5742;0.9986584;0.8645529;0.50979096;1722.9606;778.40894;0.9856653;0.8973753;0.720749;1579.9384;718.7657;0.99021333;0.82288456;0.66552377;1642.1941;900.46545;0.9097416;0.8553094;0.8337643;1488.6445;885.43225;0.9301875;0.77533567;0.81984466
0.94704145;1664.5;534.5;511.0;959.0;0.8669271;0.4949074;0.26614583;0.88796294;1774.8922;158.75816;0.89039564;0.92442304;0.1469983;1804.1437;148.12253;0.68469274;0.93965816;0.1371505;1776.1652;135.50592;0.6210088;0.925086;0.12546845;1864.4463;170.74182;0.5264709;0.97106576;0.15809427;0.0;0.0;0.35406348;0.0;0.0;1911.2554;298.83237;0.98994607;0.9954455;0.27669662;1713.1897;246.02788;0.9947636;0.8922863;0.22780359;1911.8853;457.92233;0.98013544;0.99577355;0.42400217;1604.1948;354.03992;0.99197054;0.8355181;0.32781473;1832.8889;533.56323;0.9787435;0.95462966;0.49404004;1685.3982;463.13004;0.98645616;0.87781155;0.4288241;1786.4177;588.4077;0.9980136;0.9304259;0.544822;1659.6685;550.0325;0.9986513;0.86441064;0.5092893;1722.401;778.2028;0.98634595;0.8970839;0.72055817;1579.1897;718.8618;0.9902711;0.8224946;0.6656128;1641.8972;901.60095;0.9131563;0.8551548;0.8348157;1488.7256;887.36;0.9311894;0.7753779;0.82162964
0.9473311;1664.5;534.0;511.0;958.0;0.8669271;0.49444443;0.26614583;0.88703704;1775.3142;158.14572;0.88835835;0.9246428;0.14643122;1804.5437;147.50221;0.67849135;0.9398665;0.13657612;1776.661;135.072;0.6208524;0.9253443;0.12506667;1864.939;170.65027;0.5190761;0.97132236;0.15800951;0.0;0.0;0.3575628;0.0;0.0;1912.0117;299.62595;0.9893923;0.9958394;0.27743143;1713.8018;246.28386;0.99475175;0.89260507;0.2280406;1912.5154;458.989;0.97875184;0.99610174;0.42498982;1604.1848;354.18903;0.9920155;0.83551294;0.3279528;1834.2878;532.71924;0.9774876;0.95535827;0.49325857;1687.1832;463.76907;0.98643607;0.87874126;0.42941582;1786.9873;588.2383;0.99790204;0.93072253;0.5446651;1660.2228;549.5847;0.9986143;0.86469936;0.5088747;1722.2329;777.9115;0.9856797;0.8969963;0.7202884;1579.7649;717.8758;0.99006397;0.8227942;0.6646998;1641.6382;901.6679;0.9102589;0.85501987;0.83487767;1489.1995;886.2596;0.9299907;0.7756247;0.8206107
0.94743836;1664.5;534.0;511.0;956.0;0.8669271;0.49444443;0.26614583;0.8851852;1775.9812;158.18779;0.8864356;0.92499024;0.14647017;1805.0671;147.5007;0.67286646;0.9401391;0.13657473;1777.2441;135.21744;0.6183555;0.925648;0.12520133;1864.9541;170.41013;0.51356995;0.9713303;0.15778716;0.0;0.0;0.35843018;0.0;0.0;1912.255;298.36044;0.98918766;0.99596614;0.27625966;1713.6896;246.23492;0.99479717;0.89254665;0.2279953;1912.7256;457.9931;0.978371;0.99621123;0.42406768;1603.6183;355.38885;0.99214584;0.83521783;0.32906374;1833.3849;534.2301;0.9771683;0.954888;0.49465752;1686.9312;462.85812;0.9866073;0.87860996;0.42857233;1787.6641;586.755;0.99791104;0.93107504;0.5432917;1660.6287;548.6101;0.9986369;0.8649108;0.5079723;1722.6354;776.61926;0.98582864;0.89720595;0.7190919;1579.7183;716.9518;0.99027294;0.82276994;0.6638442;1641.9956;901.7959;0.9113971;0.8552061;0.8349962;1488.6968;886.5952;0.93134296;0.7753629;0.8209215
0.9472499;1665.0;533.5;510.0;955.0;0.8671875;0.49398148;0.265625;0.8842593;1776.4319;158.52759;0.88872087;0.92522496;0.1467848;1805.6737;148.22452;0.6798871;0.9404551;0.13724492;1777.8794;135.58539;0.6212482;0.92597884;0.12554203;1865.2085;171.88678;0.52096933;0.9714628;0.15915443;0.0;0.0;0.35868555;0.0;0.0;1911.9973;298.63007;0.98963225;0.9958319;0.2765093;1713.152;246.27708;0.9947803;0.89226663;0.22803433;1912.5677;457.5912;0.9793706;0.99612904;0.42369553;1603.515;354.79276;0.99202543;0.83516407;0.3285118;1833.6031;534.69415;0.978006;0.95500165;0.49508718;1686.8674;463.1869;0.98647183;0.8785768;0.42887676;1788.3651;585.9762;0.99796873;0.9314402;0.54257053;1660.9243;547.9876;0.998643;0.86506474;0.5073959;1723.7905;776.04;0.9861422;0.89780754;0.7185555;1580.0715;716.93445;0.99026895;0.82295394;0.6638282;1642.4506;900.6634;0.91267705;0.855443;0.8339476;1489.185;886.69226;0.93140095;0.77561724;0.82101136
0.9485028;973.0;466.0;504.0;718.0;0.50677085;0.43148148;0.2625;0.66481483;1106.0608;276.99792;0.98905003;0.57607335;0.25647956;1128.9429;251.66641;0.94941777;0.58799106;0.23302446;1084.1647;246.7063;0.9790744;0.5646691;0.22843176;1152.654;233.6702;0.541247;0.60034066;0.2163613;1034.5691;217.75269;0.8729561;0.5388381;0.20162286;1149.8907;338.08582;0.9857383;0.59890145;0.31304243;924.99475;277.04376;0.99569976;0.4817681;0.256522;1159.4587;521.39844;0.9370219;0.60388476;0.48277634;759.7718;390.051;0.98516536;0.39571446;0.36115834;1183.7993;689.8368;0.9095182;0.6165621;0.6387378;801.1943;568.64703;0.97372776;0.4172887;0.526525;1025.3591;541.96484;0.98940176;0.5340412;0.5018193;874.10065;519.2274;0.9940454;0.45526075;0.48076612;1060.9397;742.01025;0.943658;0.5525728;0.6870465;826.5437;749.6437;0.96709466;0.4304915;0.6941145;1046.5427;899.1035;0.69822085;0.54507434;0.83250326;783.98364;899.7816;0.753953;0.4083248;0.83313113
0.94855225;975.5;465.0;511.0;720.0;0.5080729;0.43055555;0.26614583;0.6666667;1108.2439;273.5169;0.9883217;0.57721037;0.25325638;1130.7054;247.93309;0.94421464;0.5889091;0.22956768;1086.1829;243.5455;0.9782184;0.56572026;0.2255051;1152.4031;230.47037;0.51443976;0.60020995;0.21339849;1034.8414;215.28464;0.87325156;0.5389799;0.19933763;1148.5159;337.4026;0.98453104;0.59818536;0.31240982;925.3225;275.72137;0.9956713;0.4819388;0.25529757;1162.9508;521.4586;0.9328413;0.60570353;0.48283204;760.2646;386.2099;0.9857297;0.39597115;0.35760176;1190.0364;689.6105;0.9050065;0.61981064;0.6385282;795.7633;565.45184;0.9746361;0.41446006;0.52356654;1026.2081;545.0217;0.9886592;0.5344834;0.50464976;875.8209;522.2791;0.99388134;0.45615673;0.48359177;1062.2158;739.651;0.93788725;0.5532374;0.684862;825.64575;749.45526;0.96494395;0.43002382;0.69394004;1050.2158;891.31335;0.6807302;0.5469874;0.82529014;780.8117;891.8048;0.74226165;0.40667278;0.82574517
0.94887745;979.0;464.5;518.0;721.0;0.50989586;0.4300926;0.26979166;0.6675926;1106.6802;271.21942;0.9887532;0.5763959;0.2511291;1129.6007;246.07925;0.9486176;0.5883337;0.22785117;1085.0961;240.89142;0.9786637;0.5651542;0.22304761;1151.5569;229.46243;0.5318465;0.59976923;0.21246521;1034.2557;212.4895;0.86885923;0.5386749;0.19674954;1147.9362;335.86655;0.98454446;0.5978834;0.31098753;924.9289;273.46045;0.99513763;0.4817338;0.2532041;1166.2773;517.94995;0.9318851;0.6074361;0.4795833;761.763;381.74146;0.9831324;0.39675155;0.3534643;1197.3074;685.22095;0.9021619;0.62359756;0.63446385;788.3346;558.1946;0.9706132;0.41059095;0.51684684;1025.436;541.46545;0.9884847;0.5340813;0.5013569;875.61;518.4095;0.9934274;0.45604688;0.48000878;1061.04;737.12476;0.9443457;0.552625;0.6825229;825.5464;746.0697;0.9670911;0.42997208;0.69080526;1050.0881;902.43494;0.70825565;0.5469209;0.8355879;783.05347;905.1568;0.76060116;0.40784034;0.8381081
