box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9305517;1382.5;410.0;695.0;618.0;0.72005206;0.37962964;0.36197916;0.57222223;1322.1647;233.9826;0.9536213;0.6886274;0.21665056;1348.2715;225.16823;0.96372473;0.70222473;0.2084891;1339.2648;202.94096;0.59576386;0.6975337;0.1879083;1441.0176;261.4735;0.9601573;0.75053;0.2421051;0.0;0.0;0.23782864;0.0;0.0;1482.5366;393.57047;0.9912781;0.7721545;0.3644171;1506.3989;282.31323;0.9626916;0.7845828;0.26140115;1352.7676;574.338;0.972445;0.7045664;0.5317944;1451.4718;403.8532;0.7988085;0.7559749;0.37393814;1143.5784;563.4138;0.94273925;0.5956137;0.52167946;1318.594;466.01398;0.7942021;0.6867677;0.4314944;1632.8723;608.5917;0.9397698;0.85045433;0.56351084;1632.5991;549.183;0.9055443;0.85031205;0.5085028;1504.8904;817.62756;0.6973221;0.7837971;0.75706255;1467.6353;714.9541;0.5826367;0.7643934;0.6619945;0.0;0.0;0.2182739;0.0;0.0;0.0;0.0;0.19799712;0.0;0.0
0.9308031;1382.5;409.5;695.0;619.0;0.72005206;0.37916666;0.36197916;0.57314813;1324.0442;232.06885;0.95063967;0.68960637;0.21487856;1350.1437;223.56308;0.96111834;0.7031998;0.20700285;1340.9236;201.77898;0.58173925;0.6983977;0.18683238;1442.8751;260.76288;0.9585087;0.75149745;0.2414471;0.0;0.0;0.22875546;0.0;0.0;1489.8818;392.34686;0.9914432;0.7759801;0.36328414;1500.4645;282.3449;0.96178;0.78149194;0.26143047;1358.8953;572.0674;0.97446287;0.70775795;0.529692;1450.5521;399.80066;0.80226356;0.7554959;0.3701858;1143.6724;565.8822;0.9454439;0.5956627;0.523965;1321.4015;465.38867;0.7940529;0.6882299;0.43091545;1628.6228;620.6589;0.94183767;0.84824103;0.57468414;1617.56;561.2932;0.90607685;0.84247917;0.51971596;1509.1938;826.296;0.6691407;0.78603846;0.7650889;1456.0802;724.3166;0.54421467;0.7583751;0.67066354;0.0;0.0;0.19564477;0.0;0.0;0.0;0.0;0.17400548;0.0;0.0
0.93323356;1382.0;410.0;696.0;622.0;0.71979165;0.37962964;0.3625;0.57592595;1325.1581;230.14426;0.95923644;0.6901865;0.21309653;1352.6418;221.83191;0.96697724;0.704501;0.20539992;1341.7865;199.50668;0.63644344;0.6988471;0.18472841;1447.1224;259.02997;0.9601042;0.7537096;0.23984256;0.0;0.0;0.25557014;0.0;0.0;1487.0498;389.21338;0.9916735;0.7745051;0.36038277;1502.9163;279.47455;0.96511024;0.7827689;0.25877273;1357.1532;570.7527;0.97324187;0.70685065;0.5284747;1449.6191;400.25592;0.80996495;0.75500995;0.37060735;1146.3433;564.4663;0.94403666;0.59705377;0.522654;1316.4194;464.80234;0.8021077;0.68563515;0.43037254;1625.7014;618.9481;0.93747586;0.8467195;0.5731001;1619.1521;560.38696;0.90266573;0.8433084;0.5188768;1510.4064;824.7898;0.65735555;0.78666997;0.7636942;1467.5348;724.6559;0.54134125;0.76434106;0.67097765;0.0;0.0;0.189738;0.0;0.0;0.0;0.0;0.17165457;0.0;0.0
0.9329602;1383.0;410.5;694.0;627.0;0.7203125;0.3800926;0.36145833;0.58055556;1325.4235;230.25096;0.95160097;0.6903247;0.21319534;1351.8865;221.30865;0.96080995;0.7041075;0.20491542;1343.7524;198.5609;0.5863673;0.69987106;0.18385269;1446.2438;258.64044;0.9602134;0.75325197;0.2394819;0.0;0.0;0.25134715;0.0;0.0;1482.4546;401.5813;0.99138135;0.7721118;0.37183455;1516.8232;284.3739;0.9666257;0.7900121;0.26330918;1347.812;574.58875;0.9700557;0.7019854;0.5320266;1448.3203;395.1481;0.8103112;0.7543335;0.36587787;1143.9958;562.61914;0.93746316;0.59583116;0.52094364;1310.5756;465.23218;0.79715616;0.68259144;0.43077055;1620.479;629.7166;0.93084794;0.8439995;0.58307093;1631.4458;566.54474;0.897409;0.84971136;0.52457845;1485.2883;829.9114;0.625312;0.77358764;0.76843643;1470.3679;724.0885;0.51642466;0.7658166;0.6704523;0.0;0.0;0.1686077;0.0;0.0;0.0;0.0;0.15610039;0.0;0.0
0.93564045;1381.0;409.0;698.0;628.0;0.7192708;0.3787037;0.36354166;0.58148146;1327.3315;226.01111;0.95328414;0.6913185;0.20926954;1355.2101;217.97511;0.96090615;0.70583856;0.20182881;1345.779;193.5662;0.5955003;0.7009266;0.17922796;1449.2012;256.52716;0.95908463;0.7547923;0.23752515;0.0;0.0;0.25678802;0.0;0.0;1480.6855;401.79108;0.99142987;0.7711904;0.37202877;1517.9819;279.67822;0.9684871;0.7906156;0.25896132;1343.0549;573.28467;0.97092664;0.6995078;0.5308191;1449.147;390.08783;0.8248237;0.754764;0.36119244;1143.7445;560.9965;0.94095486;0.59570026;0.51944125;1308.5143;464.9447;0.8145961;0.68151784;0.43050435;1620.4347;628.7718;0.9302584;0.8439764;0.5821961;1632.2739;562.5968;0.89850146;0.85014266;0.52092296;1496.1709;827.73615;0.60094726;0.7792557;0.76642233;0.0;0.0;0.49590072;0.0;0.0;0.0;0.0;0.15698761;0.0;0.0;0.0;0.0;0.14802195;0.0;0.0
0.9347639;1379.5;410.5;701.0;633.0;0.7184896;0.3800926;0.36510417;0.5861111;1328.903;225.24046;0.95175385;0.69213694;0.20855598;1356.1533;216.47882;0.9597272;0.7063299;0.20044336;1346.7117;193.25958;0.58742505;0.7014123;0.17894405;1448.0576;254.51797;0.9594168;0.7541967;0.23566478;0.0;0.0;0.25971237;0.0;0.0;1475.0333;399.16278;0.99132115;0.76824653;0.36959517;1523.5764;282.5855;0.9676917;0.7935294;0.26165324;1340.6467;569.69586;0.9701517;0.6982535;0.52749616;1451.7377;395.8223;0.817548;0.75611335;0.36650214;1143.2222;561.56384;0.939012;0.5954282;0.51996654;1309.3334;463.40198;0.8071593;0.6819445;0.4290759;1616.4746;631.7779;0.9265023;0.8419139;0.58497953;1636.867;568.2008;0.892245;0.8525349;0.52611184;1482.0994;830.35675;0.59117013;0.77192676;0.76884884;0.0;0.0;0.48217297;0.0;0.0;0.0;0.0;0.1497459;0.0;0.0;0.0;0.0;0.13932647;0.0;0.0
0.9304844;1377.0;409.5;706.0;635.0;0.7171875;0.37916666;0.36770833;0.587963;1331.0305;224.1315;0.95555794;0.69324505;0.20752917;1358.4889;215.45633;0.96331793;0.7075463;0.1994966;1347.708;192.3165;0.60913306;0.70193124;0.17807083;1449.9543;252.90184;0.9609636;0.75518453;0.23416837;0.0;0.0;0.26351726;0.0;0.0;1480.7712;393.96817;0.9920421;0.77123505;0.36478534;1514.6984;277.86795;0.9686044;0.7889054;0.25728515;1341.6423;569.95355;0.972529;0.6987721;0.52773476;1444.195;393.55893;0.81629187;0.75218487;0.3644064;1140.485;557.29236;0.9414679;0.5940026;0.5160114;1304.4124;461.46826;0.8022174;0.67938143;0.42728543;1621.5667;624.2564;0.9384575;0.844566;0.5780152;1631.1316;561.33307;0.90661085;0.8495477;0.51975286;1487.4504;825.05054;0.6685179;0.77471375;0.7639357;1468.5371;714.6871;0.5562483;0.7648631;0.6617473;0.0;0.0;0.19497111;0.0;0.0;0.0;0.0;0.1787616;0.0;0.0
0.9350036;1376.5;408.5;709.0;635.0;0.7169271;0.37824073;0.36927083;0.587963;1335.0538;223.77414;0.95371467;0.6953405;0.20719828;1361.3794;213.50574;0.96098644;0.7090518;0.1976905;1351.3972;192.61913;0.60171616;0.7038527;0.17835104;1453.3743;248.83725;0.9596275;0.75696576;0.23040485;0.0;0.0;0.26606545;0.0;0.0;1483.0659;390.39948;0.9912635;0.7724302;0.36148098;1524.3726;280.4711;0.96765655;0.79394406;0.25969547;1339.9814;563.60156;0.9695003;0.69790703;0.5218533;1443.0588;395.71588;0.81397307;0.7515932;0.36640358;1139.3217;553.7414;0.9362925;0.5933967;0.5127235;1300.5361;461.8755;0.7985616;0.67736256;0.4276625;1617.2363;641.1677;0.9223889;0.8423106;0.5936738;1631.8948;580.32104;0.88634723;0.8499452;0.5373343;1477.4482;843.058;0.5619975;0.7695043;0.78060925;0.0;0.0;0.45053044;0.0;0.0;0.0;0.0;0.12887771;0.0;0.0;0.0;0.0;0.11845543;0.0;0.0
0.93391174;1374.5;410.0;713.0;642.0;0.7158854;0.37962964;0.37135416;0.59444445;1335.7642;219.17505;0.9613061;0.6957105;0.20293985;1363.7124;210.06006;0.968111;0.7102669;0.19450006;1350.7363;188.61855;0.6547238;0.7035085;0.1746468;1456.6862;246.87117;0.96099335;0.7586907;0.22858442;0.0;0.0;0.277259;0.0;0.0;1489.1082;379.09854;0.9914226;0.7755772;0.35101718;1508.2466;271.83365;0.966077;0.7855451;0.2516978;1345.5421;558.8478;0.97047687;0.70080316;0.51745164;1438.172;392.56284;0.8029837;0.74904794;0.3634841;1136.9138;549.9975;0.9375407;0.59214264;0.50925696;1300.1409;458.22885;0.78975147;0.6771567;0.42428598;1625.9917;620.0689;0.93197924;0.84687066;0.57413787;1622.9492;562.6379;0.8968812;0.8452861;0.520961;1495.9391;834.70667;0.6442177;0.7791349;0.77287656;1468.6946;738.28143;0.5295244;0.7649451;0.6835939;0.0;0.0;0.17248426;0.0;0.0;0.0;0.0;0.15613116;0.0;0.0
0.9364397;1373.5;408.5;715.0;641.0;0.7153646;0.37824073;0.37239584;0.5935185;1338.1055;217.94215;0.9570657;0.69692993;0.20179829;1365.2406;208.06024;0.96268255;0.7110628;0.19264837;1354.159;187.25505;0.62036216;0.70529115;0.17338431;1458.0378;245.30928;0.9607848;0.7593947;0.22713822;0.0;0.0;0.2860027;0.0;0.0;1482.6451;389.62408;0.9917679;0.772211;0.36076304;1530.8374;276.39743;0.9712498;0.7973111;0.25592354;1336.8217;558.3909;0.9701418;0.6962613;0.5170286;1448.7538;382.3256;0.8308106;0.7545593;0.3540052;1134.1741;544.83923;0.9382673;0.59071565;0.5044808;1299.0818;451.5543;0.8148028;0.6766051;0.4181058;1614.6743;635.1807;0.92210805;0.8409762;0.5881303;1634.3829;573.0809;0.8901053;0.8512411;0.5306304;1472.9093;839.50073;0.54016656;0.76714027;0.7773155;0.0;0.0;0.43870407;0.0;0.0;0.0;0.0;0.11800302;0.0;0.0;0.0;0.0;0.1105046;0.0;0.0
