box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.94327587;992.5;359.5;457.0;669.0;0.51692706;0.33287036;0.23802084;0.61944443;1066.4302;179.42358;0.9676617;0.5554324;0.16613294;1080.9049;156.0322;0.7870769;0.5629713;0.14447425;1048.4874;156.64581;0.96318763;0.5460872;0.14504242;0.0;0.0;0.2744405;0.0;0.0;989.64233;131.03625;0.92356676;0.51543874;0.12132987;1032.43;189.50839;0.9808168;0.53772396;0.17547074;908.8214;217.86484;0.9951296;0.47334448;0.2017267;1082.7268;294.79666;0.90779275;0.5639202;0.27295986;937.85364;418.99677;0.98462373;0.48846543;0.38795996;1174.4763;238.7503;0.86547875;0.61170644;0.2210651;1066.2787;500.24622;0.960659;0.55535346;0.46319094;916.8362;424.44922;0.9862461;0.47751886;0.39300853;830.9408;444.84824;0.9920798;0.43278167;0.41189653;980.30145;582.6711;0.9609251;0.5105737;0.53951025;885.82166;645.5008;0.9776432;0.46136543;0.59768593;918.2093;750.15765;0.82081926;0.478234;0.69459045;847.69885;811.79333;0.8471442;0.4415098;0.75166047
0.94258386;992.0;360.5;456.0;671.0;0.51666665;0.3337963;0.2375;0.6212963;1066.766;180.36145;0.96580774;0.55560726;0.16700134;1080.8885;157.02939;0.7709724;0.5629628;0.14539759;1049.3638;157.713;0.9617809;0.54654366;0.14603056;0.0;0.0;0.25894812;0.0;0.0;990.8368;131.05792;0.9242313;0.5160608;0.12134993;1032.4341;189.7007;0.98038715;0.5377261;0.1756488;908.28015;216.32654;0.99550974;0.47306257;0.20030235;1080.7887;293.55627;0.9065546;0.5629108;0.27181137;934.4883;413.9761;0.9865399;0.48671263;0.3833112;1172.4863;236.65292;0.86532426;0.61067;0.21912308;1065.6022;493.66214;0.965005;0.55500114;0.45709458;918.6487;425.85352;0.9876424;0.47846285;0.3943088;832.76196;445.55145;0.9932989;0.43373019;0.41254765;979.81946;583.37384;0.96510184;0.51032263;0.54016095;883.99097;645.6311;0.98111206;0.46041197;0.5978066;917.0585;756.0421;0.8376285;0.4776346;0.70003897;846.0478;817.46106;0.8658482;0.4406499;0.7569084
0.943751;991.5;360.0;457.0;670.0;0.51640624;0.33333334;0.23802084;0.6203704;1067.1293;179.86446;0.96859956;0.5557965;0.16654116;1081.4089;156.80643;0.78652346;0.5632338;0.14519113;1049.9417;156.88399;0.9644992;0.5468446;0.14526296;0.0;0.0;0.27066624;0.0;0.0;991.87427;130.55753;0.9268701;0.5166012;0.1208866;1031.8959;191.02142;0.98159385;0.5374458;0.17687169;908.41864;216.37212;0.9956527;0.4731347;0.20034455;1081.0029;294.22107;0.9104654;0.5630224;0.2724269;932.74677;412.33878;0.98660827;0.4858056;0.38179517;1172.4252;233.31097;0.87058157;0.6106381;0.21602868;1064.7571;487.5249;0.9656462;0.55456096;0.45141193;916.74316;425.04996;0.98756814;0.4774704;0.39356476;831.4282;444.44092;0.9931525;0.43303552;0.41151938;979.21375;582.47003;0.96410966;0.51000714;0.5393241;885.32947;645.1164;0.98031807;0.4611091;0.59733;917.09595;750.8901;0.8314194;0.47765413;0.6952686;846.27014;814.4791;0.8593493;0.4407657;0.75414735
0.94542027;990.5;360.0;455.0;670.0;0.5158854;0.33333334;0.23697917;0.6203704;1069.3127;180.81012;0.9670838;0.5569337;0.16741678;1082.8634;157.50378;0.77419406;0.56399137;0.14583683;1051.9736;158.275;0.96385306;0.54790294;0.14655092;0.0;0.0;0.25563413;0.0;0.0;992.5717;132.42366;0.9279867;0.51696444;0.1226145;1032.5817;190.32;0.9802918;0.53780293;0.17622223;907.52966;216.09576;0.995577;0.4726717;0.20008866;1081.846;294.73224;0.9053114;0.5634614;0.27290022;931.338;412.27158;0.9868094;0.48507187;0.38173294;1172.0966;228.89874;0.86520106;0.61046696;0.21194328;1067.656;484.05707;0.96621454;0.55607086;0.448201;918.6136;425.0653;0.98671097;0.47844458;0.39357898;831.9302;444.71713;0.99287695;0.43329698;0.4117751;980.2346;584.00366;0.96054274;0.5105389;0.5407441;885.0923;647.97644;0.97882414;0.46098557;0.5999782;916.4526;751.2233;0.8167911;0.47731906;0.69557714;845.13684;812.89026;0.84836715;0.44017544;0.7526762
0.9457736;990.0;359.5;454.0;669.0;0.515625;0.33287036;0.23645833;0.61944443;1071.1663;179.54901;0.96444696;0.5578991;0.16624908;1083.8282;156.29288;0.75279444;0.5644939;0.14471562;1054.1062;157.34619;0.96184963;0.5490137;0.14569092;0.0;0.0;0.24098752;0.0;0.0;994.6683;132.94656;0.92954075;0.5180564;0.12309867;1032.7723;191.01514;0.9798436;0.53790224;0.17686586;907.77747;216.60114;0.9958967;0.47280076;0.2005566;1082.7837;295.6241;0.9032852;0.5639498;0.27372605;929.8911;412.23822;0.9882004;0.4843183;0.38170207;1172.5919;227.98126;0.8628485;0.610725;0.21109377;1069.1696;480.40475;0.96895814;0.55685914;0.4448192;918.5151;426.2914;0.9872886;0.47839326;0.39471427;831.9703;445.66745;0.9935087;0.43331784;0.41265506;980.0061;585.25397;0.9605145;0.51041985;0.5419018;885.3992;647.774;0.97973526;0.4611454;0.59979075;915.61926;751.2975;0.81543237;0.47688502;0.6956458;846.24133;810.31714;0.85109574;0.4407507;0.7502937
0.9449113;990.5;360.0;455.0;670.0;0.5158854;0.33333334;0.23697917;0.6203704;1073.0184;180.01135;0.96121854;0.55886376;0.16667718;1085.0424;156.86526;0.72927994;0.56512624;0.14524561;1056.2949;158.23586;0.959306;0.5501536;0.14651468;0.0;0.0;0.22444047;0.0;0.0;996.7611;134.45879;0.9294229;0.5191464;0.124498874;1033.8809;191.68932;0.97886443;0.5384796;0.1774901;907.6035;217.1153;0.99605656;0.47271016;0.20103268;1085.1384;294.79825;0.9002846;0.56517625;0.27296135;927.8291;410.07816;0.9892061;0.48324433;0.379702;1172.7053;225.11137;0.86029106;0.610784;0.20843646;1068.7838;476.24918;0.97121745;0.5566582;0.44097146;919.25354;426.21594;0.98798394;0.4787779;0.39464438;832.05817;445.5968;0.99414515;0.43336362;0.41258964;980.24756;584.6074;0.96253866;0.5105456;0.54130316;884.3771;648.1881;0.9816108;0.46061307;0.6001742;915.4085;753.0621;0.8239513;0.47677526;0.6972797;846.3708;812.72095;0.8613933;0.44081813;0.75251937
0.94392335;989.5;360.0;455.0;670.0;0.5153646;0.33333334;0.23697917;0.6203704;1072.0626;179.81923;0.9632846;0.55836594;0.16649929;1085.0891;156.72926;0.7433158;0.56515056;0.14511968;1054.9817;157.37013;0.96056306;0.54946965;0.14571309;0.0;0.0;0.23607384;0.0;0.0;996.0115;133.08304;0.92909664;0.518756;0.12322503;1034.4868;191.94077;0.9801139;0.53879523;0.17772293;906.89575;218.1465;0.99617684;0.47234154;0.2019875;1083.7205;295.01654;0.9053012;0.56443775;0.27316347;925.8967;413.38852;0.9892554;0.48223788;0.38276714;1171.4689;223.806;0.8663227;0.61014;0.20722778;1066.5808;470.39502;0.9716365;0.5555108;0.43555096;918.3164;427.48505;0.98839265;0.47828978;0.3958195;830.5126;447.2155;0.9942325;0.43255863;0.41408843;980.37134;585.2255;0.96333194;0.51061004;0.5418755;884.3788;649.0763;0.9817182;0.46061394;0.60099655;915.0503;748.7355;0.8256746;0.4765887;0.6932736;846.0207;811.8232;0.8616382;0.44063577;0.7516881
0.9439477;989.0;360.5;454.0;669.0;0.5151042;0.3337963;0.23645833;0.61944443;1073.7206;178.46317;0.96515447;0.5592295;0.16524367;1086.6624;155.52469;0.75913006;0.56597;0.14400434;1056.0062;156.27873;0.9625234;0.55000323;0.14470252;0.0;0.0;0.24692148;0.0;0.0;997.1999;134.00139;0.9295921;0.51937497;0.12407536;1037.2709;192.54387;0.97993463;0.54024523;0.17828137;908.40466;217.69556;0.99599165;0.47312742;0.20156996;1084.0638;295.06335;0.9028144;0.56461656;0.2732068;922.4961;410.77954;0.9884161;0.48046672;0.38035142;1171.1216;221.33885;0.8630414;0.6099592;0.20494339;1065.5651;464.83438;0.9699393;0.5549818;0.43040222;918.4967;427.099;0.9875723;0.4783837;0.39546204;829.6324;445.94995;0.9937111;0.4321002;0.41291663;979.5314;586.8103;0.9613267;0.5101726;0.5433429;884.5316;649.256;0.9803806;0.46069354;0.60116297;914.4806;753.60095;0.81708544;0.47629198;0.69777864;843.90063;813.4436;0.8534501;0.4395316;0.75318855
0.9445466;988.5;360.5;455.0;669.0;0.51484376;0.3337963;0.23697917;0.61944443;1076.9268;178.98743;0.96246797;0.5608994;0.1657291;1088.8181;155.65814;0.73237646;0.5670928;0.1441279;1059.0504;157.15994;0.9610981;0.5515888;0.14551847;0.0;0.0;0.22136457;0.0;0.0;998.2784;135.4627;0.9317595;0.5199367;0.12542844;1036.2329;192.02971;0.9786205;0.5397046;0.17780529;906.7023;218.194;0.99622065;0.47224078;0.20203148;1084.6936;295.61176;0.89861345;0.56494457;0.2737146;918.17413;410.806;0.98971087;0.4782157;0.38037592;1170.6023;219.76611;0.860664;0.6096887;0.20348714;1064.9006;458.4901;0.9731829;0.55463576;0.42452788;917.08374;425.16187;0.98773485;0.47764778;0.39366838;827.9695;444.86597;0.9941497;0.4312341;0.41191292;978.9915;585.0489;0.9604199;0.5098914;0.5417119;884.6708;650.29956;0.98097205;0.46076602;0.6021292;915.0475;749.30585;0.8125949;0.47658724;0.6938017;843.4586;808.92444;0.85356516;0.43930137;0.7490041
0.9445116;988.5;361.0;455.0;668.0;0.51484376;0.33425927;0.23697917;0.61851853;1077.7422;179.10081;0.96404594;0.56132406;0.16583408;1089.913;155.74954;0.74411684;0.567663;0.14421254;1059.9347;156.9067;0.9626764;0.55204934;0.14528397;0.0;0.0;0.22678891;0.0;0.0;999.2678;134.84047;0.93197817;0.52045196;0.124852285;1037.1493;193.10422;0.9783181;0.54018193;0.1788002;906.552;218.06592;0.99610955;0.47216251;0.20191288;1085.5735;297.388;0.89614946;0.56540287;0.27535927;913.64667;410.32812;0.9891734;0.47585765;0.37993345;1171.9907;219.96707;0.8585127;0.6104118;0.20367321;1061.1602;451.28156;0.97242963;0.5526876;0.4178533;917.1538;423.60168;0.9868758;0.4776843;0.39222378;827.7822;442.8077;0.9936807;0.43113658;0.41000715;978.217;585.3526;0.9578349;0.509488;0.54199314;885.48035;649.1416;0.9795405;0.4611877;0.60105705;916.92236;748.18494;0.801705;0.47756374;0.6927638;844.59393;806.61;0.8441347;0.43989268;0.7468611
