box_conf;box_x;box_y;box_w;box_h;box_x_n;box_y_n;box_w_n;box_h_n;1_x;1_y;1_conf;1_x_n;1_y_n;2_x;2_y;2_conf;2_x_n;2_y_n;3_x;3_y;3_conf;3_x_n;3_y_n;4_x;4_y;4_conf;4_x_n;4_y_n;5_x;5_y;5_conf;5_x_n;5_y_n;6_x;6_y;6_conf;6_x_n;6_y_n;7_x;7_y;7_conf;7_x_n;7_y_n;8_x;8_y;8_conf;8_x_n;8_y_n;9_x;9_y;9_conf;9x_n;9_y_n;10_x;10_y;10_conf;10_x_n;10_y_n;11_x;11_y;11_conf;11_x_n;11_y_n;12_x;12_y;12_conf;12_x_n;12_y_n;13_x;13_y;13_conf;13_x_n;13_y_n;14_x;14_y;14_conf;14_x_n;14_y_n;15_x;15_y;15_conf;15_x_n;15_y_n;16_x;16_y;16_conf;16_x_n;16_y_n;17_x;17_y;17_conf;17_x_n;17_y_n
0.9423548;1349.5;336.5;437.0;669.0;0.7028646;0.31157407;0.22760417;0.61944443;0.0;0.0;0.031275578;0.0;0.0;0.0;0.0;0.0070507936;0.0;0.0;0.0;0.0;0.010603719;0.0;0.0;0.0;0.0;0.022148674;0.0;0.0;0.0;0.0;0.041311182;0.0;0.0;1486.5228;17.011024;0.80100155;0.77423066;0.015750948;1292.3955;17.892128;0.9196539;0.67312264;0.016566785;1494.357;137.36972;0.94688827;0.77831095;0.12719418;1203.2578;154.48123;0.9838598;0.62669677;0.14303818;1524.2831;184.95667;0.9485885;0.79389745;0.17125617;1316.9631;175.88228;0.978589;0.6859183;0.16285396;1409.9088;259.83987;0.9985025;0.7343275;0.24059248;1273.3042;261.98932;0.99899393;0.6631793;0.24258271;1420.2173;449.79642;0.9918459;0.7396965;0.41647816;1229.9218;464.99533;0.99433833;0.64058423;0.43055123;1408.2766;557.87994;0.9643629;0.7334774;0.5165555;1173.106;586.7328;0.97070515;0.61099267;0.5432711
0.94085366;1349.0;336.0;436.0;668.0;0.7026042;0.31111112;0.22708334;0.61851853;0.0;0.0;0.029085493;0.0;0.0;0.0;0.0;0.0061147544;0.0;0.0;0.0;0.0;0.010351022;0.0;0.0;0.0;0.0;0.01993972;0.0;0.0;0.0;0.0;0.04507864;0.0;0.0;1484.7994;18.36502;0.79370713;0.773333;0.017004648;1291.2833;17.566292;0.930716;0.6725434;0.016265085;1491.4984;139.84027;0.94288933;0.7768221;0.12948173;1202.6832;156.52364;0.98677605;0.6263975;0.14492929;1522.4432;186.32881;0.94493824;0.7929392;0.17252667;1316.4778;179.00305;0.9814353;0.6856655;0.16574356;1410.3687;260.6219;0.99858487;0.734567;0.24131656;1273.7534;261.84485;0.9991423;0.6634132;0.24244894;1420.512;455.8896;0.9917032;0.73985;0.42211998;1229.3872;466.60886;0.9947761;0.6403058;0.43204525;1408.1788;558.29736;0.9632385;0.73342645;0.516942;1173.4004;583.99866;0.97165775;0.61114603;0.5407395
0.94123834;1349.0;336.0;438.0;668.0;0.7026042;0.31111112;0.228125;0.61851853;0.0;0.0;0.02824532;0.0;0.0;0.0;0.0;0.0066584493;0.0;0.0;0.0;0.0;0.008893419;0.0;0.0;0.0;0.0;0.023806999;0.0;0.0;0.0;0.0;0.035422478;0.0;0.0;1486.8262;19.088333;0.807624;0.7743886;0.017674383;1291.5421;17.858894;0.917693;0.6726782;0.016536014;1490.418;141.16402;0.9514531;0.77625936;0.13070743;1203.219;157.67848;0.98399794;0.62667656;0.1459986;1522.2605;189.7587;0.9525209;0.792844;0.1757025;1317.9595;181.33264;0.9787948;0.68643725;0.16790059;1408.8109;262.6618;0.998629;0.7337557;0.24320537;1270.9371;262.92236;0.99904805;0.6619464;0.24344663;1421.1077;461.94232;0.99176276;0.7401602;0.42772436;1230.2157;469.0275;0.9941427;0.64073735;0.43428472;1408.144;558.5507;0.96247745;0.73340833;0.51717657;1172.5846;584.8528;0.9691131;0.6107212;0.5415304
0.94089407;1350.0;336.0;438.0;668.0;0.703125;0.31111112;0.228125;0.61851853;0.0;0.0;0.03441184;0.0;0.0;0.0;0.0;0.007910367;0.0;0.0;0.0;0.0;0.011085942;0.0;0.0;0.0;0.0;0.025872197;0.0;0.0;0.0;0.0;0.042163838;0.0;0.0;1483.286;20.620514;0.82602257;0.7725448;0.019093068;1289.3002;18.510887;0.9293284;0.6715105;0.01713971;1486.5702;142.24373;0.9528953;0.77425534;0.13170716;1202.6152;158.24478;0.9854414;0.6263621;0.14652294;1522.0929;189.6172;0.95309126;0.79275674;0.17557149;1319.4313;185.03838;0.9801718;0.68720376;0.17133182;1409.0693;265.26355;0.998662;0.7338903;0.2456144;1271.9899;265.50568;0.999094;0.6624947;0.24583858;1422.6255;462.07846;0.9918417;0.74095076;0.42785043;1230.7343;468.81134;0.99433327;0.6410074;0.43408456;1407.776;559.3648;0.96242976;0.73321664;0.5179304;1173.416;585.43384;0.9694697;0.6111542;0.54206836
0.94042164;1349.5;337.0;439.0;670.0;0.7028646;0.31203705;0.22864583;0.6203704;0.0;0.0;0.03208434;0.0;0.0;0.0;0.0;0.007217106;0.0;0.0;0.0;0.0;0.010437937;0.0;0.0;0.0;0.0;0.023978034;0.0;0.0;0.0;0.0;0.04126481;0.0;0.0;1482.976;23.750565;0.818691;0.77238333;0.021991264;1288.4778;18.688133;0.9277566;0.6710822;0.017303826;1488.1869;149.54306;0.95140237;0.7750973;0.13846579;1202.5261;158.48341;0.9856184;0.6263157;0.14674391;1524.2653;194.02199;0.9522603;0.79388815;0.17965;1321.0143;187.44191;0.9805013;0.6880283;0.17355733;1408.2957;265.62094;0.99865663;0.7334873;0.24594532;1271.0717;265.036;0.99910504;0.6620165;0.2454037;1421.7482;463.27103;0.9918829;0.74049383;0.42895466;1232.004;469.96216;0.99446094;0.64166874;0.43515015;1408.1917;558.9207;0.9627731;0.7334331;0.5175192;1172.9514;585.739;0.97003055;0.6109122;0.54235095
0.9423512;1349.5;336.0;439.0;668.0;0.7028646;0.31111112;0.22864583;0.61851853;0.0;0.0;0.040696137;0.0;0.0;0.0;0.0;0.0094277;0.0;0.0;0.0;0.0;0.013064746;0.0;0.0;0.0;0.0;0.028275989;0.0;0.0;0.0;0.0;0.045898348;0.0;0.0;1482.5259;23.62706;0.8406594;0.7721489;0.021876907;1287.9326;19.067825;0.93061334;0.67079824;0.017655393;1487.0858;148.59378;0.955946;0.77452385;0.13758683;1202.6407;159.93411;0.9847845;0.6263754;0.14808714;1524.4539;192.7277;0.95569986;0.7939864;0.17845158;1324.3038;189.11444;0.9796467;0.68974155;0.17510596;1408.3577;266.90417;0.99861085;0.7335196;0.2471335;1270.6927;266.66302;0.9990169;0.66181916;0.24691021;1422.7913;464.62756;0.9913414;0.74103713;0.4302107;1231.0126;471.7405;0.99372226;0.6411524;0.43679675;1409.1626;559.3504;0.9591055;0.7339389;0.51791704;1172.4558;584.5163;0.9657905;0.61065406;0.5412188
0.941233;1350.5;336.0;439.0;668.0;0.7033854;0.31111112;0.22864583;0.61851853;0.0;0.0;0.03985866;0.0;0.0;0.0;0.0;0.009745455;0.0;0.0;0.0;0.0;0.012107307;0.0;0.0;0.0;0.0;0.03060332;0.0;0.0;0.0;0.0;0.040715724;0.0;0.0;1481.2705;24.098625;0.8449528;0.77149504;0.022313543;1286.8074;20.112213;0.9241722;0.67021215;0.018622419;1486.6653;148.83533;0.95873487;0.7743048;0.13781048;1203.5087;161.0029;0.98327625;0.6268274;0.14907676;1523.4708;194.37721;0.95829976;0.7934744;0.1799789;1325.1486;191.08813;0.97822136;0.69018155;0.17693345;1405.4502;267.61154;0.9986364;0.7320053;0.24778846;1268.1691;267.0795;0.9989737;0.6605047;0.24729583;1420.2711;465.8615;0.99163026;0.7397245;0.43135324;1231.7675;471.4524;0.9935952;0.64154553;0.43653;1408.5044;560.7032;0.96034503;0.733596;0.5191696;1172.2859;585.0866;0.9658775;0.61056554;0.54174685
0.94030863;1349.5;336.0;439.0;670.0;0.7028646;0.31111112;0.22864583;0.6203704;0.0;0.0;0.04529151;0.0;0.0;0.0;0.0;0.010938329;0.0;0.0;0.0;0.0;0.01392239;0.0;0.0;0.0;0.0;0.03338607;0.0;0.0;0.0;0.0;0.046114862;0.0;0.0;1481.1963;25.56482;0.8577682;0.7714564;0.02367113;1288.8098;23.538528;0.9332183;0.6712551;0.021794934;1484.9629;148.34161;0.9598214;0.7734182;0.13735335;1203.6963;162.24075;0.98463213;0.6269252;0.15022291;1521.2733;195.18301;0.95898783;0.79232985;0.18072501;1327.556;194.79424;0.9795013;0.69143546;0.18036503;1404.0375;266.31482;0.99867624;0.73126954;0.2465878;1268.0363;266.9323;0.9990232;0.66043556;0.24715956;1423.8505;463.27075;0.99160403;0.7415888;0.4289544;1234.5248;472.40314;0.9937144;0.64298165;0.43741032;1409.8085;558.8787;0.9597215;0.7342752;0.5174803;1171.8767;583.8931;0.9657529;0.61035246;0.5406418
0.9411397;1349.0;336.5;440.0;671.0;0.7026042;0.31157407;0.22916667;0.6212963;0.0;0.0;0.040650498;0.0;0.0;0.0;0.0;0.009378466;0.0;0.0;0.0;0.0;0.012902752;0.0;0.0;0.0;0.0;0.028623724;0.0;0.0;0.0;0.0;0.045618203;0.0;0.0;1480.9935;23.339035;0.8464308;0.7713508;0.021610217;1288.8082;23.440887;0.9300682;0.6712543;0.021704525;1483.8265;148.59387;0.9580079;0.7728263;0.13758692;1205.1067;164.38751;0.98480576;0.62765974;0.15221065;1520.8433;195.03703;0.95777225;0.79210585;0.18058984;1328.972;199.68393;0.9799152;0.69217294;0.18489252;1403.1951;262.6517;0.9986952;0.7308308;0.24319603;1267.0062;264.91342;0.9990553;0.65989906;0.2452902;1427.4034;458.63736;0.9921171;0.7434393;0.42466423;1234.9344;474.0097;0.99420035;0.64319503;0.43889788;1411.4406;560.39624;0.96270233;0.7351253;0.51888543;1170.4324;587.66003;0.9683677;0.6096002;0.54412967
0.9392801;1350.0;337.0;440.0;672.0;0.703125;0.31203705;0.22916667;0.62222224;0.0;0.0;0.050943837;0.0;0.0;0.0;0.0;0.011642224;0.0;0.0;0.0;0.0;0.016681027;0.0;0.0;0.0;0.0;0.032638136;0.0;0.0;0.0;0.0;0.05564215;0.0;0.0;1481.3613;25.997772;0.8614514;0.7715424;0.024072012;1289.2672;26.564346;0.94057167;0.67149335;0.024596617;1482.2068;149.30699;0.95838577;0.7719827;0.13824722;1205.9857;165.63414;0.98606527;0.62811756;0.15336494;1518.6914;195.10309;0.9575293;0.7909851;0.18065101;1333.0812;201.77293;0.98093086;0.6943131;0.1868268;1403.5242;267.16315;0.9986425;0.73100215;0.24737328;1266.8208;269.5644;0.99904376;0.6598025;0.24959666;1430.1317;462.85556;0.99113476;0.7448603;0.42856997;1234.7833;478.64713;0.9936434;0.6431163;0.4431918;1411.4664;560.61395;0.9571589;0.7351388;0.519087;1170.2195;584.92035;0.96422046;0.6094893;0.5415929
